time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,969954.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,971307.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,979361.0,0.0,0.0
2020-03-09,0.0,1.0,1.0,0.0,0.0,987061.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,0.0,1.0,992459.0,0.0,0.0
2020-03-11,0.0,2.0,1.0,0.0,1.0,997365.0,3.0,3.0
2020-03-12,0.0,1.0,0.0,0.0,1.0,1001414.0,3.0,0.0
2020-03-13,0.0,1.0,1.0,0.0,1.0,1004904.0,3.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1007713.0,3.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1008773.0,3.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1009970.0,3.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,2.0,1009912.0,3.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,2.0,1011402.0,3.0,0.0
2020-03-19,1.0,0.0,1.0,0.0,3.0,1010591.0,3.0,0.0
2020-03-20,3.0,0.0,1.0,0.0,4.0,1011356.0,3.0,0.0
2020-03-21,3.0,0.0,0.0,1.0,4.0,1011798.0,3.0,0.0
2020-03-22,4.0,2.0,1.0,1.0,3.0,1013702.0,4.0,1.0
2020-03-23,10.0,1.0,1.0,3.0,1.0,1013646.0,5.0,1.0
2020-03-24,13.0,4.0,1.0,2.0,3.0,1013146.0,7.0,2.0
2020-03-25,10.0,5.0,3.0,1.0,3.0,1013642.0,10.0,3.0
2020-03-26,13.0,1.0,2.0,4.0,2.0,1014406.0,11.0,1.0
2020-03-27,17.0,4.0,2.0,2.0,9.0,1014637.0,15.0,4.0
2020-03-28,23.0,7.0,3.0,3.0,8.0,1014304.0,21.0,6.0
2020-03-29,32.0,6.0,7.0,3.0,11.0,1014454.0,26.0,5.0
2020-03-30,40.0,3.0,6.0,7.0,10.0,1014562.0,28.0,2.0
2020-03-31,38.0,5.0,7.0,4.0,13.0,1014546.0,32.0,4.0
2020-04-01,47.0,10.0,4.0,7.0,15.0,1014614.0,38.0,6.0
2020-04-02,55.0,11.0,3.0,5.0,24.0,1014994.0,44.0,6.0
2020-04-03,44.0,24.0,8.0,5.0,28.0,1017336.0,64.0,20.0
2020-04-04,61.0,15.0,16.0,9.0,34.0,1017689.0,74.0,10.0
2020-04-05,66.0,9.0,18.0,6.0,36.0,1017243.0,86.0,12.0
2020-04-06,79.0,14.0,22.0,12.0,45.0,1017165.0,102.0,16.0
2020-04-07,95.0,21.0,18.0,21.0,57.0,1017208.0,121.0,19.0
2020-04-08,109.0,28.0,9.0,22.0,64.0,1017304.0,139.0,18.0
2020-04-09,124.0,31.0,17.0,14.0,72.0,1017729.0,163.0,24.0
