time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970041.0,0.0,0.0
2020-03-07,2.0,0.0,1.0,0.0,1.0,972749.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,0.0,980198.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,987331.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,991862.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,2.0,996978.0,0.0,0.0
2020-03-12,3.0,0.0,0.0,0.0,2.0,1000102.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,2.0,1002692.0,1.0,1.0
2020-03-14,2.0,1.0,0.0,0.0,1.0,1006242.0,1.0,0.0
2020-03-15,2.0,0.0,2.0,0.0,1.0,1008311.0,2.0,1.0
2020-03-16,1.0,0.0,1.0,1.0,1.0,1009745.0,2.0,0.0
2020-03-17,2.0,0.0,0.0,0.0,1.0,1010218.0,2.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,1.0,1010610.0,3.0,1.0
2020-03-19,2.0,2.0,0.0,0.0,1.0,1011832.0,4.0,1.0
2020-03-20,6.0,3.0,2.0,1.0,2.0,1011071.0,6.0,2.0
2020-03-21,9.0,1.0,2.0,1.0,2.0,1011676.0,6.0,0.0
2020-03-22,8.0,4.0,3.0,2.0,4.0,1012921.0,11.0,5.0
2020-03-23,9.0,1.0,1.0,4.0,6.0,1013402.0,13.0,2.0
2020-03-24,14.0,3.0,2.0,3.0,7.0,1013737.0,16.0,3.0
2020-03-25,18.0,4.0,1.0,2.0,9.0,1013464.0,20.0,4.0
2020-03-26,13.0,5.0,3.0,3.0,9.0,1012019.0,23.0,3.0
2020-03-27,17.0,3.0,4.0,5.0,9.0,1013332.0,26.0,3.0
2020-03-28,26.0,6.0,5.0,2.0,12.0,1013323.0,32.0,6.0
2020-03-29,26.0,9.0,4.0,5.0,12.0,1016007.0,39.0,7.0
2020-03-30,27.0,4.0,8.0,4.0,16.0,1015467.0,42.0,3.0
2020-03-31,34.0,5.0,4.0,4.0,21.0,1015952.0,46.0,4.0
2020-04-01,27.0,10.0,3.0,3.0,20.0,1015888.0,53.0,7.0
2020-04-02,37.0,1.0,8.0,5.0,20.0,1015899.0,55.0,2.0
2020-04-03,44.0,7.0,11.0,3.0,28.0,1016370.0,62.0,7.0
2020-04-04,58.0,12.0,7.0,6.0,27.0,1016462.0,72.0,10.0
2020-04-05,74.0,16.0,10.0,9.0,29.0,1017162.0,85.0,13.0
2020-04-06,88.0,25.0,17.0,13.0,34.0,1017448.0,99.0,14.0
2020-04-07,89.0,23.0,17.0,16.0,46.0,1018888.0,118.0,19.0
2020-04-08,93.0,16.0,13.0,20.0,51.0,1018737.0,132.0,14.0
2020-04-09,118.0,22.0,17.0,22.0,56.0,1018740.0,148.0,16.0
2020-04-10,127.0,31.0,27.0,16.0,60.0,1017285.0,168.0,20.0
2020-04-11,140.0,33.0,25.0,13.0,82.0,1018244.0,188.0,20.0
2020-04-12,180.0,32.0,29.0,17.0,100.0,1019525.0,211.0,23.0
2020-04-13,240.0,40.0,38.0,22.0,114.0,1018182.0,240.0,29.0
2020-04-14,283.0,58.0,43.0,27.0,122.0,1018578.0,284.0,44.0
2020-04-15,314.0,76.0,52.0,35.0,160.0,1019726.0,345.0,61.0
2020-04-16,348.0,78.0,77.0,45.0,170.0,1017840.0,415.0,70.0
2020-04-17,433.0,87.0,84.0,64.0,209.0,1017485.0,484.0,69.0
2020-04-18,523.0,104.0,78.0,66.0,246.0,1018109.0,571.0,87.0
2020-04-19,595.0,144.0,93.0,83.0,297.0,1017606.0,680.0,109.0
2020-04-20,720.0,161.0,110.0,92.0,352.0,1017467.0,804.0,124.0
2020-04-21,848.0,177.0,136.0,122.0,426.0,1017437.0,956.0,152.0
2020-04-22,999.0,230.0,154.0,123.0,492.0,1018469.0,1141.0,185.0
2020-04-23,1214.0,240.0,177.0,148.0,570.0,1018688.0,1315.0,174.0
2020-04-24,1421.0,289.0,222.0,181.0,702.0,1017485.0,1543.0,228.0
2020-04-25,1631.0,381.0,273.0,210.0,814.0,1017340.0,1866.0,323.0
2020-04-26,1940.0,442.0,352.0,284.0,960.0,1017119.0,2190.0,324.0
2020-04-27,2283.0,495.0,421.0,307.0,1071.0,1015901.0,2603.0,413.0
2020-04-28,2756.0,572.0,458.0,371.0,1282.0,1016384.0,3041.0,438.0
2020-04-29,3294.0,658.0,550.0,423.0,1623.0,1015981.0,3566.0,525.0
2020-04-30,3974.0,828.0,627.0,498.0,1865.0,1013735.0,4191.0,625.0
2020-05-01,4678.0,1000.0,768.0,576.0,2207.0,1012194.0,5004.0,813.0
2020-05-02,5494.0,1180.0,907.0,652.0,2680.0,1009678.0,5922.0,918.0
2020-05-03,6465.0,1437.0,1136.0,820.0,3142.0,1007984.0,7067.0,1145.0
2020-05-04,7551.0,1713.0,1309.0,1018.0,3707.0,1006019.0,8413.0,1346.0
2020-05-05,8985.0,1969.0,1522.0,1201.0,4391.0,1004035.0,9933.0,1520.0
2020-05-06,10534.0,2297.0,1804.0,1344.0,5367.0,1002172.0,11715.0,1782.0
2020-05-07,12477.0,2686.0,2130.0,1637.0,6262.0,998036.0,13809.0,2094.0
2020-05-08,14689.0,3183.0,2507.0,2005.0,7349.0,993490.0,16302.0,2493.0
2020-05-09,17376.0,3682.0,2935.0,2347.0,8792.0,987548.0,19140.0,2838.0
2020-05-10,20419.0,4425.0,3439.0,2729.0,10407.0,981465.0,22568.0,3428.0
2020-05-11,23999.0,5180.0,4166.0,3297.0,12375.0,973710.0,26634.0,4066.0
2020-05-12,28199.0,6006.0,4830.0,3836.0,14610.0,966321.0,31256.0,4622.0
2020-05-13,33027.0,7258.0,5709.0,4444.0,17106.0,956165.0,36851.0,5595.0
2020-05-14,38849.0,8583.0,6711.0,5330.0,20371.0,944194.0,43384.0,6533.0
2020-05-15,45364.0,9960.0,8058.0,6402.0,24186.0,929800.0,51165.0,7781.0
2020-05-16,53111.0,11741.0,9456.0,7464.0,28414.0,913478.0,60277.0,9112.0
2020-05-17,61178.0,13479.0,11012.0,8728.0,33407.0,895900.0,70776.0,10499.0
2020-05-18,70579.0,15738.0,12638.0,10084.0,39476.0,875750.0,82765.0,11989.0
2020-05-19,81749.0,18253.0,14684.0,11913.0,46513.0,852399.0,96758.0,13993.0
2020-05-20,92806.0,20893.0,16818.0,13822.0,54601.0,825229.0,112728.0,15970.0
2020-05-21,104894.0,23518.0,19776.0,15889.0,64362.0,796672.0,130816.0,18088.0
2020-05-22,118068.0,27090.0,22520.0,18401.0,75275.0,762760.0,151543.0,20727.0
2020-05-23,131896.0,30378.0,25537.0,21049.0,87785.0,727082.0,174625.0,23082.0
2020-05-24,145471.0,33767.0,28809.0,24036.0,101787.0,689943.0,200142.0,25517.0
2020-05-25,159256.0,37555.0,32070.0,27062.0,118533.0,649388.0,228298.0,28156.0
2020-05-26,172165.0,41280.0,35591.0,30164.0,136393.0,608106.0,258976.0,30678.0
2020-05-27,184565.0,45142.0,39115.0,33622.0,156866.0,564682.0,292081.0,33105.0
2020-05-28,195426.0,48587.0,42766.0,36999.0,179927.0,521226.0,327686.0,35605.0
2020-05-29,204276.0,51465.0,46062.0,40852.0,204862.0,478300.0,364863.0,37177.0
2020-05-30,210606.0,53993.0,49399.0,43719.0,231974.0,436820.0,403689.0,38826.0
2020-05-31,214250.0,55855.0,52122.0,47058.0,261039.0,396079.0,443242.0,39553.0
2020-06-01,215952.0,57135.0,54345.0,50110.0,291882.0,357587.0,483688.0,40446.0
2020-06-02,214383.0,58311.0,55654.0,51962.0,324668.0,322109.0,524346.0,40658.0
2020-06-03,209719.0,58166.0,56838.0,54121.0,359374.0,289037.0,564351.0,40005.0
2020-06-04,203852.0,57396.0,56613.0,55488.0,394972.0,259263.0,602929.0,38578.0
2020-06-05,195058.0,56098.0,56882.0,55609.0,431454.0,232753.0,640646.0,37717.0
2020-06-06,185414.0,54038.0,55881.0,55734.0,467330.0,209352.0,676890.0,36244.0
2020-06-07,174787.0,51382.0,54300.0,55336.0,503381.0,189863.0,710725.0,33835.0
2020-06-08,162828.0,48939.0,52350.0,54117.0,538704.0,171991.0,742579.0,31854.0
2020-06-09,151517.0,45682.0,49797.0,52772.0,572167.0,156568.0,772273.0,29694.0
2020-06-10,139745.0,42680.0,46946.0,50685.0,604363.0,143352.0,799918.0,27645.0
2020-06-11,128258.0,39799.0,43975.0,48125.0,636302.0,132111.0,825296.0,25378.0
2020-06-12,117261.0,36345.0,41304.0,45227.0,666454.0,121976.0,848274.0,22978.0
2020-06-13,106599.0,33872.0,38155.0,42337.0,694203.0,113498.0,869617.0,21343.0
2020-06-14,96441.0,31077.0,35180.0,39356.0,720026.0,106530.0,888979.0,19362.0
2020-06-15,87108.0,27941.0,32507.0,36792.0,743920.0,99827.0,906327.0,17348.0
2020-06-16,78215.0,25241.0,29542.0,33787.0,766835.0,94524.0,922186.0,15859.0
2020-06-17,69864.0,22886.0,26602.0,30700.0,787418.0,89676.0,936275.0,14089.0
2020-06-18,62571.0,20503.0,24107.0,28022.0,805315.0,85743.0,948779.0,12504.0
2020-06-19,55732.0,18603.0,21873.0,25572.0,822156.0,82149.0,960127.0,11348.0
2020-06-20,49755.0,16971.0,19653.0,23127.0,836634.0,79368.0,970295.0,10168.0
2020-06-21,44510.0,14809.0,17823.0,21213.0,851137.0,77071.0,979212.0,8917.0
2020-06-22,39672.0,13254.0,16028.0,18995.0,865091.0,75035.0,987356.0,8144.0
2020-06-23,35569.0,11594.0,14302.0,17023.0,876138.0,72741.0,994381.0,7025.0
2020-06-24,31500.0,10419.0,12745.0,15398.0,886230.0,70870.0,1000822.0,6441.0
2020-06-25,28082.0,9264.0,11293.0,13679.0,895781.0,69312.0,1006379.0,5557.0
2020-06-26,24849.0,8353.0,9967.0,12364.0,902617.0,67854.0,1011483.0,5104.0
2020-06-27,21873.0,7468.0,8909.0,10983.0,911029.0,67009.0,1015928.0,4445.0
2020-06-28,19310.0,6634.0,8070.0,9762.0,918532.0,66279.0,1020008.0,4080.0
2020-06-29,16991.0,5815.0,7154.0,8656.0,923463.0,65020.0,1023550.0,3542.0
2020-06-30,15041.0,5093.0,6302.0,7714.0,928393.0,64185.0,1026549.0,2999.0
2020-07-01,13379.0,4529.0,5622.0,6943.0,933131.0,63466.0,1029197.0,2648.0
2020-07-02,11707.0,4057.0,4869.0,6080.0,938647.0,62820.0,1031617.0,2420.0
2020-07-03,10407.0,3572.0,4395.0,5342.0,941135.0,62322.0,1033712.0,2095.0
2020-07-04,9334.0,3203.0,3857.0,4811.0,944331.0,61926.0,1035568.0,1856.0
2020-07-05,8173.0,2803.0,3487.0,4262.0,949017.0,61081.0,1037267.0,1699.0
2020-07-06,7284.0,2467.0,3058.0,3713.0,951199.0,61227.0,1038728.0,1461.0
