time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,0.0,0.0,0.0,970072.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,0.0,972305.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,980618.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,0.0,1.0,985910.0,0.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,0.0,990681.0,1.0,1.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,994849.0,1.0,0.0
2020-03-12,2.0,0.0,1.0,0.0,0.0,999840.0,1.0,0.0
2020-03-13,4.0,0.0,0.0,1.0,0.0,1003036.0,1.0,0.0
2020-03-14,3.0,0.0,1.0,0.0,0.0,1004534.0,2.0,1.0
2020-03-15,5.0,1.0,0.0,0.0,1.0,1007244.0,3.0,1.0
2020-03-16,5.0,0.0,1.0,0.0,1.0,1009973.0,3.0,0.0
2020-03-17,4.0,2.0,0.0,0.0,2.0,1010920.0,5.0,2.0
2020-03-18,2.0,1.0,1.0,1.0,1.0,1010692.0,5.0,0.0
2020-03-19,4.0,1.0,3.0,2.0,2.0,1012190.0,6.0,1.0
2020-03-20,3.0,0.0,1.0,3.0,1.0,1012625.0,6.0,0.0
2020-03-21,5.0,1.0,0.0,3.0,2.0,1013252.0,6.0,0.0
2020-03-22,7.0,1.0,0.0,3.0,2.0,1013257.0,6.0,0.0
2020-03-23,7.0,2.0,1.0,1.0,4.0,1013391.0,8.0,2.0
2020-03-24,8.0,1.0,2.0,1.0,6.0,1013035.0,9.0,1.0
2020-03-25,8.0,4.0,1.0,3.0,5.0,1014651.0,12.0,3.0
2020-03-26,5.0,5.0,0.0,3.0,9.0,1013524.0,14.0,2.0
2020-03-27,8.0,0.0,3.0,0.0,8.0,1014401.0,14.0,0.0
2020-03-28,14.0,3.0,0.0,0.0,10.0,1014469.0,16.0,2.0
2020-03-29,24.0,5.0,3.0,2.0,7.0,1014702.0,21.0,5.0
2020-03-30,24.0,4.0,4.0,4.0,9.0,1015326.0,24.0,3.0
2020-03-31,22.0,5.0,6.0,3.0,7.0,1015658.0,30.0,6.0
2020-04-01,31.0,6.0,8.0,5.0,7.0,1015417.0,34.0,4.0
2020-04-02,35.0,8.0,4.0,6.0,16.0,1015619.0,38.0,4.0
2020-04-03,35.0,7.0,6.0,5.0,21.0,1017672.0,43.0,5.0
2020-04-04,51.0,10.0,6.0,6.0,19.0,1016924.0,50.0,7.0
2020-04-05,56.0,14.0,11.0,7.0,27.0,1016989.0,65.0,15.0
2020-04-06,84.0,14.0,4.0,11.0,38.0,1017882.0,69.0,4.0
2020-04-07,93.0,17.0,8.0,7.0,48.0,1017636.0,78.0,9.0
2020-04-08,90.0,19.0,11.0,14.0,50.0,1018698.0,96.0,18.0
2020-04-09,109.0,20.0,19.0,13.0,56.0,1017611.0,112.0,16.0
2020-04-10,119.0,26.0,21.0,13.0,71.0,1017958.0,140.0,28.0
2020-04-11,146.0,34.0,24.0,19.0,73.0,1017992.0,164.0,24.0
2020-04-12,170.0,33.0,33.0,25.0,97.0,1018197.0,189.0,25.0
2020-04-13,196.0,42.0,28.0,33.0,99.0,1017863.0,220.0,31.0
2020-04-14,232.0,47.0,36.0,30.0,130.0,1017609.0,257.0,37.0
2020-04-15,272.0,50.0,48.0,25.0,160.0,1017522.0,289.0,32.0
2020-04-16,326.0,58.0,51.0,44.0,169.0,1017072.0,337.0,48.0
2020-04-17,369.0,90.0,58.0,48.0,206.0,1017120.0,409.0,72.0
2020-04-18,423.0,90.0,72.0,66.0,229.0,1018534.0,478.0,69.0
2020-04-19,534.0,104.0,82.0,72.0,279.0,1018114.0,550.0,72.0
2020-04-20,668.0,118.0,102.0,81.0,324.0,1019180.0,636.0,86.0
2020-04-21,772.0,164.0,123.0,104.0,381.0,1019516.0,766.0,130.0
2020-04-22,873.0,212.0,157.0,135.0,442.0,1019139.0,930.0,164.0
2020-04-23,1071.0,233.0,188.0,126.0,550.0,1019436.0,1108.0,178.0
2020-04-24,1310.0,258.0,221.0,184.0,649.0,1019654.0,1316.0,208.0
