time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,969976.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,0.0,0.0,972108.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,978978.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985345.0,0.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,0.0,991131.0,0.0,0.0
2020-03-11,0.0,0.0,1.0,1.0,0.0,996544.0,0.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,2.0,998755.0,0.0,0.0
2020-03-13,2.0,0.0,1.0,0.0,2.0,1004200.0,0.0,0.0
2020-03-14,2.0,0.0,1.0,1.0,2.0,1005697.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,2.0,2.0,1007773.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,3.0,1009400.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,3.0,1010075.0,0.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,1.0,1011434.0,0.0,0.0
2020-03-19,3.0,1.0,0.0,1.0,2.0,1011726.0,0.0,0.0
2020-03-20,4.0,1.0,0.0,1.0,1.0,1012655.0,0.0,0.0
2020-03-21,4.0,3.0,0.0,0.0,4.0,1013128.0,1.0,1.0
2020-03-22,8.0,0.0,3.0,1.0,2.0,1012896.0,1.0,0.0
2020-03-23,15.0,1.0,0.0,3.0,6.0,1014563.0,2.0,1.0
2020-03-24,13.0,3.0,1.0,1.0,6.0,1014937.0,4.0,2.0
2020-03-25,11.0,2.0,0.0,1.0,4.0,1014625.0,7.0,3.0
2020-03-26,8.0,4.0,1.0,1.0,2.0,1014384.0,9.0,2.0
2020-03-27,10.0,1.0,2.0,3.0,7.0,1014318.0,9.0,0.0
2020-03-28,13.0,2.0,2.0,1.0,11.0,1015503.0,11.0,2.0
2020-03-29,9.0,3.0,1.0,1.0,10.0,1016228.0,13.0,2.0
2020-03-30,14.0,5.0,2.0,3.0,10.0,1016756.0,17.0,4.0
2020-03-31,22.0,5.0,4.0,1.0,7.0,1016893.0,21.0,4.0
2020-04-01,23.0,6.0,2.0,1.0,11.0,1016311.0,24.0,3.0
2020-04-02,28.0,9.0,4.0,2.0,15.0,1017112.0,30.0,6.0
2020-04-03,43.0,5.0,7.0,7.0,17.0,1017285.0,36.0,6.0
2020-04-04,37.0,6.0,5.0,5.0,25.0,1015998.0,40.0,4.0
2020-04-05,34.0,9.0,8.0,3.0,29.0,1015624.0,50.0,10.0
2020-04-06,39.0,9.0,9.0,3.0,32.0,1016658.0,57.0,7.0
2020-04-07,51.0,11.0,11.0,9.0,32.0,1016820.0,61.0,4.0
2020-04-08,72.0,8.0,16.0,7.0,32.0,1017977.0,68.0,7.0
2020-04-09,72.0,13.0,10.0,10.0,43.0,1018577.0,77.0,9.0
2020-04-10,87.0,24.0,13.0,9.0,47.0,1018761.0,88.0,11.0
2020-04-11,101.0,23.0,22.0,15.0,60.0,1019269.0,107.0,19.0
2020-04-12,120.0,29.0,23.0,18.0,66.0,1019718.0,132.0,25.0
2020-04-13,153.0,28.0,17.0,22.0,76.0,1021046.0,149.0,17.0
2020-04-14,169.0,25.0,25.0,17.0,84.0,1021136.0,176.0,27.0
2020-04-15,186.0,40.0,31.0,23.0,100.0,1020693.0,213.0,37.0
2020-04-16,208.0,47.0,35.0,30.0,126.0,1020891.0,247.0,34.0
2020-04-17,255.0,53.0,44.0,30.0,149.0,1019846.0,292.0,45.0
2020-04-18,297.0,50.0,51.0,46.0,183.0,1019643.0,337.0,45.0
2020-04-19,382.0,75.0,55.0,57.0,192.0,1019523.0,396.0,59.0
2020-04-20,439.0,100.0,73.0,57.0,223.0,1019328.0,471.0,75.0
2020-04-21,543.0,107.0,83.0,64.0,260.0,1020925.0,544.0,73.0
2020-04-22,620.0,142.0,114.0,79.0,320.0,1021135.0,660.0,116.0
2020-04-23,757.0,173.0,121.0,116.0,358.0,1019081.0,789.0,129.0
2020-04-24,878.0,198.0,144.0,128.0,457.0,1020450.0,947.0,158.0
2020-04-25,1070.0,204.0,179.0,132.0,547.0,1019987.0,1096.0,149.0
2020-04-26,1250.0,264.0,235.0,150.0,617.0,1021112.0,1321.0,225.0
2020-04-27,1497.0,324.0,266.0,181.0,749.0,1019985.0,1570.0,249.0
2020-04-28,1800.0,351.0,298.0,237.0,860.0,1020348.0,1842.0,272.0
2020-04-29,2162.0,466.0,368.0,286.0,1057.0,1019592.0,2234.0,392.0
2020-04-30,2542.0,591.0,392.0,356.0,1232.0,1018895.0,2662.0,428.0
2020-05-01,2981.0,684.0,499.0,411.0,1472.0,1016768.0,3213.0,551.0
2020-05-02,3529.0,774.0,605.0,461.0,1762.0,1016567.0,3830.0,617.0
2020-05-03,4128.0,926.0,672.0,534.0,2090.0,1015295.0,4538.0,708.0
2020-05-04,4974.0,1102.0,877.0,643.0,2426.0,1013308.0,5394.0,856.0
2020-05-05,5843.0,1345.0,1036.0,791.0,2921.0,1011195.0,6437.0,1043.0
2020-05-06,7092.0,1515.0,1261.0,933.0,3469.0,1009513.0,7587.0,1150.0
2020-05-07,8435.0,1775.0,1478.0,1126.0,4195.0,1005860.0,8969.0,1382.0
2020-05-08,9789.0,2213.0,1620.0,1365.0,4969.0,1002868.0,10721.0,1752.0
2020-05-09,11723.0,2613.0,1943.0,1607.0,5875.0,1000098.0,12687.0,1966.0
2020-05-10,13891.0,3040.0,2400.0,1849.0,7101.0,995784.0,15046.0,2359.0
2020-05-11,16603.0,3575.0,2819.0,2219.0,8333.0,990009.0,17827.0,2781.0
2020-05-12,19551.0,4205.0,3321.0,2666.0,9780.0,984720.0,21121.0,3294.0
2020-05-13,22949.0,4846.0,3933.0,3089.0,11537.0,977260.0,24926.0,3805.0
2020-05-14,26674.0,5932.0,4590.0,3653.0,13661.0,968465.0,29583.0,4657.0
2020-05-15,31229.0,6837.0,5571.0,4233.0,16237.0,959689.0,34883.0,5300.0
2020-05-16,36578.0,7950.0,6454.0,5099.0,19111.0,948082.0,41129.0,6246.0
2020-05-17,42824.0,9103.0,7548.0,5958.0,22637.0,935641.0,48298.0,7169.0
