time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969548.0,0.0,0.0
2020-03-07,2.0,2.0,1.0,0.0,0.0,971421.0,0.0,0.0
2020-03-08,4.0,2.0,0.0,1.0,0.0,978626.0,0.0,0.0
2020-03-09,3.0,1.0,0.0,0.0,1.0,986253.0,0.0,0.0
2020-03-10,1.0,1.0,1.0,0.0,0.0,991752.0,2.0,2.0
2020-03-11,4.0,0.0,2.0,0.0,0.0,995666.0,2.0,0.0
2020-03-12,4.0,0.0,0.0,1.0,0.0,999409.0,2.0,0.0
2020-03-13,3.0,0.0,1.0,1.0,0.0,1002134.0,3.0,1.0
2020-03-14,2.0,1.0,1.0,0.0,2.0,1003885.0,4.0,1.0
2020-03-15,3.0,0.0,1.0,1.0,0.0,1008456.0,4.0,0.0
2020-03-16,2.0,1.0,0.0,0.0,0.0,1009016.0,5.0,1.0
2020-03-17,1.0,1.0,0.0,1.0,1.0,1011084.0,5.0,0.0
2020-03-18,2.0,2.0,1.0,1.0,1.0,1012143.0,6.0,1.0
2020-03-19,4.0,0.0,0.0,0.0,2.0,1013306.0,6.0,0.0
2020-03-20,2.0,0.0,2.0,0.0,1.0,1014021.0,7.0,1.0
2020-03-21,3.0,3.0,2.0,0.0,1.0,1013307.0,8.0,1.0
2020-03-22,5.0,1.0,2.0,1.0,0.0,1013151.0,9.0,1.0
2020-03-23,9.0,0.0,0.0,1.0,3.0,1013978.0,9.0,0.0
2020-03-24,7.0,1.0,0.0,1.0,3.0,1013442.0,10.0,1.0
2020-03-25,8.0,0.0,1.0,0.0,5.0,1013953.0,10.0,0.0
2020-03-26,10.0,1.0,0.0,1.0,6.0,1013848.0,11.0,1.0
2020-03-27,11.0,3.0,1.0,0.0,7.0,1014800.0,14.0,3.0
2020-03-28,13.0,2.0,1.0,2.0,5.0,1015679.0,14.0,0.0
2020-03-29,14.0,5.0,2.0,1.0,7.0,1016507.0,16.0,2.0
2020-03-30,16.0,4.0,2.0,2.0,5.0,1017025.0,19.0,3.0
2020-03-31,17.0,6.0,2.0,3.0,5.0,1017618.0,21.0,2.0
2020-04-01,18.0,10.0,3.0,3.0,7.0,1017733.0,30.0,9.0
2020-04-02,28.0,9.0,4.0,2.0,12.0,1016513.0,34.0,4.0
2020-04-03,35.0,7.0,8.0,3.0,16.0,1016620.0,38.0,4.0
2020-04-04,43.0,10.0,7.0,3.0,21.0,1017098.0,43.0,5.0
2020-04-05,45.0,10.0,9.0,5.0,22.0,1018033.0,51.0,8.0
2020-04-06,47.0,12.0,11.0,3.0,28.0,1017438.0,58.0,7.0
2020-04-07,43.0,13.0,7.0,7.0,29.0,1017479.0,69.0,11.0
2020-04-08,60.0,12.0,13.0,9.0,44.0,1018409.0,75.0,6.0
2020-04-09,77.0,16.0,11.0,12.0,47.0,1017429.0,85.0,10.0
2020-04-10,101.0,29.0,19.0,13.0,50.0,1017990.0,102.0,17.0
2020-04-11,130.0,29.0,23.0,22.0,64.0,1017966.0,125.0,23.0
2020-04-12,153.0,37.0,25.0,17.0,72.0,1018681.0,149.0,24.0
2020-04-13,177.0,40.0,36.0,22.0,88.0,1018687.0,180.0,31.0
2020-04-14,201.0,40.0,33.0,25.0,89.0,1019754.0,209.0,29.0
2020-04-15,213.0,55.0,36.0,32.0,111.0,1020177.0,248.0,39.0
2020-04-16,280.0,59.0,50.0,34.0,126.0,1019063.0,292.0,44.0
2020-04-17,317.0,66.0,58.0,52.0,146.0,1019522.0,335.0,43.0
2020-04-18,416.0,89.0,54.0,55.0,190.0,1020244.0,390.0,55.0
2020-04-19,496.0,96.0,69.0,56.0,233.0,1021626.0,461.0,71.0
2020-04-20,597.0,117.0,93.0,80.0,270.0,1022458.0,560.0,99.0
2020-04-21,703.0,154.0,96.0,101.0,300.0,1022179.0,678.0,118.0
2020-04-22,818.0,186.0,120.0,96.0,378.0,1021894.0,824.0,146.0
2020-04-23,962.0,205.0,175.0,117.0,445.0,1020474.0,977.0,153.0
2020-04-24,1099.0,252.0,199.0,148.0,524.0,1019787.0,1181.0,204.0
2020-04-25,1324.0,297.0,230.0,183.0,607.0,1020263.0,1404.0,223.0
2020-04-26,1514.0,318.0,287.0,195.0,722.0,1019116.0,1681.0,277.0
2020-04-27,1845.0,370.0,316.0,208.0,916.0,1018748.0,1985.0,304.0
2020-04-28,2048.0,464.0,353.0,274.0,1094.0,1018119.0,2359.0,374.0
2020-04-29,2441.0,525.0,431.0,300.0,1290.0,1017880.0,2766.0,407.0
2020-04-30,2916.0,631.0,489.0,394.0,1445.0,1016524.0,3251.0,485.0
2020-05-01,3453.0,786.0,599.0,442.0,1759.0,1014596.0,3848.0,597.0
2020-05-02,4155.0,920.0,725.0,510.0,2050.0,1013257.0,4542.0,694.0
2020-05-03,4929.0,1016.0,804.0,692.0,2442.0,1012775.0,5332.0,790.0
2020-05-04,5827.0,1284.0,991.0,773.0,2911.0,1011757.0,6374.0,1042.0
2020-05-05,6946.0,1473.0,1214.0,882.0,3416.0,1010227.0,7515.0,1141.0
2020-05-06,8176.0,1756.0,1411.0,1065.0,4117.0,1007651.0,8878.0,1363.0
2020-05-07,9674.0,2060.0,1664.0,1316.0,4850.0,1003957.0,10481.0,1603.0
2020-05-08,11536.0,2475.0,1992.0,1582.0,5861.0,1000692.0,12409.0,1928.0
2020-05-09,13741.0,3001.0,2430.0,1815.0,6853.0,995238.0,14743.0,2334.0
2020-05-10,16294.0,3611.0,2759.0,2198.0,8048.0,990296.0,17490.0,2747.0
2020-05-11,19314.0,4167.0,3301.0,2614.0,9661.0,985442.0,20773.0,3283.0
2020-05-12,23030.0,4920.0,3901.0,3129.0,11389.0,979611.0,24582.0,3809.0
2020-05-13,26915.0,5765.0,4629.0,3595.0,13557.0,970917.0,29174.0,4592.0
2020-05-14,31367.0,6788.0,5331.0,4342.0,16007.0,961254.0,34491.0,5317.0
2020-05-15,36576.0,7844.0,6331.0,5047.0,18906.0,949631.0,40687.0,6196.0
