time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,0.0,0.0,0.0,969925.0,0.0,0.0
2020-03-07,2.0,3.0,0.0,0.0,0.0,973904.0,1.0,1.0
2020-03-08,5.0,4.0,0.0,0.0,0.0,980755.0,2.0,1.0
2020-03-09,3.0,4.0,1.0,1.0,0.0,987560.0,4.0,2.0
2020-03-10,2.0,4.0,1.0,1.0,1.0,993147.0,5.0,1.0
2020-03-11,3.0,1.0,2.0,0.0,2.0,997439.0,5.0,0.0
2020-03-12,4.0,1.0,0.0,1.0,1.0,1001373.0,6.0,1.0
2020-03-13,5.0,0.0,1.0,1.0,2.0,1003811.0,6.0,0.0
2020-03-14,4.0,1.0,1.0,0.0,1.0,1005686.0,8.0,2.0
2020-03-15,2.0,0.0,1.0,0.0,1.0,1007699.0,8.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1009882.0,8.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1009909.0,8.0,0.0
2020-03-18,0.0,1.0,0.0,0.0,0.0,1009074.0,9.0,1.0
2020-03-19,1.0,2.0,0.0,0.0,0.0,1011292.0,10.0,1.0
2020-03-20,2.0,0.0,0.0,0.0,1.0,1012733.0,10.0,0.0
2020-03-21,1.0,1.0,0.0,0.0,1.0,1012754.0,11.0,1.0
2020-03-22,2.0,3.0,1.0,0.0,3.0,1013770.0,13.0,2.0
2020-03-23,11.0,2.0,0.0,3.0,2.0,1013445.0,14.0,1.0
2020-03-24,12.0,4.0,1.0,1.0,2.0,1014273.0,16.0,2.0
2020-03-25,11.0,2.0,2.0,1.0,2.0,1014258.0,18.0,2.0
2020-03-26,11.0,4.0,3.0,0.0,5.0,1015547.0,21.0,3.0
2020-03-27,14.0,2.0,3.0,2.0,8.0,1016294.0,22.0,1.0
2020-03-28,21.0,6.0,3.0,1.0,7.0,1015967.0,25.0,3.0
2020-03-29,27.0,5.0,3.0,3.0,8.0,1017353.0,28.0,3.0
2020-03-30,22.0,4.0,4.0,3.0,11.0,1017407.0,34.0,6.0
2020-03-31,32.0,7.0,8.0,1.0,10.0,1016119.0,44.0,10.0
2020-04-01,43.0,9.0,11.0,0.0,11.0,1016485.0,51.0,7.0
2020-04-02,46.0,8.0,10.0,3.0,16.0,1016903.0,54.0,3.0
2020-04-03,54.0,16.0,8.0,4.0,26.0,1016741.0,67.0,13.0
2020-04-04,56.0,13.0,12.0,3.0,31.0,1017235.0,75.0,8.0
2020-04-05,71.0,5.0,13.0,8.0,40.0,1018622.0,77.0,2.0
2020-04-06,91.0,13.0,13.0,8.0,45.0,1018418.0,88.0,11.0
2020-04-07,102.0,24.0,16.0,12.0,49.0,1018133.0,108.0,20.0
2020-04-08,121.0,24.0,20.0,20.0,56.0,1017632.0,124.0,16.0
2020-04-09,138.0,31.0,15.0,20.0,76.0,1018393.0,145.0,21.0
2020-04-10,158.0,37.0,23.0,23.0,99.0,1017733.0,176.0,31.0
2020-04-11,203.0,46.0,34.0,25.0,105.0,1018996.0,210.0,34.0
2020-04-12,255.0,57.0,54.0,28.0,112.0,1019610.0,262.0,52.0
2020-04-13,313.0,66.0,42.0,41.0,126.0,1019308.0,319.0,57.0
2020-04-14,358.0,82.0,42.0,47.0,166.0,1018593.0,378.0,59.0
2020-04-15,392.0,81.0,65.0,56.0,195.0,1018101.0,437.0,59.0
2020-04-16,465.0,117.0,72.0,62.0,255.0,1016667.0,524.0,87.0
2020-04-17,561.0,119.0,78.0,78.0,275.0,1016919.0,610.0,86.0
2020-04-18,637.0,140.0,106.0,85.0,327.0,1016669.0,719.0,109.0
2020-04-19,757.0,153.0,116.0,90.0,407.0,1017248.0,848.0,129.0
2020-04-20,910.0,212.0,149.0,114.0,466.0,1017003.0,1009.0,161.0
