time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970467.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,1.0,0.0,972413.0,0.0,0.0
2020-03-08,5.0,2.0,0.0,0.0,0.0,978735.0,0.0,0.0
2020-03-09,2.0,1.0,1.0,0.0,0.0,985608.0,0.0,0.0
2020-03-10,4.0,0.0,1.0,0.0,0.0,990916.0,0.0,0.0
2020-03-11,1.0,1.0,1.0,0.0,0.0,996668.0,1.0,1.0
2020-03-12,2.0,1.0,0.0,1.0,1.0,999842.0,1.0,0.0
2020-03-13,0.0,0.0,1.0,0.0,0.0,1002119.0,2.0,1.0
2020-03-14,0.0,0.0,1.0,0.0,0.0,1003535.0,2.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1006574.0,2.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,0.0,1009199.0,2.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1008811.0,2.0,0.0
2020-03-18,3.0,0.0,1.0,0.0,0.0,1009259.0,2.0,0.0
2020-03-19,2.0,0.0,1.0,2.0,0.0,1009737.0,3.0,1.0
2020-03-20,2.0,0.0,1.0,0.0,2.0,1010875.0,3.0,0.0
2020-03-21,4.0,0.0,0.0,1.0,2.0,1012395.0,3.0,0.0
2020-03-22,4.0,2.0,0.0,3.0,3.0,1012471.0,4.0,1.0
2020-03-23,8.0,1.0,1.0,0.0,7.0,1012966.0,4.0,0.0
2020-03-24,9.0,2.0,2.0,0.0,6.0,1013384.0,6.0,2.0
2020-03-25,9.0,0.0,2.0,0.0,4.0,1014617.0,6.0,0.0
2020-03-26,4.0,1.0,6.0,1.0,5.0,1015959.0,10.0,4.0
2020-03-27,5.0,4.0,1.0,2.0,5.0,1015358.0,12.0,2.0
2020-03-28,12.0,2.0,4.0,2.0,6.0,1015524.0,14.0,2.0
2020-03-29,22.0,3.0,3.0,5.0,7.0,1015688.0,16.0,2.0
2020-03-30,25.0,4.0,3.0,2.0,11.0,1016595.0,21.0,5.0
2020-03-31,29.0,8.0,5.0,0.0,14.0,1015789.0,26.0,5.0
2020-04-01,36.0,6.0,9.0,4.0,15.0,1015007.0,33.0,7.0
2020-04-02,44.0,8.0,10.0,3.0,17.0,1015478.0,40.0,7.0
2020-04-03,49.0,12.0,12.0,6.0,19.0,1015855.0,52.0,12.0
2020-04-04,59.0,17.0,10.0,10.0,19.0,1016389.0,63.0,11.0
2020-04-05,76.0,14.0,20.0,9.0,31.0,1017555.0,78.0,15.0
2020-04-06,80.0,16.0,16.0,10.0,47.0,1018032.0,91.0,13.0
2020-04-07,87.0,22.0,14.0,11.0,54.0,1017409.0,109.0,18.0
2020-04-08,94.0,21.0,17.0,9.0,57.0,1016698.0,124.0,15.0
2020-04-09,124.0,26.0,22.0,15.0,63.0,1017270.0,144.0,20.0
2020-04-10,153.0,35.0,22.0,18.0,75.0,1018354.0,172.0,28.0
2020-04-11,175.0,49.0,28.0,21.0,80.0,1018474.0,207.0,35.0
2020-04-12,221.0,57.0,36.0,23.0,98.0,1018122.0,242.0,35.0
2020-04-13,239.0,59.0,45.0,27.0,133.0,1017639.0,285.0,43.0
2020-04-14,282.0,52.0,59.0,37.0,148.0,1018043.0,329.0,44.0
2020-04-15,298.0,77.0,66.0,42.0,183.0,1018249.0,396.0,67.0
2020-04-16,388.0,75.0,63.0,73.0,203.0,1017974.0,445.0,49.0
