time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969611.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,0.0,0.0,973673.0,0.0,0.0
2020-03-08,3.0,1.0,1.0,0.0,0.0,979662.0,0.0,0.0
2020-03-09,2.0,1.0,2.0,0.0,0.0,986257.0,1.0,1.0
2020-03-10,2.0,0.0,1.0,0.0,0.0,992759.0,1.0,0.0
2020-03-11,2.0,0.0,2.0,0.0,0.0,996610.0,2.0,1.0
2020-03-12,3.0,0.0,0.0,1.0,1.0,999830.0,2.0,0.0
2020-03-13,3.0,0.0,0.0,1.0,1.0,1002213.0,2.0,0.0
2020-03-14,3.0,0.0,1.0,1.0,0.0,1004753.0,3.0,1.0
2020-03-15,3.0,0.0,0.0,1.0,1.0,1006255.0,3.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,1.0,1007441.0,3.0,0.0
2020-03-17,4.0,0.0,0.0,0.0,1.0,1009648.0,3.0,0.0
2020-03-18,3.0,1.0,0.0,1.0,1.0,1010653.0,5.0,2.0
2020-03-19,3.0,1.0,1.0,0.0,3.0,1011088.0,6.0,1.0
2020-03-20,9.0,1.0,1.0,1.0,2.0,1012034.0,7.0,1.0
2020-03-21,6.0,1.0,2.0,0.0,2.0,1012196.0,8.0,1.0
2020-03-22,6.0,0.0,2.0,0.0,3.0,1011612.0,9.0,1.0
2020-03-23,5.0,0.0,2.0,2.0,4.0,1012994.0,10.0,1.0
2020-03-24,6.0,2.0,1.0,2.0,4.0,1013964.0,12.0,2.0
2020-03-25,7.0,0.0,2.0,2.0,5.0,1013743.0,12.0,0.0
2020-03-26,11.0,0.0,2.0,2.0,7.0,1014268.0,13.0,1.0
2020-03-27,19.0,1.0,0.0,1.0,4.0,1015523.0,13.0,0.0
2020-03-28,15.0,1.0,1.0,0.0,5.0,1016967.0,16.0,3.0
2020-03-29,17.0,1.0,2.0,2.0,5.0,1016630.0,16.0,0.0
2020-03-30,12.0,1.0,1.0,2.0,6.0,1016304.0,18.0,2.0
2020-03-31,20.0,0.0,3.0,2.0,11.0,1014664.0,18.0,0.0
2020-04-01,25.0,2.0,3.0,3.0,12.0,1015081.0,20.0,2.0
2020-04-02,37.0,4.0,4.0,3.0,11.0,1016742.0,22.0,2.0
2020-04-03,35.0,7.0,5.0,5.0,12.0,1017723.0,30.0,8.0
2020-04-04,44.0,11.0,4.0,8.0,15.0,1016891.0,39.0,9.0
2020-04-05,59.0,17.0,10.0,5.0,13.0,1018275.0,49.0,10.0
2020-04-06,75.0,22.0,13.0,13.0,18.0,1016996.0,66.0,17.0
2020-04-07,93.0,18.0,17.0,10.0,32.0,1016777.0,75.0,9.0
2020-04-08,108.0,30.0,16.0,15.0,38.0,1018675.0,103.0,28.0
2020-04-09,115.0,22.0,26.0,16.0,41.0,1017594.0,119.0,16.0
2020-04-10,149.0,31.0,25.0,15.0,67.0,1017230.0,141.0,22.0
2020-04-11,183.0,37.0,28.0,23.0,91.0,1017806.0,169.0,28.0
2020-04-12,214.0,45.0,40.0,29.0,97.0,1017875.0,213.0,44.0
2020-04-13,240.0,57.0,33.0,32.0,112.0,1019521.0,250.0,37.0
2020-04-14,296.0,76.0,53.0,33.0,144.0,1019417.0,308.0,58.0
2020-04-15,372.0,79.0,59.0,40.0,195.0,1019456.0,368.0,60.0
2020-04-16,410.0,84.0,84.0,47.0,211.0,1020424.0,436.0,68.0
2020-04-17,457.0,112.0,84.0,59.0,237.0,1021188.0,526.0,90.0
2020-04-18,551.0,132.0,117.0,76.0,299.0,1020155.0,629.0,103.0
2020-04-19,715.0,164.0,120.0,107.0,313.0,1018673.0,751.0,122.0
2020-04-20,848.0,173.0,153.0,126.0,406.0,1018952.0,899.0,148.0
2020-04-21,1020.0,229.0,169.0,149.0,450.0,1018709.0,1072.0,173.0
2020-04-22,1226.0,253.0,217.0,168.0,567.0,1018786.0,1263.0,191.0
2020-04-23,1415.0,306.0,229.0,199.0,682.0,1017936.0,1509.0,246.0
2020-04-24,1703.0,340.0,264.0,223.0,811.0,1017480.0,1781.0,272.0
2020-04-25,1985.0,437.0,333.0,272.0,991.0,1017125.0,2129.0,348.0
2020-04-26,2278.0,491.0,391.0,317.0,1130.0,1017272.0,2543.0,414.0
2020-04-27,2714.0,578.0,464.0,369.0,1368.0,1017424.0,3015.0,472.0
2020-04-28,3306.0,687.0,574.0,460.0,1617.0,1016965.0,3550.0,535.0
2020-04-29,3895.0,869.0,674.0,550.0,1887.0,1015119.0,4249.0,699.0
2020-04-30,4673.0,970.0,741.0,686.0,2304.0,1013956.0,5016.0,767.0
2020-05-01,5601.0,1148.0,921.0,752.0,2785.0,1011904.0,5925.0,909.0
2020-05-02,6698.0,1410.0,1078.0,872.0,3348.0,1010072.0,7026.0,1101.0
2020-05-03,7808.0,1705.0,1379.0,998.0,3968.0,1006953.0,8413.0,1387.0
2020-05-04,9292.0,2014.0,1639.0,1247.0,4769.0,1004298.0,9996.0,1583.0
2020-05-05,11049.0,2373.0,1869.0,1488.0,5616.0,1000432.0,11878.0,1882.0
2020-05-06,13063.0,2778.0,2230.0,1691.0,6603.0,996994.0,14076.0,2198.0
2020-05-07,15318.0,3344.0,2634.0,1958.0,7890.0,992334.0,16672.0,2596.0
2020-05-08,18181.0,4001.0,3108.0,2492.0,9265.0,986168.0,19751.0,3079.0
2020-05-09,21533.0,4746.0,3675.0,2873.0,10972.0,980109.0,23439.0,3688.0
2020-05-10,25490.0,5573.0,4443.0,3368.0,12937.0,973037.0,27775.0,4336.0
