time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970543.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,0.0,0.0,973781.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,1.0,980326.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,1.0,987035.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,2.0,0.0,993123.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,1.0,2.0,996050.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,1.0,999439.0,0.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,1.0,1002934.0,0.0,0.0
2020-03-14,2.0,1.0,0.0,0.0,1.0,1005233.0,1.0,1.0
2020-03-15,1.0,1.0,0.0,0.0,1.0,1008011.0,1.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1008322.0,1.0,0.0
2020-03-17,0.0,2.0,0.0,0.0,1.0,1009573.0,2.0,1.0
2020-03-18,1.0,1.0,0.0,0.0,1.0,1010154.0,2.0,0.0
2020-03-19,4.0,0.0,0.0,1.0,2.0,1010113.0,2.0,0.0
2020-03-20,3.0,1.0,0.0,0.0,2.0,1011357.0,3.0,1.0
2020-03-21,4.0,0.0,1.0,0.0,3.0,1011788.0,3.0,0.0
2020-03-22,6.0,0.0,0.0,1.0,3.0,1013885.0,3.0,0.0
2020-03-23,6.0,0.0,0.0,2.0,2.0,1013862.0,3.0,0.0
2020-03-24,4.0,0.0,0.0,2.0,6.0,1012823.0,4.0,1.0
2020-03-25,6.0,0.0,0.0,0.0,6.0,1013508.0,4.0,0.0
2020-03-26,5.0,0.0,2.0,0.0,3.0,1012472.0,5.0,1.0
2020-03-27,4.0,1.0,0.0,1.0,2.0,1014009.0,6.0,1.0
2020-03-28,8.0,2.0,0.0,0.0,3.0,1014360.0,7.0,1.0
2020-03-29,6.0,4.0,1.0,0.0,3.0,1015048.0,11.0,4.0
2020-03-30,5.0,3.0,2.0,1.0,5.0,1015308.0,12.0,1.0
2020-03-31,8.0,4.0,2.0,1.0,5.0,1015792.0,13.0,1.0
2020-04-01,13.0,4.0,3.0,0.0,9.0,1016110.0,15.0,2.0
2020-04-02,12.0,2.0,4.0,0.0,7.0,1016448.0,16.0,1.0
2020-04-03,13.0,3.0,3.0,1.0,3.0,1015743.0,18.0,2.0
2020-04-04,16.0,3.0,4.0,0.0,5.0,1014808.0,20.0,2.0
2020-04-05,12.0,2.0,4.0,1.0,9.0,1016670.0,24.0,4.0
2020-04-06,21.0,4.0,1.0,3.0,12.0,1016706.0,27.0,3.0
2020-04-07,31.0,9.0,2.0,3.0,9.0,1016693.0,35.0,8.0
2020-04-08,28.0,6.0,3.0,4.0,13.0,1016933.0,38.0,3.0
2020-04-09,25.0,11.0,4.0,4.0,19.0,1017513.0,45.0,7.0
2020-04-10,29.0,8.0,7.0,5.0,19.0,1017778.0,51.0,6.0
2020-04-11,38.0,5.0,9.0,8.0,23.0,1017308.0,57.0,6.0
2020-04-12,41.0,12.0,8.0,11.0,33.0,1017396.0,64.0,7.0
2020-04-13,48.0,10.0,11.0,9.0,42.0,1017394.0,72.0,8.0
2020-04-14,73.0,18.0,7.0,11.0,47.0,1018940.0,86.0,14.0
2020-04-15,84.0,15.0,13.0,6.0,52.0,1019822.0,95.0,9.0
2020-04-16,95.0,24.0,11.0,13.0,56.0,1019049.0,114.0,19.0
2020-04-17,118.0,24.0,16.0,19.0,59.0,1019713.0,129.0,15.0
2020-04-18,148.0,31.0,20.0,21.0,73.0,1019462.0,148.0,19.0
2020-04-19,187.0,27.0,19.0,26.0,85.0,1018740.0,162.0,14.0
2020-04-20,205.0,36.0,33.0,28.0,98.0,1019324.0,196.0,34.0
2020-04-21,237.0,52.0,34.0,26.0,118.0,1018931.0,237.0,41.0
2020-04-22,256.0,48.0,44.0,31.0,143.0,1019217.0,277.0,40.0
2020-04-23,298.0,63.0,49.0,46.0,148.0,1019936.0,327.0,50.0
2020-04-24,358.0,71.0,64.0,56.0,193.0,1020357.0,382.0,55.0
2020-04-25,433.0,99.0,64.0,51.0,223.0,1019604.0,458.0,76.0
2020-04-26,525.0,110.0,86.0,65.0,263.0,1020857.0,538.0,80.0
2020-04-27,655.0,128.0,119.0,75.0,304.0,1021540.0,636.0,98.0
2020-04-28,772.0,161.0,114.0,107.0,368.0,1021742.0,762.0,126.0
2020-04-29,886.0,192.0,161.0,115.0,454.0,1022169.0,916.0,154.0
2020-04-30,1070.0,226.0,188.0,154.0,540.0,1021162.0,1089.0,173.0
2020-05-01,1300.0,245.0,231.0,158.0,623.0,1020298.0,1289.0,200.0
2020-05-02,1574.0,333.0,284.0,197.0,755.0,1020446.0,1564.0,275.0
2020-05-03,1778.0,436.0,304.0,229.0,938.0,1019775.0,1909.0,345.0
2020-05-04,2208.0,512.0,366.0,274.0,1108.0,1019191.0,2307.0,398.0
2020-05-05,2592.0,541.0,477.0,325.0,1286.0,1018166.0,2733.0,426.0
2020-05-06,3100.0,638.0,505.0,389.0,1531.0,1016539.0,3224.0,491.0
2020-05-07,3653.0,737.0,632.0,462.0,1785.0,1015930.0,3824.0,600.0
2020-05-08,4297.0,898.0,675.0,573.0,2093.0,1015272.0,4555.0,731.0
2020-05-09,5065.0,1113.0,866.0,672.0,2488.0,1014464.0,5457.0,902.0
2020-05-10,6065.0,1289.0,1057.0,779.0,2937.0,1012111.0,6459.0,1002.0
