time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970019.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,973892.0,0.0,0.0
2020-03-08,4.0,0.0,1.0,0.0,0.0,980261.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,0.0,0.0,986665.0,1.0,1.0
2020-03-10,3.0,0.0,0.0,0.0,0.0,992095.0,1.0,0.0
2020-03-11,2.0,1.0,0.0,0.0,0.0,996466.0,1.0,0.0
2020-03-12,1.0,2.0,0.0,0.0,0.0,1000049.0,2.0,1.0
2020-03-13,2.0,4.0,1.0,0.0,0.0,1003747.0,3.0,1.0
2020-03-14,4.0,1.0,1.0,0.0,0.0,1005426.0,3.0,0.0
2020-03-15,6.0,1.0,2.0,1.0,1.0,1006971.0,4.0,1.0
2020-03-16,9.0,3.0,1.0,1.0,1.0,1008137.0,8.0,4.0
2020-03-17,8.0,4.0,1.0,2.0,1.0,1008769.0,11.0,3.0
2020-03-18,15.0,3.0,1.0,3.0,3.0,1008742.0,13.0,2.0
2020-03-19,7.0,4.0,1.0,1.0,3.0,1009542.0,14.0,1.0
2020-03-20,10.0,1.0,2.0,1.0,4.0,1010117.0,14.0,0.0
2020-03-21,18.0,3.0,3.0,1.0,6.0,1011714.0,17.0,3.0
2020-03-22,14.0,5.0,3.0,0.0,10.0,1011849.0,21.0,4.0
2020-03-23,22.0,4.0,5.0,0.0,10.0,1011651.0,24.0,3.0
2020-03-24,22.0,8.0,3.0,4.0,11.0,1012524.0,31.0,7.0
2020-03-25,29.0,8.0,6.0,1.0,17.0,1013671.0,37.0,6.0
2020-03-26,29.0,8.0,7.0,2.0,15.0,1014179.0,44.0,7.0
2020-03-27,33.0,13.0,7.0,6.0,11.0,1015086.0,55.0,11.0
2020-03-28,49.0,19.0,7.0,12.0,20.0,1015770.0,63.0,8.0
2020-03-29,59.0,20.0,8.0,12.0,20.0,1015174.0,74.0,11.0
2020-03-30,64.0,15.0,11.0,14.0,23.0,1015327.0,85.0,11.0
2020-03-31,74.0,17.0,9.0,12.0,34.0,1016177.0,95.0,10.0
2020-04-01,88.0,23.0,13.0,11.0,37.0,1016199.0,115.0,20.0
2020-04-02,106.0,20.0,25.0,11.0,42.0,1016357.0,134.0,19.0
2020-04-03,114.0,19.0,14.0,17.0,51.0,1017310.0,152.0,18.0
2020-04-04,111.0,30.0,15.0,13.0,63.0,1017096.0,175.0,23.0
2020-04-05,127.0,35.0,31.0,14.0,71.0,1017025.0,205.0,30.0
2020-04-06,149.0,34.0,35.0,18.0,79.0,1018127.0,229.0,24.0
2020-04-07,183.0,29.0,34.0,25.0,92.0,1017423.0,247.0,18.0
2020-04-08,231.0,49.0,38.0,32.0,113.0,1016939.0,292.0,45.0
2020-04-09,281.0,63.0,54.0,35.0,140.0,1016385.0,338.0,46.0
2020-04-10,324.0,70.0,59.0,38.0,163.0,1016808.0,390.0,52.0
2020-04-11,422.0,77.0,74.0,56.0,201.0,1016418.0,450.0,60.0
2020-04-12,469.0,95.0,80.0,71.0,232.0,1016506.0,524.0,74.0
2020-04-13,557.0,122.0,86.0,87.0,236.0,1016833.0,620.0,96.0
2020-04-14,647.0,133.0,112.0,97.0,307.0,1016765.0,725.0,105.0
2020-04-15,794.0,159.0,120.0,108.0,384.0,1018097.0,838.0,113.0
2020-04-16,947.0,183.0,164.0,105.0,432.0,1017768.0,978.0,140.0
