time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970439.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,1.0,1.0,972544.0,0.0,0.0
2020-03-08,0.0,2.0,0.0,1.0,1.0,978022.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,1.0,0.0,985292.0,0.0,0.0
2020-03-10,4.0,1.0,0.0,0.0,0.0,991236.0,0.0,0.0
2020-03-11,1.0,2.0,0.0,0.0,0.0,995273.0,2.0,2.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,998832.0,2.0,0.0
2020-03-13,2.0,0.0,1.0,1.0,0.0,1001729.0,2.0,0.0
2020-03-14,3.0,1.0,0.0,0.0,0.0,1004225.0,3.0,1.0
2020-03-15,3.0,1.0,0.0,0.0,0.0,1006500.0,3.0,0.0
2020-03-16,2.0,3.0,0.0,1.0,1.0,1009227.0,4.0,1.0
2020-03-17,1.0,0.0,0.0,0.0,4.0,1009557.0,4.0,0.0
2020-03-18,3.0,0.0,1.0,0.0,1.0,1011085.0,4.0,0.0
2020-03-19,5.0,0.0,2.0,1.0,0.0,1012115.0,5.0,1.0
2020-03-20,4.0,1.0,1.0,1.0,3.0,1011563.0,7.0,2.0
2020-03-21,6.0,0.0,1.0,2.0,7.0,1012977.0,8.0,1.0
2020-03-22,9.0,2.0,0.0,2.0,7.0,1013589.0,10.0,2.0
2020-03-23,11.0,2.0,3.0,1.0,4.0,1013715.0,13.0,3.0
2020-03-24,7.0,0.0,1.0,2.0,2.0,1015215.0,14.0,1.0
2020-03-25,12.0,1.0,1.0,0.0,4.0,1015084.0,14.0,0.0
2020-03-26,15.0,0.0,1.0,1.0,4.0,1013913.0,14.0,0.0
2020-03-27,13.0,1.0,1.0,0.0,3.0,1014021.0,15.0,1.0
2020-03-28,10.0,3.0,1.0,2.0,5.0,1013400.0,17.0,2.0
2020-03-29,8.0,4.0,3.0,0.0,7.0,1015537.0,20.0,3.0
2020-03-30,12.0,3.0,1.0,0.0,14.0,1015339.0,22.0,2.0
2020-03-31,16.0,6.0,0.0,1.0,11.0,1013879.0,27.0,5.0
2020-04-01,14.0,6.0,2.0,1.0,14.0,1015141.0,29.0,2.0
2020-04-02,21.0,5.0,5.0,2.0,15.0,1015072.0,33.0,4.0
2020-04-03,30.0,5.0,4.0,5.0,17.0,1016246.0,36.0,3.0
2020-04-04,38.0,7.0,4.0,3.0,17.0,1016337.0,40.0,4.0
2020-04-05,44.0,6.0,5.0,7.0,23.0,1017348.0,44.0,4.0
2020-04-06,50.0,8.0,8.0,4.0,26.0,1018758.0,51.0,7.0
2020-04-07,63.0,10.0,3.0,5.0,32.0,1018586.0,55.0,4.0
2020-04-08,82.0,16.0,10.0,8.0,31.0,1019199.0,70.0,15.0
2020-04-09,93.0,16.0,12.0,11.0,41.0,1018538.0,87.0,17.0
2020-04-10,108.0,24.0,22.0,6.0,57.0,1018415.0,111.0,24.0
2020-04-11,130.0,33.0,16.0,13.0,58.0,1019015.0,136.0,25.0
2020-04-12,170.0,38.0,29.0,13.0,73.0,1019456.0,155.0,19.0
2020-04-13,184.0,40.0,37.0,31.0,98.0,1018731.0,192.0,37.0
2020-04-14,231.0,57.0,38.0,28.0,115.0,1019183.0,235.0,43.0
2020-04-15,270.0,61.0,54.0,33.0,127.0,1020431.0,279.0,44.0
2020-04-16,311.0,54.0,53.0,45.0,134.0,1020581.0,322.0,43.0
2020-04-17,352.0,59.0,50.0,50.0,171.0,1021204.0,373.0,51.0
2020-04-18,377.0,83.0,62.0,60.0,209.0,1020173.0,443.0,70.0
2020-04-19,456.0,84.0,60.0,59.0,249.0,1020190.0,519.0,76.0
2020-04-20,520.0,117.0,75.0,82.0,280.0,1020144.0,615.0,96.0
2020-04-21,610.0,131.0,93.0,77.0,317.0,1020143.0,705.0,90.0
2020-04-22,693.0,160.0,125.0,84.0,387.0,1020218.0,828.0,123.0
2020-04-23,879.0,186.0,167.0,118.0,438.0,1019187.0,963.0,135.0
2020-04-24,1017.0,233.0,173.0,144.0,532.0,1019988.0,1144.0,181.0
2020-04-25,1295.0,298.0,189.0,170.0,651.0,1019413.0,1366.0,222.0
2020-04-26,1507.0,362.0,267.0,207.0,748.0,1019276.0,1664.0,298.0
2020-04-27,1801.0,389.0,329.0,246.0,903.0,1017957.0,1976.0,312.0
2020-04-28,2150.0,450.0,377.0,283.0,1056.0,1017524.0,2301.0,325.0
2020-04-29,2592.0,545.0,435.0,358.0,1190.0,1015997.0,2719.0,418.0
2020-04-30,3133.0,664.0,529.0,421.0,1493.0,1014450.0,3265.0,546.0
2020-05-01,3730.0,769.0,620.0,487.0,1770.0,1013472.0,3887.0,622.0
2020-05-02,4345.0,918.0,675.0,612.0,2121.0,1013719.0,4611.0,724.0
2020-05-03,5137.0,1080.0,875.0,673.0,2489.0,1013156.0,5483.0,872.0
2020-05-04,6001.0,1275.0,1024.0,768.0,2967.0,1011434.0,6468.0,985.0
2020-05-05,7318.0,1525.0,1265.0,968.0,3560.0,1008240.0,7648.0,1180.0
2020-05-06,8604.0,1869.0,1470.0,1129.0,4206.0,1006362.0,9115.0,1467.0
2020-05-07,10249.0,2267.0,1784.0,1336.0,5023.0,1002052.0,10899.0,1784.0
2020-05-08,12265.0,2620.0,2108.0,1616.0,6015.0,998136.0,12950.0,2051.0
2020-05-09,14502.0,3137.0,2446.0,2003.0,7142.0,993977.0,15423.0,2473.0
2020-05-10,16862.0,3606.0,2942.0,2318.0,8521.0,989237.0,18277.0,2854.0
2020-05-11,20079.0,4319.0,3532.0,2602.0,10212.0,983418.0,21708.0,3431.0
2020-05-12,23526.0,5190.0,4104.0,3284.0,11971.0,975711.0,25706.0,3998.0
2020-05-13,27841.0,6028.0,4819.0,3899.0,14223.0,967582.0,30408.0,4702.0
2020-05-14,32968.0,7170.0,5657.0,4505.0,16987.0,956302.0,35982.0,5574.0
2020-05-15,38511.0,8567.0,6754.0,5252.0,20197.0,944137.0,42613.0,6631.0
2020-05-16,44980.0,9810.0,7903.0,6283.0,23914.0,930295.0,50169.0,7556.0
2020-05-17,52353.0,11416.0,9242.0,7451.0,28181.0,913482.0,59056.0,8887.0
2020-05-18,60741.0,13302.0,10926.0,8675.0,33523.0,894969.0,69361.0,10305.0
2020-05-19,70277.0,15690.0,12601.0,10288.0,39477.0,873652.0,81520.0,12159.0
2020-05-20,81129.0,18385.0,14771.0,11886.0,46815.0,849778.0,95626.0,14106.0
2020-05-21,92973.0,20789.0,17370.0,13828.0,55229.0,822757.0,111675.0,16049.0
2020-05-22,105217.0,23958.0,19882.0,16060.0,65160.0,792410.0,130005.0,18330.0
2020-05-23,119256.0,27167.0,22710.0,18453.0,76665.0,759874.0,150638.0,20633.0
2020-05-24,132993.0,30709.0,25538.0,21313.0,89389.0,725060.0,173883.0,23245.0
