time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970079.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,973282.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,978455.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985843.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,2.0,992026.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,2.0,996217.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1001011.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003274.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,1.0,1005507.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1007089.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1007892.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,2.0,1009949.0,0.0,0.0
2020-03-18,0.0,1.0,0.0,0.0,1.0,1009573.0,1.0,1.0
2020-03-19,0.0,0.0,0.0,0.0,1.0,1010723.0,1.0,0.0
2020-03-20,0.0,0.0,1.0,0.0,1.0,1011476.0,1.0,0.0
2020-03-21,2.0,1.0,0.0,2.0,2.0,1013399.0,1.0,0.0
2020-03-22,3.0,1.0,0.0,2.0,1.0,1011571.0,2.0,1.0
2020-03-23,5.0,0.0,0.0,2.0,0.0,1013358.0,2.0,0.0
2020-03-24,4.0,1.0,0.0,1.0,0.0,1013536.0,3.0,1.0
2020-03-25,4.0,0.0,0.0,0.0,1.0,1013390.0,4.0,1.0
2020-03-26,6.0,1.0,0.0,0.0,1.0,1013825.0,6.0,2.0
2020-03-27,5.0,1.0,2.0,0.0,1.0,1014632.0,8.0,2.0
2020-03-28,9.0,2.0,4.0,2.0,2.0,1014462.0,11.0,3.0
2020-03-29,14.0,2.0,4.0,4.0,4.0,1014960.0,11.0,0.0
2020-03-30,13.0,4.0,2.0,1.0,5.0,1014890.0,13.0,2.0
2020-03-31,13.0,3.0,4.0,2.0,9.0,1016281.0,18.0,5.0
2020-04-01,18.0,3.0,3.0,0.0,10.0,1016638.0,19.0,1.0
2020-04-02,21.0,2.0,2.0,2.0,9.0,1016548.0,19.0,0.0
2020-04-03,17.0,2.0,3.0,2.0,13.0,1015998.0,21.0,2.0
2020-04-04,25.0,2.0,2.0,4.0,16.0,1014389.0,22.0,1.0
2020-04-05,29.0,4.0,7.0,4.0,20.0,1015643.0,28.0,6.0
2020-04-06,36.0,5.0,6.0,2.0,23.0,1016263.0,31.0,3.0
2020-04-07,32.0,7.0,9.0,2.0,24.0,1017576.0,38.0,7.0
2020-04-08,30.0,6.0,12.0,2.0,34.0,1017882.0,45.0,7.0
2020-04-09,50.0,9.0,10.0,4.0,37.0,1017511.0,50.0,5.0
2020-04-10,77.0,13.0,13.0,12.0,37.0,1018967.0,60.0,10.0
2020-04-11,92.0,18.0,7.0,12.0,45.0,1020238.0,72.0,12.0
2020-04-12,99.0,26.0,10.0,11.0,49.0,1018612.0,90.0,18.0
2020-04-13,109.0,24.0,20.0,13.0,63.0,1018794.0,102.0,12.0
2020-04-14,126.0,30.0,21.0,8.0,76.0,1019488.0,128.0,26.0
2020-04-15,143.0,36.0,25.0,17.0,91.0,1018357.0,154.0,26.0
2020-04-16,179.0,44.0,35.0,23.0,111.0,1018203.0,191.0,37.0
2020-04-17,220.0,57.0,39.0,35.0,126.0,1018928.0,228.0,37.0
2020-04-18,294.0,54.0,45.0,42.0,137.0,1018237.0,263.0,35.0
2020-04-19,356.0,74.0,59.0,48.0,172.0,1018362.0,319.0,56.0
2020-04-20,449.0,87.0,89.0,60.0,202.0,1019123.0,393.0,74.0
2020-04-21,564.0,100.0,85.0,70.0,256.0,1019861.0,480.0,87.0
2020-04-22,658.0,134.0,103.0,88.0,291.0,1019710.0,591.0,111.0
2020-04-23,767.0,156.0,153.0,88.0,360.0,1020231.0,723.0,132.0
2020-04-24,907.0,206.0,154.0,112.0,440.0,1020005.0,881.0,158.0
2020-04-25,1041.0,216.0,183.0,136.0,530.0,1019194.0,1058.0,177.0
2020-04-26,1196.0,254.0,176.0,159.0,643.0,1018819.0,1255.0,197.0
2020-04-27,1393.0,314.0,232.0,175.0,717.0,1018599.0,1498.0,243.0
2020-04-28,1732.0,368.0,289.0,222.0,825.0,1018959.0,1786.0,288.0
2020-04-29,2118.0,434.0,357.0,272.0,998.0,1017623.0,2143.0,357.0
2020-04-30,2394.0,511.0,405.0,305.0,1178.0,1017474.0,2559.0,416.0
2020-05-01,2886.0,617.0,485.0,341.0,1452.0,1016930.0,3049.0,490.0
2020-05-02,3421.0,719.0,575.0,435.0,1698.0,1016887.0,3596.0,547.0
2020-05-03,4101.0,854.0,680.0,531.0,1984.0,1015214.0,4270.0,674.0
2020-05-04,4749.0,1031.0,783.0,621.0,2367.0,1014604.0,5070.0,800.0
2020-05-05,5761.0,1260.0,937.0,690.0,2875.0,1012376.0,6024.0,954.0
2020-05-06,6832.0,1452.0,1153.0,896.0,3354.0,1010869.0,7146.0,1122.0
2020-05-07,8160.0,1779.0,1380.0,1054.0,3912.0,1007730.0,8527.0,1381.0
2020-05-08,9634.0,2080.0,1556.0,1229.0,4752.0,1005111.0,10142.0,1615.0
2020-05-09,11280.0,2456.0,1847.0,1436.0,5590.0,1001964.0,12091.0,1949.0
2020-05-10,13256.0,2925.0,2146.0,1746.0,6483.0,997410.0,14405.0,2314.0
2020-05-11,15846.0,3471.0,2703.0,2091.0,7655.0,992134.0,17091.0,2686.0
2020-05-12,18540.0,4147.0,3144.0,2448.0,9105.0,986731.0,20267.0,3176.0
2020-05-13,21995.0,4755.0,3794.0,2887.0,10792.0,980371.0,23975.0,3708.0
2020-05-14,25644.0,5677.0,4358.0,3561.0,13051.0,971895.0,28373.0,4398.0
2020-05-15,30604.0,6566.0,5273.0,4144.0,15541.0,962825.0,33493.0,5120.0
2020-05-16,35545.0,7747.0,6101.0,4948.0,18429.0,952561.0,39514.0,6021.0
2020-05-17,41663.0,9104.0,7299.0,5783.0,21870.0,939143.0,46462.0,6948.0
2020-05-18,48701.0,10646.0,8492.0,6846.0,25846.0,924871.0,54708.0,8246.0
2020-05-19,56263.0,12248.0,9827.0,7854.0,30578.0,908005.0,64201.0,9493.0
2020-05-20,64890.0,14438.0,11730.0,9054.0,36075.0,888863.0,75389.0,11188.0
2020-05-21,74870.0,16919.0,13559.0,10837.0,42593.0,866155.0,88408.0,13019.0
2020-05-22,86534.0,19217.0,15702.0,12679.0,50050.0,842469.0,102968.0,14560.0
2020-05-23,97482.0,22269.0,18055.0,14665.0,58649.0,814317.0,120010.0,17042.0
2020-05-24,110349.0,25094.0,20486.0,16784.0,69139.0,784224.0,138980.0,18970.0
2020-05-25,123583.0,28364.0,23564.0,19217.0,80327.0,750508.0,160725.0,21745.0
2020-05-26,137473.0,32034.0,26949.0,22109.0,93027.0,714733.0,185005.0,24280.0
2020-05-27,151219.0,35977.0,30120.0,25258.0,108199.0,674575.0,211920.0,26915.0
