time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970626.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,973269.0,0.0,0.0
2020-03-08,2.0,0.0,2.0,0.0,0.0,980515.0,1.0,1.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,987083.0,1.0,0.0
2020-03-10,3.0,0.0,0.0,1.0,1.0,992326.0,1.0,0.0
2020-03-11,2.0,0.0,1.0,1.0,1.0,996416.0,1.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,2.0,999729.0,2.0,1.0
2020-03-13,0.0,0.0,1.0,0.0,2.0,1003113.0,2.0,0.0
2020-03-14,1.0,0.0,0.0,1.0,2.0,1004551.0,2.0,0.0
2020-03-15,3.0,0.0,1.0,1.0,1.0,1006143.0,2.0,0.0
2020-03-16,4.0,1.0,0.0,1.0,2.0,1007622.0,3.0,1.0
2020-03-17,4.0,1.0,0.0,1.0,2.0,1009623.0,4.0,1.0
2020-03-18,2.0,0.0,0.0,0.0,3.0,1009970.0,4.0,0.0
2020-03-19,2.0,1.0,0.0,0.0,2.0,1010746.0,5.0,1.0
2020-03-20,1.0,0.0,0.0,1.0,3.0,1011536.0,5.0,0.0
2020-03-21,2.0,1.0,0.0,1.0,6.0,1012424.0,6.0,1.0
2020-03-22,4.0,1.0,5.0,2.0,6.0,1013610.0,7.0,1.0
2020-03-23,7.0,3.0,2.0,3.0,3.0,1013567.0,9.0,2.0
2020-03-24,16.0,1.0,3.0,1.0,7.0,1013116.0,9.0,0.0
2020-03-25,12.0,5.0,5.0,0.0,8.0,1014507.0,13.0,4.0
2020-03-26,17.0,3.0,4.0,3.0,6.0,1016747.0,14.0,1.0
2020-03-27,22.0,2.0,3.0,5.0,9.0,1015884.0,15.0,1.0
2020-03-28,27.0,9.0,1.0,3.0,7.0,1015329.0,23.0,8.0
2020-03-29,21.0,8.0,4.0,2.0,13.0,1014454.0,28.0,5.0
2020-03-30,22.0,8.0,5.0,1.0,12.0,1014756.0,33.0,5.0
2020-03-31,30.0,4.0,5.0,3.0,11.0,1016074.0,34.0,1.0
2020-04-01,28.0,9.0,2.0,4.0,11.0,1016440.0,41.0,7.0
2020-04-02,38.0,11.0,8.0,3.0,13.0,1017066.0,49.0,8.0
2020-04-03,51.0,17.0,7.0,4.0,18.0,1017008.0,57.0,8.0
2020-04-04,55.0,14.0,12.0,6.0,19.0,1016912.0,65.0,8.0
2020-04-05,66.0,11.0,15.0,7.0,32.0,1016529.0,72.0,7.0
2020-04-06,83.0,11.0,16.0,9.0,44.0,1017234.0,83.0,11.0
2020-04-07,111.0,15.0,16.0,20.0,46.0,1016907.0,100.0,17.0
2020-04-08,142.0,27.0,20.0,17.0,69.0,1017875.0,113.0,13.0
2020-04-09,163.0,33.0,16.0,19.0,73.0,1017734.0,145.0,32.0
2020-04-10,163.0,43.0,27.0,22.0,84.0,1017372.0,178.0,33.0
2020-04-11,193.0,47.0,33.0,26.0,80.0,1017650.0,222.0,44.0
2020-04-12,221.0,50.0,38.0,29.0,107.0,1017595.0,255.0,33.0
2020-04-13,280.0,48.0,48.0,32.0,131.0,1018517.0,293.0,38.0
2020-04-14,316.0,75.0,53.0,36.0,151.0,1017061.0,351.0,58.0
2020-04-15,364.0,86.0,72.0,57.0,188.0,1017136.0,418.0,67.0
2020-04-16,414.0,92.0,86.0,59.0,204.0,1018060.0,504.0,86.0
2020-04-17,515.0,118.0,90.0,76.0,255.0,1018845.0,598.0,94.0
2020-04-18,595.0,132.0,95.0,80.0,306.0,1018441.0,691.0,93.0
2020-04-19,722.0,156.0,115.0,91.0,347.0,1018194.0,808.0,117.0
2020-04-20,864.0,200.0,119.0,107.0,405.0,1017687.0,955.0,147.0
2020-04-21,994.0,231.0,197.0,115.0,469.0,1017518.0,1140.0,185.0
2020-04-22,1199.0,239.0,222.0,154.0,558.0,1017945.0,1323.0,183.0
2020-04-23,1406.0,318.0,249.0,191.0,667.0,1018192.0,1572.0,249.0
2020-04-24,1705.0,361.0,316.0,238.0,819.0,1016701.0,1877.0,305.0
2020-04-25,2081.0,447.0,321.0,265.0,978.0,1018781.0,2225.0,348.0
2020-04-26,2419.0,496.0,411.0,336.0,1149.0,1017395.0,2630.0,405.0
2020-04-27,2869.0,567.0,511.0,385.0,1387.0,1017090.0,3096.0,466.0
2020-04-28,3410.0,733.0,570.0,481.0,1653.0,1015698.0,3680.0,584.0
2020-04-29,3941.0,850.0,653.0,548.0,1960.0,1014770.0,4369.0,689.0
2020-04-30,4583.0,1016.0,789.0,597.0,2360.0,1013372.0,5177.0,808.0
2020-05-01,5529.0,1143.0,880.0,763.0,2692.0,1011075.0,6022.0,845.0
2020-05-02,6507.0,1445.0,1077.0,848.0,3164.0,1010318.0,7173.0,1151.0
2020-05-03,7698.0,1767.0,1359.0,980.0,3750.0,1007656.0,8499.0,1326.0
2020-05-04,9220.0,1906.0,1591.0,1301.0,4465.0,1003359.0,9997.0,1498.0
2020-05-05,10866.0,2264.0,1854.0,1470.0,5441.0,1000188.0,11786.0,1789.0
2020-05-06,12870.0,2751.0,2135.0,1816.0,6437.0,996190.0,13959.0,2173.0
2020-05-07,15098.0,3272.0,2585.0,2095.0,7597.0,991814.0,16576.0,2617.0
2020-05-08,17785.0,3919.0,3055.0,2409.0,9013.0,987007.0,19662.0,3086.0
2020-05-09,20820.0,4510.0,3573.0,2821.0,10738.0,981982.0,23179.0,3517.0
2020-05-10,24400.0,5330.0,4194.0,3302.0,12649.0,973712.0,27379.0,4200.0
2020-05-11,29107.0,6171.0,4957.0,3888.0,15068.0,965370.0,32091.0,4712.0
2020-05-12,34159.0,7502.0,5858.0,4724.0,17812.0,954311.0,37979.0,5888.0
2020-05-13,40293.0,8893.0,6813.0,5489.0,21151.0,941708.0,44710.0,6731.0
2020-05-14,46826.0,10334.0,8366.0,6438.0,24691.0,926663.0,52829.0,8119.0
2020-05-15,54467.0,11968.0,9519.0,7708.0,29545.0,911677.0,62006.0,9177.0
2020-05-16,63238.0,13761.0,11272.0,8899.0,34659.0,893158.0,72613.0,10607.0
2020-05-17,72930.0,15964.0,13022.0,10342.0,40749.0,871692.0,85075.0,12462.0
2020-05-18,83763.0,18467.0,14992.0,12134.0,47962.0,847299.0,99276.0,14201.0
2020-05-19,95040.0,21444.0,17278.0,14110.0,56202.0,820733.0,115875.0,16599.0
2020-05-20,106839.0,24622.0,19788.0,16266.0,66002.0,790252.0,134708.0,18833.0
2020-05-21,120329.0,27621.0,23028.0,18666.0,77505.0,756685.0,155981.0,21273.0
2020-05-22,134375.0,31323.0,26083.0,21450.0,90294.0,719979.0,179605.0,23624.0
2020-05-23,148382.0,35079.0,29584.0,24427.0,105424.0,681031.0,205988.0,26383.0
2020-05-24,162328.0,38601.0,32891.0,27690.0,121900.0,641962.0,234689.0,28701.0
2020-05-25,175159.0,42250.0,36584.0,31091.0,140961.0,599221.0,266136.0,31447.0
2020-05-26,187193.0,45851.0,40000.0,34575.0,161828.0,556356.0,299726.0,33590.0
2020-05-27,197436.0,49060.0,43372.0,38123.0,184481.0,511962.0,335488.0,35762.0
2020-05-28,204899.0,52265.0,46790.0,41468.0,209771.0,469517.0,372987.0,37499.0
2020-05-29,210303.0,54496.0,49777.0,44843.0,237402.0,427209.0,411989.0,39002.0
2020-05-30,214087.0,56101.0,52528.0,47730.0,267568.0,386863.0,451591.0,39602.0
2020-05-31,214649.0,57276.0,54728.0,50411.0,299772.0,348717.0,491828.0,40237.0
2020-06-01,212564.0,57698.0,55766.0,52882.0,332317.0,313015.0,532124.0,40296.0
2020-06-02,207592.0,57715.0,56727.0,54048.0,367454.0,281800.0,572081.0,39957.0
2020-06-03,201311.0,56683.0,56834.0,55903.0,402791.0,252850.0,610542.0,38461.0
2020-06-04,192557.0,55250.0,56251.0,56165.0,438569.0,226603.0,647750.0,37208.0
2020-06-05,182759.0,53387.0,55081.0,55966.0,474745.0,203879.0,683498.0,35748.0
2020-06-06,171664.0,51026.0,53443.0,54739.0,510829.0,184048.0,717047.0,33549.0
2020-06-07,159982.0,48253.0,51736.0,53996.0,545216.0,167189.0,748648.0,31601.0
2020-06-08,148742.0,45122.0,49047.0,52267.0,579384.0,152207.0,777901.0,29253.0
2020-06-09,136396.0,42082.0,46485.0,49500.0,612236.0,139347.0,805122.0,27221.0
2020-06-10,125214.0,38586.0,43693.0,47218.0,642331.0,128409.0,829785.0,24663.0
2020-06-11,114422.0,35813.0,40184.0,44372.0,672505.0,118966.0,852475.0,22690.0
2020-06-12,103748.0,33055.0,37131.0,41727.0,700576.0,110763.0,873267.0,20792.0
2020-06-13,93614.0,29892.0,34521.0,38714.0,726791.0,103682.0,892128.0,18861.0
2020-06-14,84246.0,26949.0,31633.0,35969.0,750781.0,97105.0,909011.0,16883.0
2020-06-15,75566.0,24433.0,28656.0,32940.0,772817.0,91999.0,924143.0,15132.0
2020-06-16,68064.0,21981.0,26044.0,30187.0,792768.0,87407.0,937638.0,13495.0
2020-06-17,60809.0,20037.0,23480.0,27440.0,810553.0,83513.0,949974.0,12336.0
2020-06-18,54257.0,17863.0,21597.0,24994.0,827082.0,80386.0,960952.0,10978.0
2020-06-19,48418.0,16089.0,19420.0,22792.0,842159.0,77656.0,970835.0,9883.0
2020-06-20,43018.0,14403.0,17172.0,20682.0,856203.0,74948.0,979671.0,8836.0
2020-06-21,38296.0,12727.0,15441.0,18779.0,870083.0,72696.0,987433.0,7762.0
2020-06-22,33908.0,11363.0,13668.0,16714.0,881584.0,71019.0,994350.0,6917.0
2020-06-23,30072.0,9957.0,12219.0,14790.0,890548.0,69352.0,1000493.0,6143.0
2020-06-24,26735.0,9010.0,10895.0,13344.0,900667.0,68381.0,1005853.0,5360.0
2020-06-25,23582.0,7871.0,9809.0,11828.0,906573.0,67133.0,1010650.0,4797.0
2020-06-26,20725.0,7005.0,8527.0,10490.0,914906.0,66255.0,1014951.0,4301.0
2020-06-27,18388.0,6189.0,7611.0,9309.0,920185.0,65063.0,1018686.0,3735.0
2020-06-28,16259.0,5558.0,6669.0,8488.0,926307.0,64206.0,1021986.0,3300.0
2020-06-29,14484.0,5005.0,5990.0,7481.0,930646.0,63443.0,1024952.0,2966.0
2020-06-30,12767.0,4323.0,5344.0,6691.0,934920.0,63065.0,1027576.0,2624.0
2020-07-01,11159.0,3796.0,4727.0,5878.0,938927.0,62529.0,1029907.0,2331.0
2020-07-02,9938.0,3414.0,4200.0,5249.0,942662.0,62274.0,1031930.0,2023.0
2020-07-03,8743.0,3055.0,3710.0,4597.0,945561.0,61781.0,1033786.0,1856.0
2020-07-04,7798.0,2597.0,3346.0,4092.0,947909.0,61642.0,1035304.0,1518.0
2020-07-05,7038.0,2328.0,2887.0,3536.0,950718.0,61310.0,1036685.0,1381.0
2020-07-06,6258.0,1981.0,2615.0,3200.0,953175.0,61160.0,1037907.0,1222.0
