time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970205.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,972185.0,0.0,0.0
2020-03-08,0.0,1.0,0.0,0.0,0.0,979253.0,0.0,0.0
2020-03-09,0.0,0.0,1.0,0.0,0.0,986388.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,992571.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,996291.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1000096.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1004393.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1006010.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1007573.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1008372.0,0.0,0.0
2020-03-17,0.0,1.0,0.0,0.0,1.0,1008848.0,0.0,0.0
2020-03-18,3.0,0.0,1.0,0.0,1.0,1008990.0,0.0,0.0
2020-03-19,5.0,1.0,1.0,0.0,0.0,1011403.0,0.0,0.0
2020-03-20,2.0,0.0,2.0,0.0,1.0,1011490.0,0.0,0.0
2020-03-21,3.0,0.0,1.0,0.0,1.0,1011531.0,0.0,0.0
2020-03-22,6.0,1.0,0.0,0.0,0.0,1011937.0,1.0,1.0
2020-03-23,6.0,0.0,1.0,1.0,0.0,1012463.0,1.0,0.0
2020-03-24,6.0,2.0,1.0,0.0,3.0,1012507.0,4.0,3.0
2020-03-25,5.0,1.0,0.0,1.0,4.0,1013041.0,5.0,1.0
2020-03-26,6.0,1.0,0.0,1.0,4.0,1013912.0,6.0,1.0
2020-03-27,9.0,1.0,2.0,2.0,7.0,1014698.0,6.0,0.0
2020-03-28,7.0,1.0,1.0,1.0,8.0,1014789.0,7.0,1.0
2020-03-29,7.0,1.0,2.0,0.0,6.0,1015224.0,7.0,0.0
2020-03-30,4.0,1.0,3.0,1.0,9.0,1016540.0,9.0,2.0
2020-03-31,10.0,1.0,2.0,0.0,14.0,1017090.0,11.0,2.0
2020-04-01,6.0,0.0,3.0,1.0,11.0,1017918.0,12.0,1.0
2020-04-02,10.0,2.0,2.0,1.0,15.0,1017942.0,14.0,2.0
2020-04-03,17.0,6.0,2.0,2.0,22.0,1017070.0,19.0,5.0
2020-04-04,20.0,8.0,4.0,4.0,18.0,1017189.0,24.0,5.0
2020-04-05,25.0,9.0,6.0,3.0,16.0,1017159.0,30.0,6.0
2020-04-06,38.0,9.0,4.0,6.0,19.0,1017440.0,33.0,3.0
2020-04-07,45.0,8.0,8.0,5.0,30.0,1016146.0,40.0,7.0
2020-04-08,52.0,10.0,9.0,5.0,28.0,1017420.0,50.0,10.0
2020-04-09,64.0,16.0,11.0,3.0,28.0,1018533.0,65.0,15.0
2020-04-10,74.0,23.0,12.0,9.0,35.0,1018708.0,81.0,16.0
2020-04-11,86.0,24.0,17.0,13.0,50.0,1018959.0,96.0,15.0
2020-04-12,98.0,26.0,19.0,17.0,59.0,1020320.0,112.0,16.0
2020-04-13,125.0,21.0,23.0,25.0,66.0,1020947.0,128.0,16.0
2020-04-14,148.0,29.0,24.0,21.0,85.0,1020244.0,155.0,27.0
2020-04-15,169.0,37.0,33.0,26.0,91.0,1019569.0,186.0,31.0
2020-04-16,208.0,47.0,25.0,26.0,110.0,1020618.0,222.0,36.0
2020-04-17,259.0,68.0,33.0,34.0,119.0,1019866.0,265.0,43.0
2020-04-18,291.0,80.0,52.0,41.0,154.0,1018678.0,330.0,65.0
2020-04-19,343.0,74.0,80.0,44.0,183.0,1017751.0,383.0,53.0
2020-04-20,422.0,82.0,68.0,74.0,229.0,1017794.0,435.0,52.0
2020-04-21,477.0,105.0,85.0,67.0,285.0,1018155.0,531.0,96.0
2020-04-22,598.0,125.0,102.0,86.0,331.0,1018377.0,625.0,94.0
2020-04-23,766.0,153.0,137.0,92.0,352.0,1019736.0,743.0,118.0
2020-04-24,929.0,202.0,164.0,122.0,410.0,1019275.0,913.0,170.0
2020-04-25,1085.0,249.0,176.0,137.0,514.0,1020887.0,1107.0,194.0
2020-04-26,1284.0,297.0,202.0,174.0,596.0,1019941.0,1334.0,227.0
2020-04-27,1533.0,348.0,267.0,199.0,731.0,1019856.0,1605.0,271.0
2020-04-28,1739.0,393.0,331.0,227.0,859.0,1019020.0,1928.0,323.0
2020-04-29,2020.0,448.0,341.0,279.0,1034.0,1017657.0,2281.0,353.0
2020-04-30,2355.0,499.0,403.0,308.0,1195.0,1018421.0,2678.0,397.0
2020-05-01,2847.0,603.0,504.0,328.0,1484.0,1018206.0,3145.0,467.0
2020-05-02,3335.0,713.0,579.0,453.0,1699.0,1016383.0,3713.0,568.0
2020-05-03,4014.0,842.0,715.0,522.0,1984.0,1016351.0,4384.0,671.0
2020-05-04,4820.0,984.0,831.0,631.0,2386.0,1014708.0,5166.0,782.0
2020-05-05,5696.0,1296.0,940.0,750.0,2846.0,1011645.0,6159.0,993.0
2020-05-06,6868.0,1444.0,1197.0,913.0,3300.0,1009202.0,7294.0,1135.0
2020-05-07,8220.0,1772.0,1393.0,1085.0,3989.0,1008092.0,8693.0,1399.0
