time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970705.0,0.0,0.0
2020-03-07,4.0,3.0,0.0,0.0,0.0,972406.0,1.0,1.0
2020-03-08,5.0,5.0,0.0,0.0,0.0,978929.0,3.0,2.0
2020-03-09,7.0,2.0,1.0,1.0,0.0,985632.0,4.0,1.0
2020-03-10,2.0,2.0,0.0,2.0,0.0,991638.0,5.0,1.0
2020-03-11,1.0,2.0,0.0,1.0,2.0,995418.0,7.0,2.0
2020-03-12,2.0,4.0,1.0,0.0,1.0,1000122.0,8.0,1.0
2020-03-13,5.0,3.0,0.0,0.0,0.0,1000623.0,8.0,0.0
2020-03-14,9.0,0.0,2.0,0.0,0.0,1004483.0,8.0,0.0
2020-03-15,8.0,0.0,0.0,2.0,0.0,1006860.0,9.0,1.0
2020-03-16,12.0,1.0,2.0,1.0,2.0,1008139.0,12.0,3.0
2020-03-17,10.0,2.0,0.0,1.0,3.0,1009672.0,13.0,1.0
2020-03-18,11.0,1.0,1.0,2.0,4.0,1011105.0,14.0,1.0
2020-03-19,9.0,1.0,1.0,2.0,3.0,1012373.0,16.0,2.0
2020-03-20,10.0,1.0,2.0,0.0,6.0,1012915.0,17.0,1.0
2020-03-21,10.0,2.0,2.0,0.0,6.0,1012836.0,19.0,2.0
2020-03-22,12.0,4.0,1.0,2.0,12.0,1013795.0,22.0,3.0
2020-03-23,16.0,4.0,2.0,1.0,10.0,1013391.0,25.0,3.0
2020-03-24,19.0,6.0,3.0,3.0,9.0,1014676.0,29.0,4.0
2020-03-25,31.0,4.0,3.0,2.0,14.0,1015107.0,30.0,1.0
2020-03-26,35.0,10.0,3.0,1.0,13.0,1014856.0,39.0,9.0
2020-03-27,39.0,11.0,5.0,8.0,15.0,1013401.0,45.0,6.0
2020-03-28,48.0,8.0,11.0,6.0,18.0,1014214.0,53.0,8.0
2020-03-29,59.0,14.0,11.0,6.0,17.0,1015525.0,65.0,12.0
2020-03-30,60.0,17.0,9.0,10.0,27.0,1015562.0,77.0,12.0
2020-03-31,73.0,26.0,7.0,19.0,39.0,1014603.0,90.0,13.0
2020-04-01,97.0,19.0,22.0,10.0,46.0,1015388.0,103.0,13.0
2020-04-02,119.0,21.0,28.0,12.0,53.0,1015214.0,128.0,25.0
2020-04-03,134.0,22.0,23.0,13.0,52.0,1015331.0,150.0,22.0
