time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970407.0,0.0,0.0
2020-03-07,1.0,2.0,0.0,1.0,0.0,972140.0,1.0,1.0
2020-03-08,0.0,0.0,1.0,1.0,0.0,978364.0,1.0,0.0
2020-03-09,0.0,0.0,0.0,1.0,1.0,985725.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,0.0,992188.0,1.0,0.0
2020-03-11,4.0,0.0,0.0,1.0,1.0,996688.0,1.0,0.0
2020-03-12,5.0,2.0,0.0,1.0,1.0,999492.0,2.0,1.0
2020-03-13,5.0,1.0,0.0,0.0,2.0,1001610.0,2.0,0.0
2020-03-14,4.0,1.0,0.0,0.0,3.0,1004227.0,2.0,0.0
2020-03-15,3.0,1.0,0.0,0.0,2.0,1004279.0,3.0,1.0
2020-03-16,4.0,2.0,0.0,0.0,0.0,1006337.0,4.0,1.0
2020-03-17,6.0,1.0,1.0,0.0,0.0,1008974.0,4.0,0.0
2020-03-18,3.0,1.0,2.0,0.0,1.0,1009911.0,5.0,1.0
2020-03-19,9.0,0.0,3.0,0.0,1.0,1010560.0,5.0,0.0
2020-03-20,8.0,2.0,2.0,0.0,2.0,1010821.0,6.0,1.0
2020-03-21,8.0,1.0,1.0,4.0,3.0,1012330.0,8.0,2.0
2020-03-22,11.0,0.0,1.0,3.0,9.0,1014190.0,9.0,1.0
2020-03-23,11.0,3.0,2.0,1.0,6.0,1013714.0,12.0,3.0
2020-03-24,13.0,3.0,3.0,1.0,7.0,1015478.0,13.0,1.0
2020-03-25,16.0,5.0,3.0,3.0,8.0,1014753.0,15.0,2.0
2020-03-26,24.0,2.0,4.0,3.0,10.0,1015166.0,17.0,2.0
2020-03-27,29.0,6.0,2.0,2.0,9.0,1015608.0,21.0,4.0
2020-03-28,27.0,5.0,5.0,4.0,11.0,1016295.0,27.0,6.0
2020-03-29,34.0,9.0,3.0,3.0,13.0,1016083.0,33.0,6.0
2020-03-30,39.0,8.0,9.0,6.0,19.0,1015894.0,40.0,7.0
2020-03-31,41.0,14.0,5.0,8.0,29.0,1016426.0,47.0,7.0
2020-04-01,56.0,16.0,5.0,9.0,38.0,1017150.0,57.0,10.0
2020-04-02,66.0,13.0,7.0,5.0,39.0,1017388.0,62.0,5.0
2020-04-03,82.0,13.0,11.0,14.0,33.0,1017398.0,73.0,11.0
2020-04-04,93.0,31.0,16.0,8.0,40.0,1016738.0,96.0,23.0
2020-04-05,123.0,21.0,17.0,10.0,38.0,1017071.0,109.0,13.0
2020-04-06,130.0,33.0,13.0,22.0,43.0,1017210.0,131.0,22.0
2020-04-07,153.0,40.0,23.0,25.0,63.0,1018453.0,155.0,24.0
2020-04-08,173.0,55.0,25.0,28.0,81.0,1016988.0,197.0,42.0
2020-04-09,218.0,65.0,32.0,29.0,92.0,1016297.0,236.0,39.0
2020-04-10,271.0,62.0,52.0,33.0,107.0,1016036.0,279.0,43.0
2020-04-11,321.0,63.0,52.0,41.0,145.0,1015605.0,325.0,46.0
2020-04-12,380.0,68.0,60.0,55.0,169.0,1018146.0,385.0,60.0
2020-04-13,461.0,80.0,69.0,52.0,209.0,1017215.0,457.0,72.0
2020-04-14,554.0,109.0,77.0,59.0,247.0,1017338.0,554.0,97.0
2020-04-15,646.0,145.0,119.0,74.0,310.0,1017641.0,687.0,133.0
2020-04-16,774.0,156.0,133.0,116.0,332.0,1017341.0,820.0,133.0
2020-04-17,933.0,209.0,148.0,126.0,406.0,1017137.0,969.0,149.0
2020-04-18,1052.0,240.0,176.0,143.0,518.0,1017735.0,1142.0,173.0
2020-04-19,1299.0,275.0,229.0,174.0,643.0,1017600.0,1365.0,223.0
2020-04-20,1578.0,375.0,258.0,195.0,749.0,1016956.0,1657.0,292.0
2020-04-21,1901.0,405.0,349.0,262.0,845.0,1016770.0,1969.0,312.0
2020-04-22,2226.0,508.0,393.0,287.0,1043.0,1014918.0,2357.0,388.0
2020-04-23,2635.0,599.0,475.0,348.0,1242.0,1014995.0,2841.0,484.0
