time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,970487.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,0.0,0.0,973548.0,0.0,0.0
2020-03-08,1.0,1.0,1.0,0.0,1.0,979976.0,1.0,1.0
2020-03-09,1.0,0.0,2.0,0.0,2.0,987089.0,2.0,1.0
2020-03-10,3.0,0.0,1.0,0.0,0.0,992976.0,3.0,1.0
2020-03-11,2.0,0.0,0.0,1.0,0.0,997216.0,3.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,1000822.0,3.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1003455.0,3.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,0.0,1005121.0,3.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1006768.0,3.0,0.0
2020-03-16,1.0,1.0,0.0,0.0,2.0,1009321.0,3.0,0.0
2020-03-17,3.0,0.0,1.0,1.0,2.0,1009219.0,3.0,0.0
2020-03-18,8.0,0.0,0.0,1.0,2.0,1009665.0,3.0,0.0
2020-03-19,5.0,1.0,0.0,0.0,1.0,1010511.0,4.0,1.0
2020-03-20,5.0,1.0,2.0,1.0,1.0,1011863.0,5.0,1.0
2020-03-21,11.0,1.0,1.0,2.0,1.0,1012224.0,5.0,0.0
2020-03-22,7.0,1.0,3.0,0.0,2.0,1012810.0,6.0,1.0
2020-03-23,6.0,1.0,2.0,1.0,2.0,1013331.0,7.0,1.0
2020-03-24,8.0,0.0,0.0,0.0,5.0,1012366.0,7.0,0.0
2020-03-25,7.0,2.0,0.0,0.0,4.0,1013231.0,8.0,1.0
2020-03-26,9.0,2.0,2.0,0.0,4.0,1013341.0,9.0,1.0
2020-03-27,11.0,4.0,3.0,1.0,5.0,1014562.0,12.0,3.0
2020-03-28,14.0,2.0,3.0,2.0,6.0,1014635.0,14.0,2.0
2020-03-29,13.0,4.0,2.0,3.0,9.0,1014460.0,18.0,4.0
2020-03-30,14.0,5.0,2.0,1.0,10.0,1013651.0,20.0,2.0
2020-03-31,23.0,3.0,2.0,2.0,10.0,1014385.0,22.0,2.0
2020-04-01,16.0,7.0,2.0,2.0,8.0,1014173.0,30.0,8.0
2020-04-02,20.0,9.0,8.0,1.0,11.0,1016003.0,37.0,7.0
2020-04-03,27.0,5.0,6.0,4.0,16.0,1016833.0,40.0,3.0
2020-04-04,36.0,7.0,3.0,6.0,17.0,1016871.0,45.0,5.0
2020-04-05,32.0,10.0,6.0,5.0,21.0,1017911.0,53.0,8.0
2020-04-06,47.0,6.0,6.0,7.0,24.0,1017683.0,55.0,2.0
2020-04-07,48.0,16.0,7.0,6.0,23.0,1018137.0,72.0,17.0
2020-04-08,46.0,14.0,9.0,11.0,26.0,1019140.0,85.0,13.0
2020-04-09,60.0,18.0,13.0,12.0,33.0,1018780.0,96.0,11.0
2020-04-10,83.0,18.0,21.0,10.0,42.0,1018936.0,107.0,11.0
