time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,969917.0,0.0,0.0
2020-03-07,3.0,1.0,2.0,0.0,0.0,972101.0,1.0,1.0
2020-03-08,3.0,2.0,1.0,0.0,0.0,979781.0,3.0,2.0
2020-03-09,4.0,4.0,1.0,0.0,0.0,986848.0,4.0,1.0
2020-03-10,7.0,2.0,1.0,2.0,0.0,992222.0,5.0,1.0
2020-03-11,5.0,0.0,2.0,0.0,2.0,996775.0,5.0,0.0
2020-03-12,5.0,0.0,2.0,0.0,0.0,1000935.0,6.0,1.0
2020-03-13,4.0,0.0,0.0,2.0,0.0,1004612.0,7.0,1.0
2020-03-14,6.0,0.0,0.0,0.0,3.0,1005533.0,7.0,0.0
2020-03-15,3.0,1.0,1.0,0.0,3.0,1006815.0,8.0,1.0
2020-03-16,4.0,1.0,0.0,0.0,3.0,1007413.0,9.0,1.0
2020-03-17,5.0,0.0,0.0,0.0,2.0,1009670.0,9.0,0.0
2020-03-18,3.0,2.0,0.0,0.0,2.0,1011182.0,11.0,2.0
2020-03-19,4.0,0.0,2.0,0.0,4.0,1012463.0,12.0,1.0
2020-03-20,6.0,1.0,1.0,1.0,6.0,1012351.0,13.0,1.0
2020-03-21,7.0,3.0,1.0,1.0,6.0,1013039.0,15.0,2.0
2020-03-22,6.0,3.0,1.0,0.0,4.0,1013837.0,16.0,1.0
2020-03-23,9.0,4.0,1.0,2.0,4.0,1012674.0,18.0,2.0
2020-03-24,8.0,3.0,2.0,1.0,4.0,1012898.0,20.0,2.0
2020-03-25,10.0,2.0,1.0,1.0,7.0,1012654.0,21.0,1.0
2020-03-26,12.0,2.0,2.0,0.0,6.0,1013510.0,22.0,1.0
2020-03-27,18.0,4.0,3.0,1.0,8.0,1014858.0,24.0,2.0
2020-03-28,21.0,7.0,3.0,2.0,10.0,1014592.0,29.0,5.0
2020-03-29,18.0,7.0,3.0,6.0,14.0,1015303.0,33.0,4.0
2020-03-30,20.0,5.0,4.0,1.0,17.0,1016947.0,38.0,5.0
2020-03-31,24.0,7.0,5.0,1.0,14.0,1017036.0,43.0,5.0
2020-04-01,32.0,9.0,6.0,5.0,17.0,1015409.0,50.0,7.0
2020-04-02,32.0,7.0,7.0,3.0,18.0,1015824.0,57.0,7.0
2020-04-03,43.0,10.0,7.0,6.0,23.0,1016695.0,64.0,7.0
2020-04-04,45.0,8.0,8.0,6.0,28.0,1017016.0,71.0,7.0
2020-04-05,72.0,6.0,15.0,8.0,33.0,1016712.0,77.0,6.0
2020-04-06,85.0,13.0,9.0,15.0,43.0,1017061.0,87.0,10.0
2020-04-07,102.0,19.0,15.0,10.0,48.0,1017358.0,100.0,13.0
2020-04-08,135.0,31.0,16.0,18.0,46.0,1017918.0,123.0,23.0
2020-04-09,139.0,32.0,25.0,17.0,53.0,1018316.0,154.0,31.0
2020-04-10,174.0,35.0,29.0,18.0,65.0,1017230.0,179.0,25.0
2020-04-11,214.0,45.0,42.0,32.0,82.0,1016482.0,222.0,43.0
2020-04-12,278.0,59.0,45.0,36.0,114.0,1017783.0,259.0,37.0
2020-04-13,332.0,60.0,65.0,42.0,151.0,1016737.0,312.0,53.0
2020-04-14,360.0,66.0,55.0,53.0,168.0,1017498.0,372.0,60.0
2020-04-15,444.0,87.0,68.0,69.0,202.0,1016553.0,453.0,81.0
2020-04-16,514.0,107.0,83.0,76.0,250.0,1016711.0,542.0,89.0
2020-04-17,598.0,130.0,107.0,69.0,297.0,1017775.0,641.0,99.0
2020-04-18,708.0,157.0,109.0,86.0,353.0,1017470.0,760.0,119.0
2020-04-19,828.0,182.0,138.0,121.0,424.0,1017763.0,905.0,145.0
2020-04-20,1010.0,207.0,178.0,139.0,501.0,1017513.0,1046.0,141.0
2020-04-21,1180.0,218.0,201.0,158.0,561.0,1016574.0,1243.0,197.0
2020-04-22,1383.0,306.0,219.0,186.0,683.0,1017071.0,1491.0,248.0
2020-04-23,1642.0,354.0,280.0,226.0,793.0,1016700.0,1768.0,277.0
2020-04-24,1987.0,427.0,340.0,266.0,923.0,1015517.0,2090.0,322.0
2020-04-25,2437.0,476.0,381.0,318.0,1086.0,1014543.0,2472.0,382.0
2020-04-26,2847.0,601.0,469.0,383.0,1282.0,1014187.0,2943.0,471.0
2020-04-27,3307.0,703.0,573.0,412.0,1569.0,1014625.0,3493.0,550.0
2020-04-28,3790.0,842.0,660.0,524.0,1833.0,1013627.0,4139.0,646.0
2020-04-29,4584.0,988.0,808.0,640.0,2210.0,1011554.0,4933.0,794.0
2020-04-30,5496.0,1169.0,935.0,752.0,2672.0,1009439.0,5867.0,934.0
