time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970640.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,0.0,972045.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,0.0,980013.0,1.0,1.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,987591.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,2.0,992397.0,1.0,0.0
2020-03-11,2.0,0.0,0.0,0.0,2.0,997210.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,2.0,1000493.0,1.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,2.0,1002925.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,0.0,1004640.0,1.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,1.0,1006205.0,1.0,0.0
2020-03-16,3.0,0.0,0.0,0.0,1.0,1007779.0,1.0,0.0
2020-03-17,3.0,0.0,1.0,0.0,1.0,1009358.0,1.0,0.0
2020-03-18,3.0,0.0,1.0,0.0,0.0,1011444.0,1.0,0.0
2020-03-19,5.0,1.0,1.0,1.0,1.0,1011846.0,2.0,1.0
2020-03-20,4.0,3.0,1.0,1.0,2.0,1012232.0,4.0,2.0
2020-03-21,8.0,0.0,4.0,2.0,3.0,1011717.0,4.0,0.0
2020-03-22,11.0,1.0,2.0,4.0,4.0,1012383.0,6.0,2.0
2020-03-23,8.0,2.0,1.0,2.0,8.0,1012756.0,8.0,2.0
2020-03-24,14.0,1.0,2.0,2.0,7.0,1012593.0,8.0,0.0
2020-03-25,12.0,1.0,3.0,2.0,9.0,1013649.0,10.0,2.0
2020-03-26,16.0,3.0,4.0,0.0,9.0,1015163.0,12.0,2.0
2020-03-27,12.0,4.0,5.0,0.0,8.0,1015657.0,16.0,4.0
2020-03-28,14.0,5.0,1.0,3.0,8.0,1015254.0,20.0,4.0
2020-03-29,18.0,4.0,2.0,3.0,9.0,1014354.0,24.0,4.0
2020-03-30,17.0,8.0,3.0,3.0,8.0,1013315.0,29.0,5.0
2020-03-31,23.0,5.0,10.0,3.0,12.0,1013872.0,35.0,6.0
2020-04-01,27.0,4.0,7.0,5.0,13.0,1014551.0,42.0,7.0
2020-04-02,33.0,2.0,8.0,4.0,18.0,1014594.0,46.0,4.0
2020-04-03,36.0,9.0,4.0,6.0,19.0,1014233.0,53.0,7.0
2020-04-04,41.0,7.0,5.0,4.0,30.0,1015634.0,59.0,6.0
2020-04-05,48.0,7.0,6.0,6.0,28.0,1017104.0,63.0,4.0
