time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,969744.0,0.0,0.0
2020-03-07,2.0,0.0,1.0,0.0,0.0,972437.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,0.0,979922.0,0.0,0.0
2020-03-09,4.0,1.0,2.0,1.0,0.0,985999.0,1.0,1.0
2020-03-10,4.0,1.0,1.0,1.0,0.0,992182.0,1.0,0.0
2020-03-11,5.0,1.0,1.0,0.0,1.0,996313.0,2.0,1.0
2020-03-12,3.0,1.0,2.0,0.0,0.0,999942.0,3.0,1.0
2020-03-13,4.0,1.0,0.0,0.0,1.0,1002963.0,3.0,0.0
2020-03-14,4.0,2.0,0.0,0.0,1.0,1005028.0,4.0,1.0
2020-03-15,4.0,1.0,0.0,0.0,2.0,1006456.0,4.0,0.0
2020-03-16,3.0,1.0,1.0,0.0,2.0,1008330.0,5.0,1.0
2020-03-17,2.0,1.0,0.0,0.0,2.0,1009671.0,6.0,1.0
2020-03-18,5.0,2.0,0.0,0.0,1.0,1010286.0,7.0,1.0
2020-03-19,4.0,1.0,1.0,0.0,1.0,1010890.0,7.0,0.0
2020-03-20,7.0,3.0,0.0,2.0,2.0,1010892.0,8.0,1.0
2020-03-21,9.0,2.0,1.0,1.0,2.0,1011472.0,9.0,1.0
2020-03-22,8.0,2.0,3.0,1.0,4.0,1011109.0,11.0,2.0
2020-03-23,11.0,2.0,2.0,3.0,3.0,1011880.0,13.0,2.0
2020-03-24,9.0,5.0,0.0,1.0,5.0,1011048.0,17.0,4.0
2020-03-25,13.0,5.0,2.0,2.0,6.0,1013286.0,20.0,3.0
2020-03-26,15.0,3.0,3.0,1.0,8.0,1013998.0,21.0,1.0
2020-03-27,14.0,5.0,3.0,2.0,7.0,1015153.0,22.0,1.0
2020-03-28,18.0,3.0,5.0,3.0,12.0,1016022.0,24.0,2.0
2020-03-29,20.0,5.0,4.0,4.0,14.0,1016031.0,27.0,3.0
2020-03-30,23.0,13.0,3.0,7.0,17.0,1016875.0,33.0,6.0
2020-03-31,39.0,6.0,11.0,5.0,19.0,1018398.0,35.0,2.0
2020-04-01,49.0,9.0,7.0,10.0,23.0,1017730.0,40.0,5.0
2020-04-02,54.0,6.0,6.0,11.0,30.0,1016974.0,44.0,4.0
