time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970686.0,0.0,0.0
2020-03-07,1.0,2.0,1.0,0.0,0.0,972781.0,0.0,0.0
2020-03-08,0.0,2.0,0.0,1.0,0.0,979721.0,0.0,0.0
2020-03-09,2.0,2.0,0.0,0.0,1.0,988202.0,0.0,0.0
2020-03-10,1.0,2.0,0.0,0.0,1.0,993532.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0,0.0,997315.0,1.0,1.0
2020-03-12,3.0,0.0,0.0,0.0,1.0,1000886.0,1.0,0.0
2020-03-13,3.0,1.0,0.0,0.0,0.0,1002376.0,2.0,1.0
2020-03-14,5.0,0.0,1.0,0.0,1.0,1004741.0,2.0,0.0
2020-03-15,6.0,1.0,0.0,0.0,1.0,1007018.0,3.0,1.0
2020-03-16,7.0,0.0,0.0,0.0,0.0,1007386.0,3.0,0.0
2020-03-17,6.0,1.0,1.0,0.0,0.0,1008627.0,5.0,2.0
2020-03-18,8.0,0.0,0.0,1.0,1.0,1009069.0,5.0,0.0
2020-03-19,4.0,1.0,2.0,0.0,3.0,1009749.0,7.0,2.0
2020-03-20,2.0,1.0,0.0,0.0,3.0,1010566.0,8.0,1.0
2020-03-21,3.0,3.0,0.0,0.0,5.0,1011705.0,10.0,2.0
2020-03-22,1.0,3.0,1.0,0.0,1.0,1011462.0,12.0,2.0
2020-03-23,3.0,1.0,1.0,1.0,3.0,1012473.0,12.0,0.0
2020-03-24,4.0,0.0,1.0,1.0,2.0,1012134.0,13.0,1.0
2020-03-25,10.0,2.0,0.0,1.0,1.0,1013038.0,14.0,1.0
2020-03-26,6.0,1.0,1.0,1.0,2.0,1013704.0,14.0,0.0
2020-03-27,9.0,1.0,0.0,2.0,2.0,1014123.0,14.0,0.0
2020-03-28,7.0,1.0,1.0,0.0,5.0,1014393.0,16.0,2.0
2020-03-29,6.0,1.0,1.0,0.0,5.0,1014673.0,18.0,2.0
2020-03-30,9.0,1.0,1.0,0.0,4.0,1014344.0,19.0,1.0
2020-03-31,8.0,2.0,1.0,2.0,4.0,1015064.0,19.0,0.0
2020-04-01,15.0,2.0,2.0,0.0,8.0,1015980.0,21.0,2.0
2020-04-02,17.0,1.0,4.0,3.0,7.0,1016387.0,25.0,4.0
2020-04-03,19.0,6.0,4.0,3.0,8.0,1016892.0,30.0,5.0
2020-04-04,33.0,6.0,6.0,1.0,12.0,1016770.0,33.0,3.0
2020-04-05,39.0,5.0,7.0,7.0,15.0,1015885.0,39.0,6.0
2020-04-06,47.0,8.0,6.0,6.0,16.0,1016370.0,48.0,9.0
2020-04-07,57.0,14.0,9.0,5.0,16.0,1017248.0,59.0,11.0
2020-04-08,44.0,14.0,10.0,3.0,29.0,1016658.0,73.0,14.0
2020-04-09,63.0,12.0,16.0,6.0,28.0,1016642.0,85.0,12.0
2020-04-10,79.0,15.0,13.0,10.0,29.0,1016438.0,97.0,12.0
2020-04-11,87.0,15.0,9.0,12.0,37.0,1017936.0,108.0,11.0
2020-04-12,96.0,21.0,16.0,11.0,44.0,1017433.0,128.0,20.0
2020-04-13,112.0,27.0,13.0,14.0,48.0,1017511.0,145.0,17.0
2020-04-14,136.0,34.0,16.0,17.0,62.0,1018237.0,167.0,22.0
2020-04-15,172.0,50.0,21.0,15.0,68.0,1018235.0,195.0,28.0
2020-04-16,221.0,37.0,32.0,27.0,74.0,1018269.0,216.0,21.0
2020-04-17,241.0,43.0,35.0,29.0,110.0,1019712.0,252.0,36.0
2020-04-18,294.0,47.0,45.0,41.0,129.0,1019084.0,297.0,45.0
2020-04-19,341.0,63.0,55.0,40.0,165.0,1019087.0,348.0,51.0
2020-04-20,383.0,78.0,71.0,52.0,200.0,1020877.0,412.0,64.0
2020-04-21,427.0,88.0,83.0,66.0,227.0,1019286.0,489.0,77.0
2020-04-22,523.0,119.0,76.0,68.0,261.0,1019167.0,576.0,87.0
2020-04-23,640.0,157.0,95.0,75.0,295.0,1019272.0,692.0,116.0
2020-04-24,750.0,183.0,124.0,98.0,372.0,1018794.0,822.0,130.0
2020-04-25,820.0,215.0,171.0,107.0,438.0,1018980.0,1001.0,179.0
2020-04-26,1087.0,218.0,189.0,141.0,523.0,1018951.0,1166.0,165.0
2020-04-27,1278.0,248.0,198.0,178.0,616.0,1018017.0,1376.0,210.0
2020-04-28,1511.0,306.0,237.0,212.0,751.0,1018285.0,1619.0,243.0
2020-04-29,1783.0,345.0,258.0,262.0,906.0,1016567.0,1887.0,268.0
2020-04-30,2112.0,428.0,324.0,291.0,1064.0,1016760.0,2228.0,341.0
2020-05-01,2481.0,534.0,376.0,316.0,1245.0,1015450.0,2663.0,435.0
2020-05-02,2990.0,593.0,529.0,367.0,1479.0,1014951.0,3141.0,478.0
2020-05-03,3629.0,718.0,592.0,463.0,1764.0,1014633.0,3733.0,592.0
2020-05-04,4305.0,879.0,687.0,545.0,2112.0,1012802.0,4457.0,724.0
2020-05-05,5074.0,1104.0,793.0,673.0,2465.0,1013997.0,5296.0,839.0
2020-05-06,5924.0,1301.0,971.0,765.0,2942.0,1010543.0,6313.0,1017.0
2020-05-07,7172.0,1555.0,1249.0,951.0,3459.0,1008519.0,7560.0,1247.0
2020-05-08,8499.0,1836.0,1508.0,1170.0,4037.0,1006886.0,8989.0,1429.0
2020-05-09,9899.0,2172.0,1719.0,1427.0,4847.0,1003060.0,10712.0,1723.0
2020-05-10,11772.0,2616.0,1994.0,1624.0,5818.0,998752.0,12737.0,2025.0
2020-05-11,14080.0,3100.0,2355.0,1852.0,7002.0,994531.0,15086.0,2349.0
