time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,1.0,0.0,0.0,970652.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,0.0,0.0,972903.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,0.0,979482.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,986045.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,991732.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,995901.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,2.0,999499.0,0.0,0.0
2020-03-13,3.0,0.0,1.0,1.0,1.0,1002610.0,0.0,0.0
2020-03-14,4.0,0.0,1.0,0.0,2.0,1004485.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,2.0,1007428.0,1.0,1.0
2020-03-16,3.0,0.0,0.0,0.0,1.0,1010100.0,1.0,0.0
2020-03-17,3.0,1.0,1.0,0.0,1.0,1011207.0,2.0,1.0
2020-03-18,2.0,3.0,0.0,1.0,2.0,1011579.0,3.0,1.0
2020-03-19,3.0,1.0,1.0,1.0,4.0,1012486.0,3.0,0.0
2020-03-20,8.0,0.0,1.0,0.0,7.0,1012584.0,3.0,0.0
2020-03-21,8.0,2.0,0.0,1.0,7.0,1012029.0,3.0,0.0
2020-03-22,9.0,2.0,1.0,1.0,8.0,1012755.0,4.0,1.0
2020-03-23,9.0,5.0,2.0,4.0,5.0,1012244.0,8.0,4.0
2020-03-24,15.0,3.0,5.0,4.0,6.0,1012951.0,10.0,2.0
2020-03-25,16.0,3.0,4.0,4.0,8.0,1013777.0,13.0,3.0
2020-03-26,16.0,2.0,2.0,4.0,13.0,1013511.0,14.0,1.0
2020-03-27,11.0,4.0,1.0,3.0,14.0,1013848.0,16.0,2.0
2020-03-28,15.0,7.0,3.0,2.0,12.0,1015210.0,20.0,4.0
2020-03-29,27.0,6.0,3.0,5.0,13.0,1015225.0,22.0,2.0
2020-03-30,33.0,3.0,2.0,6.0,13.0,1014952.0,23.0,1.0
2020-03-31,39.0,2.0,3.0,9.0,16.0,1016025.0,28.0,5.0
2020-04-01,37.0,6.0,6.0,5.0,31.0,1016921.0,34.0,6.0
2020-04-02,43.0,15.0,6.0,6.0,30.0,1016598.0,45.0,11.0
2020-04-03,46.0,8.0,8.0,6.0,31.0,1015982.0,50.0,5.0
2020-04-04,48.0,12.0,6.0,11.0,31.0,1017823.0,61.0,11.0
2020-04-05,66.0,12.0,8.0,9.0,37.0,1016765.0,66.0,5.0
2020-04-06,76.0,11.0,12.0,9.0,42.0,1016964.0,75.0,9.0
2020-04-07,80.0,22.0,14.0,12.0,48.0,1016785.0,95.0,20.0
2020-04-08,109.0,24.0,21.0,12.0,55.0,1018078.0,107.0,12.0
2020-04-09,131.0,31.0,18.0,18.0,56.0,1016857.0,129.0,22.0
2020-04-10,139.0,28.0,32.0,19.0,65.0,1016105.0,146.0,17.0
2020-04-11,168.0,37.0,23.0,28.0,75.0,1016858.0,173.0,27.0
2020-04-12,210.0,49.0,36.0,32.0,103.0,1018889.0,206.0,33.0
2020-04-13,254.0,57.0,35.0,46.0,129.0,1019379.0,246.0,40.0
2020-04-14,307.0,57.0,48.0,50.0,153.0,1019610.0,298.0,52.0
2020-04-15,361.0,68.0,67.0,65.0,169.0,1019459.0,362.0,64.0
2020-04-16,425.0,90.0,71.0,59.0,215.0,1019104.0,432.0,70.0
2020-04-17,494.0,104.0,86.0,61.0,246.0,1019268.0,518.0,86.0
2020-04-18,572.0,129.0,98.0,91.0,287.0,1019475.0,614.0,96.0
2020-04-19,696.0,143.0,127.0,108.0,358.0,1018045.0,719.0,105.0
2020-04-20,869.0,188.0,124.0,124.0,411.0,1017741.0,860.0,141.0
2020-04-21,1030.0,223.0,169.0,134.0,460.0,1017178.0,1032.0,172.0
2020-04-22,1195.0,256.0,196.0,147.0,546.0,1017784.0,1213.0,181.0
2020-04-23,1484.0,340.0,237.0,185.0,657.0,1017795.0,1454.0,241.0
2020-04-24,1678.0,375.0,291.0,208.0,804.0,1017838.0,1737.0,283.0
2020-04-25,2071.0,428.0,350.0,264.0,932.0,1016244.0,2102.0,365.0
2020-04-26,2415.0,517.0,403.0,332.0,1102.0,1017442.0,2537.0,435.0
2020-04-27,2834.0,628.0,503.0,395.0,1334.0,1016028.0,3033.0,496.0
2020-04-28,3404.0,754.0,552.0,449.0,1683.0,1014322.0,3586.0,553.0
2020-04-29,4067.0,886.0,665.0,541.0,2032.0,1014155.0,4281.0,695.0
2020-04-30,4753.0,1040.0,800.0,644.0,2399.0,1012298.0,5113.0,832.0
2020-05-01,5792.0,1171.0,964.0,758.0,2870.0,1011353.0,6027.0,914.0
2020-05-02,6876.0,1457.0,1167.0,904.0,3342.0,1010018.0,7152.0,1125.0
2020-05-03,8237.0,1702.0,1368.0,1100.0,3966.0,1007150.0,8495.0,1343.0
2020-05-04,9802.0,2149.0,1676.0,1264.0,4735.0,1004423.0,10198.0,1703.0
2020-05-05,11598.0,2529.0,1919.0,1544.0,5615.0,1001592.0,12188.0,1990.0
2020-05-06,13719.0,2833.0,2326.0,1785.0,6841.0,997375.0,14411.0,2223.0
2020-05-07,16233.0,3420.0,2674.0,2058.0,8130.0,993023.0,17161.0,2750.0
2020-05-08,18812.0,4187.0,3297.0,2456.0,9478.0,987093.0,20495.0,3334.0
2020-05-09,22455.0,4821.0,3890.0,2950.0,11108.0,978297.0,24222.0,3727.0
2020-05-10,26177.0,5788.0,4539.0,3585.0,13156.0,968972.0,28694.0,4472.0
2020-05-11,30605.0,6712.0,5276.0,4280.0,15827.0,960494.0,33965.0,5271.0
