time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970444.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,0.0,972751.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,1.0,979104.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,985561.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,990067.0,0.0,0.0
2020-03-11,2.0,0.0,0.0,1.0,0.0,995760.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,2.0,2.0,997864.0,1.0,1.0
2020-03-13,1.0,0.0,0.0,1.0,1.0,1002428.0,1.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,2.0,1006041.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1007190.0,1.0,0.0
2020-03-16,0.0,1.0,0.0,0.0,2.0,1007747.0,2.0,1.0
2020-03-17,1.0,1.0,1.0,0.0,2.0,1009605.0,2.0,0.0
2020-03-18,0.0,1.0,0.0,0.0,1.0,1010878.0,2.0,0.0
2020-03-19,0.0,0.0,0.0,1.0,2.0,1012256.0,2.0,0.0
2020-03-20,1.0,0.0,0.0,1.0,3.0,1012339.0,2.0,0.0
2020-03-21,3.0,0.0,0.0,1.0,3.0,1012143.0,2.0,0.0
2020-03-22,0.0,1.0,0.0,0.0,4.0,1011924.0,3.0,1.0
2020-03-23,1.0,0.0,0.0,0.0,5.0,1012116.0,3.0,0.0
2020-03-24,1.0,0.0,0.0,0.0,6.0,1013972.0,3.0,0.0
2020-03-25,3.0,1.0,0.0,0.0,3.0,1013131.0,4.0,1.0
2020-03-26,5.0,0.0,0.0,1.0,4.0,1013737.0,4.0,0.0
2020-03-27,5.0,0.0,1.0,0.0,2.0,1014566.0,4.0,0.0
2020-03-28,2.0,0.0,0.0,2.0,1.0,1014531.0,5.0,1.0
2020-03-29,7.0,0.0,2.0,1.0,2.0,1014267.0,5.0,0.0
2020-03-30,8.0,1.0,3.0,2.0,3.0,1013199.0,7.0,2.0
2020-03-31,7.0,3.0,0.0,3.0,3.0,1014915.0,10.0,3.0
2020-04-01,15.0,2.0,1.0,1.0,8.0,1015464.0,10.0,0.0
2020-04-02,13.0,4.0,1.0,0.0,6.0,1016178.0,13.0,3.0
2020-04-03,22.0,7.0,5.0,2.0,9.0,1017379.0,16.0,3.0
2020-04-04,30.0,10.0,6.0,5.0,7.0,1016336.0,25.0,9.0
2020-04-05,36.0,7.0,7.0,7.0,10.0,1017411.0,30.0,5.0
2020-04-06,36.0,6.0,7.0,4.0,18.0,1017516.0,34.0,4.0
2020-04-07,50.0,8.0,5.0,8.0,20.0,1016956.0,41.0,7.0
2020-04-08,67.0,9.0,8.0,12.0,16.0,1016163.0,48.0,7.0
2020-04-09,67.0,10.0,7.0,9.0,27.0,1015816.0,55.0,7.0
2020-04-10,80.0,15.0,9.0,10.0,39.0,1018067.0,69.0,14.0
2020-04-11,86.0,31.0,8.0,10.0,48.0,1018979.0,90.0,21.0
2020-04-12,85.0,26.0,18.0,6.0,60.0,1019497.0,112.0,22.0
2020-04-13,100.0,31.0,21.0,15.0,65.0,1018926.0,132.0,20.0
2020-04-14,135.0,33.0,19.0,14.0,73.0,1018304.0,150.0,18.0
2020-04-15,179.0,35.0,32.0,22.0,84.0,1018125.0,179.0,29.0
2020-04-16,201.0,35.0,39.0,18.0,110.0,1019096.0,213.0,34.0
2020-04-17,238.0,47.0,52.0,28.0,117.0,1018907.0,250.0,37.0
2020-04-18,282.0,61.0,40.0,45.0,150.0,1020172.0,303.0,53.0
2020-04-19,307.0,58.0,59.0,52.0,172.0,1020201.0,358.0,55.0
2020-04-20,410.0,61.0,65.0,53.0,214.0,1021235.0,403.0,45.0
2020-04-21,454.0,90.0,67.0,59.0,261.0,1019575.0,465.0,62.0
2020-04-22,514.0,96.0,89.0,75.0,297.0,1019366.0,542.0,77.0
2020-04-23,595.0,147.0,100.0,76.0,343.0,1021027.0,660.0,118.0
2020-04-24,748.0,153.0,110.0,106.0,408.0,1019693.0,782.0,122.0
2020-04-25,871.0,184.0,131.0,107.0,458.0,1020405.0,926.0,144.0
2020-04-26,1033.0,221.0,176.0,126.0,488.0,1019855.0,1102.0,176.0
2020-04-27,1206.0,251.0,197.0,159.0,605.0,1018996.0,1308.0,206.0
2020-04-28,1457.0,287.0,209.0,211.0,702.0,1018335.0,1516.0,208.0
2020-04-29,1738.0,352.0,282.0,240.0,858.0,1018597.0,1807.0,291.0
2020-04-30,2042.0,403.0,320.0,288.0,993.0,1018267.0,2109.0,302.0
2020-05-01,2520.0,530.0,422.0,330.0,1165.0,1017138.0,2525.0,416.0
2020-05-02,2956.0,655.0,483.0,397.0,1423.0,1015636.0,3027.0,502.0
2020-05-03,3507.0,776.0,631.0,503.0,1658.0,1015085.0,3627.0,600.0
2020-05-04,4205.0,935.0,702.0,559.0,1993.0,1013918.0,4359.0,732.0
2020-05-05,5045.0,1085.0,816.0,677.0,2365.0,1012648.0,5171.0,812.0
2020-05-06,5907.0,1288.0,935.0,829.0,2853.0,1010832.0,6175.0,1004.0
2020-05-07,6950.0,1530.0,1158.0,873.0,3440.0,1008232.0,7363.0,1188.0
2020-05-08,8320.0,1730.0,1413.0,1075.0,4094.0,1006055.0,8662.0,1299.0
2020-05-09,9931.0,2125.0,1699.0,1313.0,4826.0,1002853.0,10369.0,1707.0
2020-05-10,11836.0,2531.0,1956.0,1598.0,5745.0,999406.0,12327.0,1958.0
2020-05-11,14072.0,3050.0,2433.0,1877.0,6858.0,995932.0,14697.0,2370.0
2020-05-12,16730.0,3617.0,2900.0,2289.0,8279.0,989849.0,17547.0,2850.0
2020-05-13,19582.0,4175.0,3367.0,2665.0,9762.0,984814.0,20893.0,3346.0
2020-05-14,23057.0,4943.0,3921.0,3200.0,11721.0,977430.0,24793.0,3900.0
2020-05-15,27089.0,5963.0,4536.0,3685.0,13974.0,968397.0,29429.0,4636.0
2020-05-16,31581.0,7021.0,5582.0,4193.0,16560.0,959624.0,34894.0,5465.0
2020-05-17,37581.0,8010.0,6549.0,5195.0,19472.0,949442.0,41069.0,6175.0
2020-05-18,43942.0,9470.0,7608.0,6070.0,23191.0,936548.0,48444.0,7375.0
2020-05-19,51502.0,11326.0,9097.0,7126.0,27464.0,920023.0,57247.0,8803.0
2020-05-20,59889.0,13074.0,10579.0,8437.0,32341.0,901706.0,67319.0,10072.0
2020-05-21,69106.0,15415.0,12410.0,9739.0,38323.0,880802.0,79267.0,11948.0
2020-05-22,79488.0,17699.0,14390.0,11683.0,45297.0,857590.0,93019.0,13752.0
2020-05-23,90657.0,20305.0,16497.0,13621.0,53335.0,831887.0,108650.0,15631.0
2020-05-24,102474.0,23297.0,19020.0,15551.0,62752.0,803192.0,126503.0,17853.0
2020-05-25,115583.0,26538.0,21810.0,17861.0,73213.0,770042.0,146686.0,20183.0
2020-05-26,129409.0,29813.0,24877.0,20501.0,85879.0,734975.0,169250.0,22564.0
