time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,2.0,1.0,0.0,0.0,970303.0,0.0,0.0
2020-03-07,3.0,2.0,1.0,0.0,0.0,970972.0,0.0,0.0
2020-03-08,3.0,0.0,2.0,0.0,0.0,977716.0,1.0,1.0
2020-03-09,8.0,1.0,1.0,0.0,2.0,985123.0,3.0,2.0
2020-03-10,5.0,0.0,1.0,0.0,1.0,990905.0,3.0,0.0
2020-03-11,6.0,1.0,2.0,0.0,0.0,996475.0,5.0,2.0
2020-03-12,9.0,2.0,1.0,1.0,0.0,999466.0,5.0,0.0
2020-03-13,5.0,4.0,0.0,1.0,0.0,1002852.0,8.0,3.0
2020-03-14,11.0,2.0,2.0,0.0,0.0,1005065.0,8.0,0.0
2020-03-15,11.0,3.0,0.0,1.0,0.0,1007119.0,9.0,1.0
2020-03-16,8.0,4.0,0.0,0.0,2.0,1008447.0,10.0,1.0
2020-03-17,6.0,3.0,1.0,0.0,2.0,1009848.0,11.0,1.0
2020-03-18,8.0,3.0,0.0,1.0,2.0,1009961.0,13.0,2.0
2020-03-19,10.0,2.0,3.0,0.0,2.0,1011799.0,14.0,1.0
2020-03-20,6.0,2.0,1.0,0.0,4.0,1012098.0,16.0,2.0
2020-03-21,9.0,5.0,1.0,0.0,3.0,1012046.0,17.0,1.0
2020-03-22,15.0,2.0,4.0,0.0,2.0,1012331.0,18.0,1.0
2020-03-23,16.0,3.0,4.0,2.0,6.0,1012793.0,22.0,4.0
2020-03-24,17.0,2.0,2.0,4.0,6.0,1013595.0,25.0,3.0
2020-03-25,18.0,4.0,1.0,2.0,9.0,1013687.0,29.0,4.0
2020-03-26,21.0,3.0,1.0,2.0,11.0,1013870.0,31.0,2.0
2020-03-27,23.0,4.0,3.0,2.0,12.0,1015561.0,34.0,3.0
2020-03-28,27.0,6.0,6.0,3.0,8.0,1015412.0,38.0,4.0
2020-03-29,33.0,5.0,6.0,3.0,15.0,1015686.0,45.0,7.0
2020-03-30,40.0,5.0,5.0,5.0,22.0,1016046.0,50.0,5.0
2020-03-31,53.0,11.0,8.0,5.0,22.0,1015150.0,57.0,7.0
2020-04-01,62.0,19.0,6.0,4.0,27.0,1013806.0,67.0,10.0
2020-04-02,74.0,23.0,19.0,7.0,38.0,1015150.0,85.0,18.0
2020-04-03,96.0,31.0,26.0,6.0,42.0,1014533.0,112.0,27.0
2020-04-04,122.0,31.0,18.0,19.0,42.0,1016489.0,132.0,20.0
2020-04-05,144.0,33.0,19.0,16.0,51.0,1016915.0,151.0,19.0
2020-04-06,144.0,40.0,31.0,18.0,68.0,1018172.0,184.0,33.0
2020-04-07,210.0,49.0,37.0,24.0,82.0,1017978.0,215.0,31.0
2020-04-08,235.0,71.0,45.0,29.0,104.0,1018969.0,272.0,57.0
2020-04-09,279.0,68.0,52.0,46.0,130.0,1019315.0,323.0,51.0
2020-04-10,326.0,86.0,57.0,52.0,160.0,1018217.0,383.0,60.0
2020-04-11,410.0,83.0,77.0,56.0,192.0,1018327.0,443.0,60.0
2020-04-12,493.0,97.0,78.0,72.0,229.0,1018095.0,525.0,82.0
2020-04-13,575.0,125.0,100.0,68.0,248.0,1018539.0,637.0,112.0
2020-04-14,614.0,133.0,108.0,90.0,315.0,1018427.0,743.0,106.0
2020-04-15,745.0,157.0,125.0,101.0,375.0,1019186.0,866.0,123.0
2020-04-16,883.0,174.0,134.0,112.0,438.0,1017851.0,992.0,126.0
2020-04-17,1022.0,213.0,193.0,130.0,503.0,1018565.0,1181.0,189.0
2020-04-18,1279.0,275.0,222.0,149.0,611.0,1017020.0,1377.0,196.0
2020-04-19,1537.0,326.0,266.0,215.0,711.0,1017449.0,1634.0,257.0
2020-04-20,1845.0,368.0,318.0,227.0,861.0,1017390.0,1919.0,285.0
2020-04-21,2134.0,456.0,364.0,280.0,1029.0,1017123.0,2287.0,368.0
2020-04-22,2581.0,552.0,440.0,357.0,1220.0,1016845.0,2723.0,436.0
2020-04-23,3096.0,646.0,514.0,363.0,1443.0,1015126.0,3222.0,499.0
2020-04-24,3552.0,755.0,647.0,441.0,1714.0,1013965.0,3822.0,600.0
2020-04-25,4199.0,892.0,680.0,587.0,2034.0,1012139.0,4524.0,702.0
2020-04-26,4957.0,1097.0,803.0,657.0,2399.0,1011782.0,5375.0,851.0
2020-04-27,5893.0,1311.0,983.0,762.0,2931.0,1008162.0,6380.0,1005.0
2020-04-28,6987.0,1508.0,1182.0,888.0,3430.0,1006965.0,7510.0,1130.0
2020-04-29,8169.0,1741.0,1369.0,1083.0,4076.0,1005482.0,8847.0,1337.0
2020-04-30,9552.0,2157.0,1689.0,1270.0,4782.0,1002164.0,10563.0,1716.0
2020-05-01,11644.0,2484.0,1993.0,1552.0,5648.0,998917.0,12503.0,1940.0
2020-05-02,13635.0,2989.0,2357.0,1795.0,6723.0,995460.0,14851.0,2348.0
2020-05-03,16032.0,3577.0,2733.0,2234.0,7899.0,991075.0,17621.0,2770.0
2020-05-04,19171.0,4180.0,3259.0,2551.0,9377.0,983609.0,20794.0,3173.0
2020-05-05,22320.0,4998.0,3856.0,2993.0,11197.0,976572.0,24728.0,3934.0
2020-05-06,26529.0,5729.0,4670.0,3555.0,13241.0,969372.0,29202.0,4474.0
2020-05-07,30757.0,6593.0,5492.0,4163.0,15795.0,959832.0,34446.0,5244.0
2020-05-08,36045.0,7952.0,6204.0,5055.0,18481.0,949389.0,40542.0,6096.0
2020-05-09,42175.0,9171.0,7391.0,5822.0,22088.0,937684.0,47645.0,7103.0
2020-05-10,48796.0,10691.0,8485.0,6889.0,26285.0,921517.0,55917.0,8272.0
2020-05-11,56619.0,12493.0,9983.0,7978.0,31033.0,905162.0,65635.0,9718.0
2020-05-12,65418.0,14591.0,11585.0,9431.0,36692.0,885162.0,76918.0,11283.0
2020-05-13,75575.0,16953.0,13658.0,11045.0,43098.0,864760.0,89863.0,12945.0
2020-05-14,86249.0,19632.0,15797.0,12757.0,50682.0,840580.0,104818.0,14955.0
2020-05-15,98251.0,22347.0,18440.0,14612.0,59350.0,812741.0,121988.0,17170.0
