time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,1.0,0.0,0.0,969911.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,971100.0,0.0,0.0
2020-03-08,3.0,1.0,0.0,0.0,0.0,978993.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,986487.0,0.0,0.0
2020-03-10,0.0,0.0,1.0,0.0,0.0,993073.0,0.0,0.0
2020-03-11,0.0,0.0,1.0,0.0,0.0,996923.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,1.0,0.0,1000266.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1003105.0,0.0,0.0
2020-03-14,1.0,0.0,0.0,0.0,1.0,1005079.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1008219.0,0.0,0.0
2020-03-16,2.0,0.0,1.0,0.0,1.0,1008965.0,0.0,0.0
2020-03-17,2.0,2.0,0.0,0.0,1.0,1009342.0,1.0,1.0
2020-03-18,7.0,1.0,1.0,1.0,2.0,1008975.0,1.0,0.0
2020-03-19,8.0,2.0,1.0,1.0,4.0,1010703.0,4.0,3.0
2020-03-20,6.0,1.0,1.0,1.0,2.0,1011082.0,4.0,0.0
2020-03-21,4.0,2.0,2.0,0.0,2.0,1010572.0,6.0,2.0
2020-03-22,6.0,1.0,2.0,0.0,2.0,1010995.0,6.0,0.0
2020-03-23,7.0,1.0,2.0,2.0,3.0,1012408.0,7.0,1.0
2020-03-24,8.0,2.0,1.0,3.0,5.0,1012902.0,8.0,1.0
2020-03-25,10.0,1.0,2.0,1.0,6.0,1012826.0,9.0,1.0
2020-03-26,11.0,6.0,1.0,0.0,8.0,1013120.0,14.0,5.0
2020-03-27,14.0,9.0,1.0,0.0,7.0,1013685.0,20.0,6.0
2020-03-28,19.0,3.0,4.0,0.0,5.0,1014877.0,22.0,2.0
2020-03-29,16.0,1.0,1.0,3.0,5.0,1014654.0,23.0,1.0
2020-03-30,15.0,2.0,1.0,3.0,8.0,1015188.0,27.0,4.0
2020-03-31,17.0,2.0,2.0,1.0,11.0,1015784.0,29.0,2.0
2020-04-01,8.0,4.0,0.0,2.0,12.0,1016086.0,33.0,4.0
2020-04-02,18.0,2.0,2.0,2.0,15.0,1016023.0,34.0,1.0
2020-04-03,17.0,3.0,0.0,3.0,14.0,1016427.0,38.0,4.0
2020-04-04,17.0,6.0,6.0,2.0,18.0,1016825.0,46.0,8.0
2020-04-05,24.0,6.0,3.0,5.0,19.0,1017003.0,48.0,2.0
2020-04-06,26.0,5.0,5.0,4.0,26.0,1018342.0,53.0,5.0
2020-04-07,32.0,8.0,7.0,6.0,25.0,1018680.0,59.0,6.0
2020-04-08,50.0,12.0,7.0,8.0,27.0,1019361.0,67.0,8.0
2020-04-09,71.0,15.0,16.0,6.0,34.0,1017743.0,77.0,10.0
2020-04-10,76.0,19.0,18.0,9.0,41.0,1019048.0,95.0,18.0
2020-04-11,112.0,24.0,15.0,10.0,64.0,1019040.0,109.0,14.0
2020-04-12,118.0,28.0,24.0,15.0,69.0,1019491.0,137.0,28.0
2020-04-13,130.0,25.0,31.0,28.0,88.0,1019062.0,156.0,19.0
2020-04-14,159.0,45.0,25.0,29.0,95.0,1019601.0,194.0,38.0
2020-04-15,218.0,43.0,36.0,34.0,106.0,1018890.0,223.0,29.0
2020-04-16,280.0,45.0,53.0,41.0,128.0,1019016.0,260.0,37.0
2020-04-17,308.0,52.0,53.0,45.0,150.0,1018821.0,310.0,50.0
2020-04-18,349.0,81.0,51.0,53.0,185.0,1018272.0,370.0,60.0
2020-04-19,422.0,97.0,75.0,52.0,214.0,1019094.0,445.0,75.0
2020-04-20,508.0,110.0,82.0,81.0,259.0,1018586.0,534.0,89.0
2020-04-21,604.0,127.0,105.0,72.0,316.0,1018391.0,635.0,101.0
2020-04-22,746.0,145.0,108.0,92.0,391.0,1018608.0,741.0,106.0
2020-04-23,879.0,182.0,126.0,106.0,449.0,1017931.0,891.0,150.0
2020-04-24,1068.0,215.0,157.0,124.0,517.0,1018553.0,1049.0,158.0
2020-04-25,1240.0,280.0,196.0,160.0,602.0,1018360.0,1272.0,223.0
2020-04-26,1421.0,277.0,265.0,175.0,727.0,1018691.0,1497.0,225.0
2020-04-27,1666.0,331.0,294.0,227.0,864.0,1019109.0,1754.0,257.0
2020-04-28,1952.0,418.0,332.0,274.0,1020.0,1018763.0,2087.0,333.0
2020-04-29,2396.0,541.0,394.0,343.0,1223.0,1017454.0,2501.0,414.0
2020-04-30,2893.0,631.0,471.0,404.0,1436.0,1016266.0,2980.0,479.0
2020-05-01,3395.0,734.0,589.0,466.0,1724.0,1014701.0,3571.0,591.0
2020-05-02,4015.0,867.0,694.0,533.0,2061.0,1014036.0,4270.0,699.0
2020-05-03,4857.0,1055.0,813.0,645.0,2442.0,1011959.0,5097.0,827.0
2020-05-04,5852.0,1300.0,966.0,800.0,2818.0,1011349.0,6102.0,1005.0
2020-05-05,6815.0,1473.0,1138.0,926.0,3345.0,1009234.0,7268.0,1166.0
2020-05-06,8300.0,1723.0,1353.0,1063.0,3923.0,1007203.0,8608.0,1340.0
2020-05-07,9788.0,2081.0,1718.0,1283.0,4676.0,1004269.0,10241.0,1633.0
2020-05-08,11620.0,2506.0,1937.0,1526.0,5583.0,1000641.0,12221.0,1980.0
2020-05-09,13610.0,2885.0,2327.0,1841.0,6624.0,996494.0,14512.0,2291.0
2020-05-10,16090.0,3517.0,2751.0,2098.0,7958.0,991372.0,17260.0,2748.0
2020-05-11,19007.0,4151.0,3227.0,2588.0,9504.0,985683.0,20428.0,3168.0
2020-05-12,22447.0,4853.0,3784.0,3075.0,11141.0,979993.0,24223.0,3795.0
2020-05-13,26492.0,5766.0,4593.0,3644.0,13314.0,971017.0,28652.0,4429.0
2020-05-14,31007.0,6672.0,5457.0,4201.0,15854.0,960651.0,33867.0,5215.0
2020-05-15,36047.0,7790.0,6368.0,4977.0,18833.0,950101.0,40014.0,6147.0
2020-05-16,42234.0,9033.0,7437.0,5765.0,22327.0,938848.0,47062.0,7048.0
2020-05-17,48985.0,10886.0,8391.0,6673.0,26477.0,925067.0,55421.0,8359.0
2020-05-18,57264.0,12416.0,10073.0,7858.0,31105.0,905860.0,65052.0,9631.0
2020-05-19,66054.0,14659.0,11798.0,9318.0,36466.0,886958.0,76502.0,11450.0
2020-05-20,76102.0,16920.0,13691.0,10901.0,43106.0,863304.0,89631.0,13129.0
2020-05-21,87120.0,19623.0,15692.0,12771.0,50432.0,838305.0,104409.0,14778.0
2020-05-22,98927.0,22210.0,18342.0,14656.0,59417.0,810506.0,121564.0,17155.0
2020-05-23,111044.0,25559.0,21115.0,17113.0,69201.0,780176.0,141101.0,19537.0
2020-05-24,124689.0,28435.0,24028.0,19880.0,81306.0,745205.0,162706.0,21605.0
2020-05-25,138491.0,31731.0,27192.0,22536.0,95136.0,710086.0,186910.0,24204.0
2020-05-26,152167.0,36130.0,30320.0,25179.0,110194.0,671488.0,213977.0,27067.0
2020-05-27,166163.0,39282.0,33503.0,28752.0,127645.0,629541.0,243181.0,29204.0
2020-05-28,179011.0,43051.0,37189.0,31855.0,147017.0,587607.0,275076.0,31895.0
2020-05-29,189934.0,46479.0,41176.0,35097.0,168151.0,543533.0,309316.0,34240.0
2020-05-30,199379.0,49794.0,44145.0,38568.0,192014.0,499567.0,345452.0,36136.0
2020-05-31,206601.0,52679.0,47954.0,42158.0,217753.0,456760.0,383660.0,38208.0
2020-06-01,211631.0,55035.0,50795.0,45625.0,246408.0,414993.0,422994.0,39334.0
2020-06-02,214778.0,56155.0,52769.0,48406.0,277592.0,375326.0,462694.0,39700.0
2020-06-03,214482.0,56927.0,55084.0,51143.0,309402.0,338384.0,503013.0,40319.0
2020-06-04,211778.0,57318.0,56073.0,52995.0,342575.0,304859.0,542619.0,39606.0
2020-06-05,205458.0,57393.0,56837.0,54344.0,377203.0,273365.0,582062.0,39443.0
2020-06-06,198896.0,56319.0,56875.0,55696.0,411350.0,245448.0,620215.0,38153.0
2020-06-07,189847.0,54966.0,56317.0,55747.0,447729.0,221202.0,657004.0,36789.0
2020-06-08,179263.0,52706.0,54794.0,55662.0,484115.0,199040.0,691917.0,34913.0
2020-06-09,168858.0,50067.0,53320.0,54456.0,520066.0,179928.0,724749.0,32832.0
2020-06-10,157361.0,47154.0,51061.0,53064.0,554649.0,164200.0,755179.0,30430.0
2020-06-11,145437.0,44441.0,47997.0,51388.0,588252.0,150029.0,783969.0,28790.0
2020-06-12,134105.0,41218.0,45674.0,48919.0,621942.0,137027.0,810358.0,26389.0
2020-06-13,122889.0,38265.0,42134.0,46759.0,652193.0,126044.0,834643.0,24285.0
2020-06-14,111642.0,35366.0,39419.0,43872.0,681177.0,116958.0,856904.0,22261.0
2020-06-15,101185.0,32169.0,36706.0,40829.0,708462.0,109484.0,877154.0,20250.0
2020-06-16,91650.0,29005.0,33756.0,37858.0,733615.0,102671.0,895260.0,18106.0
2020-06-17,82178.0,26191.0,31060.0,35129.0,756378.0,96847.0,911726.0,16466.0
2020-06-18,74044.0,23790.0,28126.0,32269.0,776241.0,92050.0,926415.0,14689.0
2020-06-19,66335.0,21437.0,25685.0,29526.0,796328.0,87776.0,939648.0,13233.0
2020-06-20,59539.0,19394.0,22935.0,27077.0,814941.0,84211.0,951603.0,11955.0
2020-06-21,53047.0,17412.0,20941.0,24467.0,831301.0,81161.0,962319.0,10716.0
2020-06-22,47340.0,15608.0,18560.0,22053.0,846431.0,78216.0,971737.0,9418.0
2020-06-23,42280.0,14116.0,16870.0,20293.0,858766.0,75762.0,980257.0,8520.0
2020-06-24,37651.0,12436.0,15106.0,18157.0,870168.0,73535.0,987728.0,7471.0
2020-06-25,33522.0,11243.0,13693.0,16237.0,881325.0,71584.0,994509.0,6781.0
2020-06-26,29809.0,9876.0,12153.0,14498.0,890345.0,69875.0,1000482.0,5973.0
2020-06-27,26431.0,9019.0,10784.0,12891.0,898508.0,68651.0,1005966.0,5484.0
2020-06-28,23443.0,7888.0,9637.0,11732.0,906115.0,67526.0,1010676.0,4710.0
2020-06-29,20778.0,6924.0,8555.0,10495.0,913418.0,66515.0,1014730.0,4054.0
2020-06-30,18296.0,6249.0,7591.0,9468.0,919860.0,65878.0,1018464.0,3734.0
2020-07-01,16354.0,5515.0,6602.0,8387.0,925821.0,65055.0,1021754.0,3290.0
2020-07-02,14330.0,4759.0,5894.0,7259.0,929995.0,64231.0,1024665.0,2911.0
2020-07-03,12643.0,4344.0,5044.0,6357.0,934064.0,63631.0,1027268.0,2603.0
2020-07-04,11306.0,3844.0,4583.0,5686.0,938315.0,62959.0,1029512.0,2244.0
2020-07-05,9984.0,3312.0,4105.0,5053.0,940860.0,62616.0,1031497.0,1985.0
2020-07-06,8750.0,2999.0,3588.0,4394.0,945125.0,62133.0,1033282.0,1785.0
