time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970272.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,972931.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,1.0,0.0,979299.0,1.0,1.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,986325.0,1.0,0.0
2020-03-10,3.0,0.0,1.0,0.0,0.0,992748.0,2.0,1.0
2020-03-11,5.0,0.0,0.0,2.0,0.0,997636.0,2.0,0.0
2020-03-12,6.0,0.0,0.0,2.0,0.0,1000888.0,2.0,0.0
2020-03-13,6.0,1.0,0.0,1.0,0.0,1004080.0,2.0,0.0
2020-03-14,4.0,0.0,0.0,1.0,1.0,1006355.0,2.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,2.0,1008604.0,2.0,0.0
2020-03-16,7.0,1.0,1.0,0.0,2.0,1009459.0,3.0,1.0
2020-03-17,7.0,0.0,1.0,0.0,3.0,1010883.0,4.0,1.0
2020-03-18,7.0,1.0,1.0,1.0,4.0,1010865.0,5.0,1.0
2020-03-19,15.0,2.0,3.0,2.0,2.0,1011024.0,7.0,2.0
2020-03-20,14.0,4.0,4.0,1.0,3.0,1012963.0,12.0,5.0
2020-03-21,18.0,6.0,2.0,0.0,7.0,1012259.0,14.0,2.0
2020-03-22,18.0,5.0,0.0,1.0,5.0,1012543.0,16.0,2.0
2020-03-23,16.0,3.0,3.0,1.0,8.0,1013117.0,18.0,2.0
2020-03-24,24.0,5.0,2.0,1.0,9.0,1014794.0,22.0,4.0
2020-03-25,25.0,6.0,0.0,4.0,7.0,1015122.0,27.0,5.0
2020-03-26,25.0,6.0,1.0,5.0,10.0,1015681.0,31.0,4.0
2020-03-27,21.0,9.0,6.0,3.0,19.0,1015454.0,39.0,8.0
2020-03-28,43.0,6.0,5.0,3.0,20.0,1015274.0,41.0,2.0
2020-03-29,52.0,6.0,10.0,4.0,23.0,1015539.0,45.0,4.0
2020-03-30,55.0,10.0,4.0,6.0,25.0,1016564.0,53.0,8.0
2020-03-31,62.0,13.0,14.0,8.0,26.0,1016538.0,64.0,11.0
2020-04-01,76.0,13.0,10.0,11.0,33.0,1016652.0,71.0,7.0
2020-04-02,73.0,26.0,12.0,9.0,39.0,1015587.0,87.0,16.0
2020-04-03,99.0,23.0,19.0,8.0,42.0,1015724.0,100.0,13.0
2020-04-04,111.0,21.0,21.0,15.0,50.0,1015280.0,114.0,14.0
