time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,0.0,0.0,0.0,970303.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,973279.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,980938.0,0.0,0.0
2020-03-09,2.0,1.0,0.0,0.0,1.0,986683.0,1.0,1.0
2020-03-10,3.0,0.0,1.0,0.0,0.0,992708.0,1.0,0.0
2020-03-11,3.0,1.0,1.0,0.0,0.0,997076.0,2.0,1.0
2020-03-12,3.0,1.0,0.0,1.0,1.0,1001200.0,2.0,0.0
2020-03-13,4.0,1.0,0.0,1.0,1.0,1003563.0,2.0,0.0
2020-03-14,5.0,1.0,0.0,1.0,1.0,1005947.0,3.0,1.0
2020-03-15,5.0,0.0,1.0,1.0,1.0,1007436.0,3.0,0.0
2020-03-16,8.0,1.0,1.0,1.0,1.0,1008683.0,3.0,0.0
2020-03-17,10.0,1.0,0.0,4.0,0.0,1011422.0,4.0,1.0
2020-03-18,14.0,2.0,1.0,1.0,4.0,1011678.0,7.0,3.0
2020-03-19,13.0,3.0,3.0,0.0,3.0,1012574.0,10.0,3.0
2020-03-20,11.0,1.0,4.0,1.0,4.0,1012818.0,12.0,2.0
2020-03-21,14.0,4.0,6.0,1.0,6.0,1014044.0,16.0,4.0
2020-03-22,19.0,5.0,5.0,2.0,5.0,1014176.0,19.0,3.0
2020-03-23,21.0,5.0,4.0,2.0,5.0,1014337.0,23.0,4.0
2020-03-24,18.0,7.0,2.0,2.0,7.0,1014025.0,27.0,4.0
2020-03-25,18.0,4.0,4.0,2.0,8.0,1015209.0,30.0,3.0
2020-03-26,27.0,5.0,7.0,1.0,12.0,1015453.0,34.0,4.0
2020-03-27,30.0,8.0,4.0,7.0,11.0,1014451.0,40.0,6.0
2020-03-28,33.0,9.0,4.0,6.0,16.0,1014832.0,46.0,6.0
2020-03-29,34.0,3.0,7.0,5.0,19.0,1014184.0,51.0,5.0
2020-03-30,49.0,11.0,9.0,11.0,21.0,1014328.0,61.0,10.0
2020-03-31,64.0,13.0,11.0,6.0,15.0,1014484.0,67.0,6.0
2020-04-01,71.0,15.0,15.0,9.0,27.0,1014828.0,77.0,10.0
2020-04-02,84.0,16.0,9.0,12.0,36.0,1015410.0,87.0,10.0
2020-04-03,96.0,18.0,17.0,12.0,44.0,1015767.0,99.0,12.0
2020-04-04,115.0,22.0,25.0,11.0,52.0,1015210.0,114.0,15.0
2020-04-05,135.0,31.0,28.0,16.0,61.0,1014856.0,137.0,23.0
2020-04-06,154.0,41.0,30.0,21.0,68.0,1016370.0,166.0,29.0
2020-04-07,180.0,42.0,33.0,26.0,87.0,1016830.0,196.0,30.0
2020-04-08,242.0,49.0,51.0,27.0,107.0,1018353.0,238.0,42.0
2020-04-09,283.0,69.0,42.0,45.0,122.0,1017479.0,287.0,49.0
2020-04-10,355.0,66.0,51.0,47.0,163.0,1016896.0,344.0,57.0
2020-04-11,427.0,76.0,59.0,49.0,200.0,1016371.0,398.0,54.0
2020-04-12,477.0,101.0,87.0,47.0,229.0,1016492.0,473.0,75.0
2020-04-13,554.0,100.0,86.0,78.0,279.0,1015754.0,558.0,85.0
2020-04-14,689.0,151.0,105.0,87.0,321.0,1016642.0,676.0,118.0
2020-04-15,795.0,187.0,135.0,109.0,361.0,1017592.0,831.0,155.0
2020-04-16,925.0,195.0,139.0,117.0,432.0,1016655.0,985.0,154.0
2020-04-17,1046.0,241.0,149.0,129.0,513.0,1016431.0,1157.0,172.0
2020-04-18,1177.0,300.0,209.0,160.0,611.0,1016268.0,1403.0,246.0
2020-04-19,1385.0,318.0,264.0,168.0,708.0,1016687.0,1630.0,227.0
2020-04-20,1627.0,383.0,277.0,229.0,811.0,1015956.0,1918.0,288.0
2020-04-21,1919.0,442.0,351.0,257.0,991.0,1015435.0,2257.0,339.0
2020-04-22,2293.0,484.0,422.0,324.0,1131.0,1015315.0,2625.0,368.0
2020-04-23,2788.0,566.0,517.0,397.0,1360.0,1014639.0,3111.0,486.0
2020-04-24,3361.0,710.0,556.0,441.0,1722.0,1014600.0,3663.0,552.0
2020-04-25,3979.0,840.0,624.0,519.0,2044.0,1012341.0,4318.0,655.0
2020-04-26,4746.0,1022.0,744.0,593.0,2352.0,1012109.0,5136.0,818.0
2020-04-27,5474.0,1223.0,915.0,668.0,2747.0,1009360.0,6100.0,964.0
