time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970740.0,0.0,0.0
2020-03-07,1.0,0.0,2.0,0.0,0.0,972987.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,2.0,0.0,977939.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,2.0,985912.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,2.0,990776.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,2.0,996022.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,2.0,998656.0,0.0,0.0
2020-03-13,2.0,1.0,0.0,0.0,1.0,1001482.0,0.0,0.0
2020-03-14,3.0,1.0,1.0,0.0,1.0,1003582.0,1.0,1.0
2020-03-15,2.0,0.0,2.0,0.0,0.0,1005272.0,1.0,0.0
2020-03-16,2.0,0.0,1.0,0.0,0.0,1006170.0,1.0,0.0
2020-03-17,4.0,0.0,0.0,0.0,0.0,1007502.0,1.0,0.0
2020-03-18,4.0,2.0,1.0,0.0,1.0,1009799.0,3.0,2.0
2020-03-19,4.0,1.0,2.0,0.0,1.0,1009887.0,3.0,0.0
2020-03-20,3.0,0.0,1.0,1.0,2.0,1012209.0,4.0,1.0
2020-03-21,1.0,1.0,1.0,0.0,3.0,1012710.0,4.0,0.0
2020-03-22,4.0,2.0,1.0,0.0,1.0,1013363.0,5.0,1.0
2020-03-23,6.0,1.0,2.0,1.0,2.0,1014850.0,5.0,0.0
2020-03-24,8.0,1.0,1.0,2.0,4.0,1014147.0,6.0,1.0
2020-03-25,7.0,3.0,2.0,2.0,7.0,1013600.0,9.0,3.0
2020-03-26,5.0,1.0,2.0,2.0,6.0,1014477.0,10.0,1.0
2020-03-27,6.0,2.0,1.0,2.0,4.0,1014845.0,11.0,1.0
2020-03-28,7.0,1.0,0.0,0.0,2.0,1016252.0,12.0,1.0
2020-03-29,5.0,1.0,1.0,0.0,3.0,1015903.0,13.0,1.0
2020-03-30,7.0,1.0,3.0,0.0,5.0,1015817.0,14.0,1.0
2020-03-31,8.0,1.0,2.0,1.0,3.0,1015558.0,15.0,1.0
2020-04-01,7.0,1.0,2.0,1.0,6.0,1016279.0,17.0,2.0
2020-04-02,11.0,2.0,2.0,1.0,6.0,1016749.0,19.0,2.0
2020-04-03,15.0,3.0,5.0,1.0,8.0,1016786.0,22.0,3.0
2020-04-04,22.0,4.0,4.0,2.0,9.0,1016964.0,25.0,3.0
2020-04-05,24.0,3.0,3.0,6.0,20.0,1017707.0,29.0,4.0
2020-04-06,33.0,5.0,3.0,5.0,23.0,1017428.0,34.0,5.0
2020-04-07,41.0,10.0,5.0,8.0,22.0,1016444.0,44.0,10.0
2020-04-08,44.0,8.0,8.0,8.0,26.0,1015818.0,48.0,4.0
2020-04-09,50.0,8.0,11.0,4.0,29.0,1016325.0,55.0,7.0
2020-04-10,58.0,10.0,10.0,7.0,31.0,1016302.0,67.0,12.0
2020-04-11,79.0,14.0,14.0,10.0,29.0,1017445.0,82.0,15.0
2020-04-12,79.0,14.0,16.0,11.0,38.0,1017135.0,93.0,11.0
2020-04-13,103.0,23.0,16.0,19.0,59.0,1017877.0,112.0,19.0
2020-04-14,125.0,30.0,22.0,12.0,80.0,1016947.0,134.0,22.0
2020-04-15,159.0,39.0,31.0,23.0,88.0,1018036.0,162.0,28.0
2020-04-16,206.0,53.0,44.0,22.0,96.0,1018554.0,203.0,41.0
2020-04-17,248.0,66.0,40.0,31.0,114.0,1020173.0,252.0,49.0
2020-04-18,301.0,76.0,57.0,33.0,132.0,1020135.0,303.0,51.0
2020-04-19,322.0,77.0,70.0,48.0,166.0,1020589.0,362.0,59.0
2020-04-20,415.0,95.0,77.0,62.0,183.0,1018942.0,435.0,73.0
2020-04-21,492.0,88.0,96.0,79.0,229.0,1020434.0,519.0,84.0
2020-04-22,545.0,117.0,83.0,82.0,310.0,1020949.0,615.0,96.0
2020-04-23,660.0,132.0,113.0,91.0,356.0,1019521.0,716.0,101.0
2020-04-24,765.0,134.0,131.0,105.0,413.0,1019909.0,822.0,106.0
2020-04-25,869.0,173.0,170.0,118.0,476.0,1019361.0,974.0,152.0
2020-04-26,1056.0,229.0,177.0,126.0,563.0,1018020.0,1137.0,163.0
2020-04-27,1245.0,258.0,197.0,158.0,650.0,1018510.0,1339.0,202.0
2020-04-28,1482.0,331.0,255.0,186.0,780.0,1018586.0,1597.0,258.0
2020-04-29,1706.0,378.0,296.0,238.0,909.0,1018919.0,1879.0,282.0
2020-04-30,2118.0,436.0,373.0,289.0,1058.0,1018440.0,2216.0,337.0
2020-05-01,2451.0,519.0,422.0,345.0,1192.0,1017707.0,2642.0,426.0
2020-05-02,2953.0,641.0,497.0,402.0,1425.0,1016551.0,3162.0,520.0
2020-05-03,3497.0,792.0,564.0,488.0,1698.0,1015068.0,3771.0,609.0
2020-05-04,4099.0,941.0,709.0,601.0,2021.0,1013732.0,4465.0,694.0
2020-05-05,5016.0,1104.0,871.0,651.0,2391.0,1011423.0,5325.0,860.0
2020-05-06,5910.0,1309.0,987.0,827.0,2882.0,1011689.0,6323.0,998.0
2020-05-07,6864.0,1538.0,1195.0,952.0,3483.0,1008820.0,7557.0,1234.0
2020-05-08,8127.0,1793.0,1409.0,1050.0,4170.0,1006205.0,8941.0,1384.0
2020-05-09,9747.0,2155.0,1673.0,1241.0,4949.0,1004089.0,10577.0,1636.0
2020-05-10,11639.0,2475.0,1983.0,1583.0,5818.0,999634.0,12491.0,1914.0
2020-05-11,13626.0,2879.0,2341.0,1812.0,6944.0,995509.0,14801.0,2310.0
