time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,971032.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,973176.0,0.0,0.0
2020-03-08,4.0,1.0,1.0,0.0,0.0,980538.0,1.0,1.0
2020-03-09,3.0,0.0,2.0,0.0,0.0,987666.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,1.0,992274.0,1.0,0.0
2020-03-11,1.0,2.0,0.0,0.0,1.0,996449.0,2.0,1.0
2020-03-12,1.0,0.0,3.0,0.0,0.0,999220.0,3.0,1.0
2020-03-13,4.0,1.0,2.0,0.0,0.0,1001077.0,4.0,1.0
2020-03-14,4.0,0.0,2.0,0.0,1.0,1003226.0,4.0,0.0
2020-03-15,6.0,0.0,1.0,0.0,2.0,1005984.0,4.0,0.0
2020-03-16,5.0,1.0,0.0,0.0,3.0,1008264.0,5.0,1.0
2020-03-17,4.0,2.0,0.0,0.0,2.0,1009116.0,5.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,0.0,1010488.0,5.0,0.0
2020-03-19,1.0,1.0,0.0,0.0,0.0,1010472.0,6.0,1.0
2020-03-20,2.0,0.0,2.0,0.0,1.0,1011647.0,6.0,0.0
2020-03-21,4.0,0.0,0.0,0.0,1.0,1012487.0,6.0,0.0
2020-03-22,5.0,1.0,1.0,0.0,3.0,1012119.0,7.0,1.0
2020-03-23,6.0,5.0,4.0,1.0,7.0,1013963.0,10.0,3.0
2020-03-24,6.0,6.0,2.0,2.0,7.0,1013943.0,13.0,3.0
2020-03-25,12.0,7.0,3.0,1.0,6.0,1014896.0,16.0,3.0
2020-03-26,24.0,4.0,4.0,3.0,10.0,1014061.0,17.0,1.0
2020-03-27,29.0,4.0,8.0,2.0,9.0,1014520.0,23.0,6.0
2020-03-28,38.0,2.0,7.0,5.0,12.0,1014491.0,28.0,5.0
2020-03-29,38.0,1.0,4.0,7.0,14.0,1015245.0,34.0,6.0
2020-03-30,33.0,2.0,5.0,4.0,16.0,1015633.0,42.0,8.0
2020-03-31,41.0,9.0,5.0,4.0,19.0,1015371.0,49.0,7.0
2020-04-01,50.0,12.0,8.0,5.0,24.0,1016039.0,58.0,9.0
2020-04-02,60.0,11.0,9.0,10.0,30.0,1016614.0,70.0,12.0
2020-04-03,71.0,11.0,12.0,10.0,38.0,1016035.0,78.0,8.0
2020-04-04,84.0,13.0,18.0,7.0,44.0,1016733.0,95.0,17.0
2020-04-05,85.0,19.0,16.0,10.0,45.0,1016940.0,114.0,19.0
2020-04-06,109.0,22.0,17.0,12.0,60.0,1017306.0,130.0,16.0
2020-04-07,151.0,26.0,19.0,12.0,62.0,1018367.0,150.0,20.0
2020-04-08,151.0,39.0,27.0,14.0,66.0,1018014.0,184.0,34.0
2020-04-09,195.0,48.0,24.0,21.0,81.0,1017124.0,212.0,28.0
2020-04-10,265.0,47.0,37.0,22.0,91.0,1018013.0,246.0,34.0
2020-04-11,251.0,63.0,49.0,26.0,117.0,1017428.0,300.0,54.0
2020-04-12,314.0,76.0,69.0,37.0,132.0,1018607.0,366.0,66.0
2020-04-13,396.0,104.0,67.0,58.0,173.0,1018098.0,433.0,67.0
2020-04-14,504.0,113.0,91.0,85.0,206.0,1018282.0,521.0,88.0
2020-04-15,591.0,106.0,95.0,78.0,256.0,1018352.0,613.0,92.0
2020-04-16,690.0,147.0,126.0,84.0,300.0,1017491.0,733.0,120.0
2020-04-17,791.0,156.0,138.0,104.0,360.0,1017870.0,859.0,126.0
