time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,969390.0,0.0,0.0
2020-03-07,1.0,0.0,2.0,0.0,0.0,972901.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,1.0,980333.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,1.0,987055.0,1.0,1.0
2020-03-10,2.0,0.0,1.0,0.0,1.0,992747.0,1.0,0.0
2020-03-11,1.0,0.0,1.0,0.0,1.0,996824.0,1.0,0.0
2020-03-12,2.0,0.0,0.0,0.0,2.0,999926.0,1.0,0.0
2020-03-13,0.0,0.0,1.0,0.0,1.0,1003226.0,2.0,1.0
2020-03-14,0.0,0.0,1.0,0.0,1.0,1005468.0,2.0,0.0
2020-03-15,0.0,0.0,0.0,1.0,1.0,1007701.0,2.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1008952.0,2.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1010351.0,2.0,0.0
2020-03-18,2.0,0.0,0.0,0.0,0.0,1010781.0,2.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,1.0,1010963.0,2.0,0.0
2020-03-20,4.0,1.0,0.0,1.0,1.0,1012198.0,3.0,1.0
2020-03-21,4.0,1.0,0.0,0.0,1.0,1012584.0,3.0,0.0
2020-03-22,0.0,3.0,0.0,0.0,2.0,1012817.0,5.0,2.0
2020-03-23,2.0,3.0,0.0,0.0,3.0,1013752.0,5.0,0.0
2020-03-24,1.0,2.0,1.0,0.0,2.0,1013451.0,5.0,0.0
2020-03-25,3.0,1.0,1.0,0.0,4.0,1013872.0,5.0,0.0
2020-03-26,6.0,0.0,2.0,1.0,3.0,1014261.0,5.0,0.0
2020-03-27,8.0,1.0,1.0,0.0,2.0,1014214.0,5.0,0.0
2020-03-28,7.0,0.0,2.0,0.0,7.0,1014820.0,5.0,0.0
2020-03-29,10.0,0.0,1.0,1.0,5.0,1013931.0,6.0,1.0
2020-03-30,10.0,0.0,2.0,0.0,8.0,1014704.0,8.0,2.0
2020-03-31,15.0,2.0,1.0,1.0,4.0,1016077.0,9.0,1.0
2020-04-01,19.0,1.0,3.0,3.0,5.0,1016481.0,11.0,2.0
2020-04-02,18.0,2.0,3.0,3.0,8.0,1016411.0,12.0,1.0
