time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970182.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,0.0,2.0,971444.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,2.0,978641.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,1.0,986569.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,993058.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,997419.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,1001001.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1003235.0,0.0,0.0
2020-03-14,2.0,0.0,1.0,0.0,0.0,1006066.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1005348.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,1.0,1.0,1006993.0,0.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1007746.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,2.0,1008900.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1009917.0,0.0,0.0
2020-03-20,1.0,0.0,0.0,1.0,0.0,1010166.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,1.0,0.0,1011395.0,1.0,1.0
2020-03-22,1.0,0.0,0.0,0.0,1.0,1011480.0,1.0,0.0
2020-03-23,0.0,0.0,1.0,1.0,1.0,1011612.0,2.0,1.0
2020-03-24,3.0,0.0,1.0,1.0,1.0,1013278.0,2.0,0.0
2020-03-25,2.0,0.0,1.0,0.0,2.0,1014300.0,3.0,1.0
2020-03-26,2.0,0.0,0.0,1.0,2.0,1014909.0,3.0,0.0
2020-03-27,3.0,1.0,0.0,0.0,3.0,1015564.0,3.0,0.0
2020-03-28,3.0,1.0,0.0,0.0,3.0,1014841.0,3.0,0.0
2020-03-29,7.0,1.0,0.0,1.0,2.0,1014297.0,4.0,1.0
2020-03-30,10.0,1.0,1.0,0.0,3.0,1015745.0,5.0,1.0
2020-03-31,7.0,3.0,3.0,0.0,4.0,1015728.0,9.0,4.0
2020-04-01,9.0,2.0,2.0,2.0,5.0,1015134.0,10.0,1.0
2020-04-02,14.0,4.0,4.0,2.0,8.0,1016605.0,13.0,3.0
2020-04-03,18.0,4.0,2.0,5.0,12.0,1017361.0,14.0,1.0
2020-04-04,17.0,6.0,4.0,4.0,11.0,1017468.0,20.0,6.0
2020-04-05,20.0,5.0,6.0,2.0,12.0,1016986.0,22.0,2.0
2020-04-06,19.0,2.0,6.0,5.0,18.0,1018796.0,27.0,5.0
2020-04-07,25.0,6.0,5.0,4.0,21.0,1018260.0,32.0,5.0
2020-04-08,29.0,5.0,8.0,4.0,19.0,1018280.0,37.0,5.0
2020-04-09,40.0,10.0,9.0,9.0,22.0,1017553.0,43.0,6.0
2020-04-10,60.0,10.0,14.0,6.0,22.0,1018128.0,53.0,10.0
2020-04-11,74.0,11.0,12.0,10.0,35.0,1018722.0,63.0,10.0
2020-04-12,75.0,21.0,13.0,11.0,45.0,1020136.0,78.0,15.0
2020-04-13,102.0,23.0,16.0,14.0,48.0,1019562.0,88.0,10.0
2020-04-14,119.0,26.0,25.0,19.0,75.0,1019227.0,110.0,22.0
2020-04-15,137.0,29.0,28.0,20.0,81.0,1019320.0,138.0,28.0
2020-04-16,169.0,44.0,38.0,20.0,86.0,1018697.0,172.0,34.0
2020-04-17,208.0,54.0,34.0,28.0,92.0,1019569.0,215.0,43.0
2020-04-18,267.0,48.0,49.0,32.0,118.0,1020961.0,255.0,40.0
2020-04-19,341.0,72.0,51.0,48.0,139.0,1021631.0,315.0,60.0
2020-04-20,390.0,83.0,56.0,48.0,175.0,1020143.0,377.0,62.0
2020-04-21,425.0,106.0,62.0,59.0,199.0,1020390.0,467.0,90.0
2020-04-22,490.0,109.0,83.0,79.0,255.0,1021195.0,548.0,81.0
2020-04-23,581.0,128.0,97.0,93.0,308.0,1020054.0,646.0,98.0
2020-04-24,714.0,151.0,110.0,95.0,377.0,1019005.0,760.0,114.0
2020-04-25,809.0,170.0,159.0,90.0,416.0,1018979.0,903.0,143.0
2020-04-26,956.0,226.0,176.0,104.0,508.0,1019057.0,1059.0,156.0
2020-04-27,1134.0,285.0,192.0,161.0,592.0,1019248.0,1254.0,195.0
2020-04-28,1373.0,297.0,216.0,208.0,692.0,1018322.0,1488.0,234.0
2020-04-29,1731.0,371.0,283.0,235.0,797.0,1018935.0,1749.0,261.0
2020-04-30,2063.0,430.0,336.0,319.0,981.0,1018157.0,2104.0,355.0
2020-05-01,2436.0,558.0,366.0,359.0,1188.0,1016992.0,2517.0,413.0
2020-05-02,2968.0,618.0,474.0,400.0,1401.0,1015877.0,2961.0,444.0
2020-05-03,3514.0,719.0,575.0,436.0,1709.0,1015765.0,3544.0,583.0
2020-05-04,4011.0,885.0,710.0,518.0,2024.0,1015205.0,4248.0,704.0
2020-05-05,4790.0,1065.0,817.0,696.0,2368.0,1013335.0,5067.0,819.0
2020-05-06,5742.0,1243.0,972.0,770.0,2830.0,1011699.0,6015.0,948.0
2020-05-07,6796.0,1410.0,1154.0,922.0,3349.0,1009046.0,7126.0,1111.0
2020-05-08,7977.0,1769.0,1375.0,1087.0,3962.0,1006525.0,8514.0,1388.0
2020-05-09,9558.0,2005.0,1615.0,1302.0,4784.0,1003835.0,10089.0,1575.0
2020-05-10,11239.0,2425.0,1913.0,1501.0,5609.0,1000096.0,11986.0,1897.0
2020-05-11,13292.0,2956.0,2184.0,1804.0,6752.0,996917.0,14272.0,2286.0
2020-05-12,15675.0,3444.0,2709.0,2155.0,7910.0,991386.0,16945.0,2673.0
