time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969844.0,0.0,0.0
2020-03-07,2.0,1.0,2.0,0.0,0.0,971032.0,0.0,0.0
2020-03-08,3.0,0.0,2.0,1.0,0.0,977419.0,0.0,0.0
2020-03-09,4.0,0.0,0.0,1.0,1.0,984394.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,0.0,0.0,991786.0,0.0,0.0
2020-03-11,2.0,1.0,0.0,1.0,1.0,995409.0,1.0,1.0
2020-03-12,2.0,0.0,0.0,0.0,1.0,998774.0,1.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,1.0,1002384.0,1.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,1.0,1004078.0,2.0,1.0
2020-03-15,3.0,1.0,0.0,0.0,2.0,1005834.0,3.0,1.0
2020-03-16,3.0,1.0,0.0,0.0,3.0,1008007.0,4.0,1.0
2020-03-17,3.0,1.0,0.0,0.0,2.0,1009557.0,4.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,2.0,1010047.0,4.0,0.0
2020-03-19,2.0,0.0,0.0,1.0,2.0,1009181.0,4.0,0.0
2020-03-20,0.0,2.0,0.0,0.0,3.0,1010427.0,5.0,1.0
2020-03-21,3.0,1.0,0.0,0.0,5.0,1010914.0,6.0,1.0
2020-03-22,4.0,1.0,2.0,1.0,5.0,1012197.0,7.0,1.0
2020-03-23,9.0,0.0,3.0,1.0,9.0,1012000.0,7.0,0.0
2020-03-24,11.0,2.0,2.0,0.0,8.0,1012691.0,10.0,3.0
2020-03-25,6.0,3.0,1.0,2.0,9.0,1013961.0,12.0,2.0
2020-03-26,12.0,0.0,3.0,2.0,12.0,1014722.0,13.0,1.0
2020-03-27,11.0,3.0,2.0,1.0,9.0,1014882.0,16.0,3.0
2020-03-28,14.0,6.0,1.0,3.0,11.0,1014571.0,21.0,5.0
2020-03-29,22.0,3.0,5.0,0.0,11.0,1014737.0,24.0,3.0
2020-03-30,23.0,1.0,5.0,3.0,11.0,1015558.0,24.0,0.0
2020-03-31,30.0,3.0,3.0,3.0,12.0,1015817.0,27.0,3.0
2020-04-01,27.0,5.0,2.0,3.0,8.0,1017956.0,31.0,4.0
2020-04-02,33.0,8.0,8.0,5.0,10.0,1016897.0,40.0,9.0
2020-04-03,31.0,10.0,3.0,6.0,21.0,1015858.0,46.0,6.0
2020-04-04,35.0,6.0,6.0,4.0,22.0,1015179.0,52.0,6.0
2020-04-05,50.0,8.0,10.0,3.0,20.0,1015808.0,61.0,9.0
2020-04-06,58.0,12.0,12.0,7.0,31.0,1017038.0,72.0,11.0
2020-04-07,69.0,16.0,10.0,12.0,37.0,1017249.0,81.0,9.0
2020-04-08,89.0,22.0,14.0,15.0,38.0,1017736.0,100.0,19.0
2020-04-09,85.0,26.0,18.0,13.0,58.0,1017485.0,120.0,20.0
2020-04-10,107.0,23.0,29.0,17.0,67.0,1017069.0,136.0,16.0
2020-04-11,140.0,22.0,21.0,26.0,86.0,1017529.0,160.0,24.0
2020-04-12,171.0,38.0,26.0,20.0,85.0,1018429.0,189.0,29.0
2020-04-13,207.0,42.0,36.0,22.0,106.0,1018658.0,220.0,31.0
2020-04-14,234.0,56.0,40.0,26.0,118.0,1019011.0,262.0,42.0
2020-04-15,270.0,50.0,41.0,36.0,127.0,1018926.0,298.0,36.0
2020-04-16,301.0,71.0,47.0,33.0,157.0,1018065.0,361.0,63.0
2020-04-17,355.0,63.0,62.0,48.0,191.0,1019030.0,417.0,56.0
2020-04-18,392.0,95.0,68.0,67.0,198.0,1019784.0,495.0,78.0
2020-04-19,474.0,114.0,79.0,73.0,248.0,1019917.0,582.0,87.0
2020-04-20,572.0,148.0,109.0,70.0,286.0,1020357.0,702.0,120.0
2020-04-21,737.0,151.0,130.0,90.0,351.0,1019378.0,811.0,109.0
2020-04-22,850.0,174.0,144.0,133.0,404.0,1019940.0,941.0,130.0
2020-04-23,1037.0,221.0,166.0,136.0,509.0,1020491.0,1125.0,184.0
2020-04-24,1121.0,257.0,174.0,156.0,594.0,1020442.0,1355.0,230.0
2020-04-25,1368.0,281.0,243.0,181.0,668.0,1019657.0,1599.0,244.0
2020-04-26,1618.0,330.0,258.0,234.0,782.0,1018934.0,1866.0,267.0
2020-04-27,1930.0,429.0,298.0,260.0,960.0,1018080.0,2192.0,326.0
2020-04-28,2235.0,514.0,383.0,270.0,1139.0,1018284.0,2579.0,387.0
2020-04-29,2619.0,614.0,459.0,352.0,1309.0,1017533.0,3046.0,467.0
2020-04-30,3145.0,659.0,577.0,408.0,1555.0,1016888.0,3544.0,498.0
2020-05-01,3730.0,783.0,628.0,497.0,1837.0,1015272.0,4167.0,623.0
2020-05-02,4511.0,996.0,743.0,585.0,2218.0,1014002.0,4917.0,750.0
2020-05-03,5381.0,1151.0,890.0,714.0,2692.0,1011583.0,5790.0,873.0
2020-05-04,6364.0,1407.0,1088.0,867.0,3141.0,1008934.0,6909.0,1119.0
2020-05-05,7516.0,1649.0,1254.0,1001.0,3738.0,1007883.0,8188.0,1279.0
2020-05-06,9205.0,1919.0,1495.0,1222.0,4400.0,1006255.0,9700.0,1512.0
2020-05-07,10739.0,2286.0,1780.0,1447.0,5239.0,1002791.0,11524.0,1824.0
2020-05-08,12471.0,2727.0,2120.0,1718.0,6196.0,997578.0,13695.0,2171.0
2020-05-09,14833.0,3199.0,2562.0,1966.0,7345.0,992542.0,16166.0,2471.0
2020-05-10,17597.0,3706.0,3003.0,2421.0,8740.0,988357.0,19143.0,2977.0
2020-05-11,21013.0,4445.0,3571.0,2872.0,10420.0,981756.0,22660.0,3517.0
2020-05-12,24590.0,5318.0,4138.0,3357.0,12462.0,973365.0,26852.0,4192.0
2020-05-13,28736.0,6347.0,4988.0,3946.0,14628.0,963948.0,31804.0,4952.0
2020-05-14,33788.0,7452.0,5944.0,4636.0,17574.0,954081.0,37552.0,5748.0
2020-05-15,39768.0,8647.0,7058.0,5477.0,20758.0,942862.0,44254.0,6702.0
2020-05-16,46406.0,10004.0,8034.0,6421.0,24339.0,930008.0,52102.0,7848.0
2020-05-17,53860.0,11735.0,9522.0,7463.0,28581.0,912761.0,61287.0,9185.0
2020-05-18,62312.0,13928.0,11100.0,8795.0,33886.0,893923.0,72112.0,10825.0
2020-05-19,71828.0,16214.0,12800.0,10341.0,40071.0,873259.0,84495.0,12383.0
2020-05-20,81855.0,18476.0,15066.0,12202.0,47187.0,849440.0,98650.0,14155.0
2020-05-21,93927.0,21060.0,17472.0,14076.0,55457.0,822967.0,114691.0,16041.0
2020-05-22,106890.0,24326.0,19864.0,16280.0,65229.0,792530.0,133173.0,18482.0
2020-05-23,119937.0,27582.0,22625.0,18802.0,76506.0,760479.0,154043.0,20870.0
2020-05-24,133691.0,31008.0,25981.0,21306.0,89171.0,724733.0,177361.0,23318.0
2020-05-25,147941.0,34972.0,29122.0,24270.0,103591.0,686012.0,203478.0,26117.0
2020-05-26,161811.0,38778.0,32774.0,27227.0,120128.0,644179.0,232138.0,28660.0
2020-05-27,175009.0,42336.0,36572.0,30765.0,139074.0,601449.0,263477.0,31339.0
2020-05-28,186999.0,45846.0,40030.0,34462.0,160282.0,558991.0,297194.0,33717.0
2020-05-29,198449.0,48862.0,43492.0,38110.0,183360.0,514725.0,332879.0,35685.0
2020-05-30,205775.0,52227.0,46918.0,41521.0,208913.0,472369.0,370834.0,37955.0
2020-05-31,211926.0,54846.0,49530.0,44832.0,236543.0,429509.0,409795.0,38961.0
2020-06-01,215148.0,56826.0,52280.0,47706.0,266145.0,388600.0,449812.0,40017.0
2020-06-02,215189.0,57977.0,54575.0,50593.0,298325.0,350404.0,490666.0,40854.0
2020-06-03,212601.0,58117.0,56317.0,52900.0,332159.0,315042.0,530914.0,40248.0
2020-06-04,208527.0,57877.0,56622.0,54847.0,366363.0,281486.0,570494.0,39580.0
2020-06-05,202246.0,56873.0,57149.0,55612.0,402178.0,252168.0,609121.0,38627.0
2020-06-06,193766.0,55604.0,56378.0,56045.0,438136.0,225551.0,646496.0,37375.0
2020-06-07,183753.0,53551.0,55219.0,55540.0,474466.0,203203.0,682036.0,35540.0
2020-06-08,172356.0,50962.0,53923.0,54842.0,510807.0,183469.0,715758.0,33722.0
2020-06-09,161055.0,48661.0,51673.0,53908.0,546350.0,166079.0,747501.0,31743.0
2020-06-10,149244.0,45506.0,49549.0,52234.0,579984.0,151519.0,776711.0,29210.0
2020-06-11,136985.0,42481.0,46731.0,50346.0,613564.0,138589.0,804184.0,27473.0
2020-06-12,125567.0,39353.0,43735.0,47262.0,645019.0,127356.0,829159.0,24975.0
2020-06-13,113907.0,36087.0,40695.0,44759.0,674615.0,118249.0,851930.0,22771.0
2020-06-14,103037.0,33038.0,37843.0,41862.0,702415.0,109669.0,872711.0,20781.0
2020-06-15,92896.0,30019.0,34675.0,39217.0,729451.0,102341.0,891393.0,18682.0
2020-06-16,83604.0,27148.0,31588.0,35811.0,752149.0,95960.0,908370.0,16977.0
2020-06-17,74921.0,24658.0,28616.0,33258.0,773891.0,90516.0,923554.0,15184.0
2020-06-18,66806.0,22035.0,26049.0,30276.0,795413.0,86543.0,937048.0,13494.0
2020-06-19,59793.0,19845.0,23423.0,27522.0,814291.0,82835.0,949252.0,12204.0
2020-06-20,53479.0,17672.0,21211.0,24734.0,830529.0,79455.0,960145.0,10893.0
2020-06-21,47815.0,15820.0,19185.0,22481.0,845152.0,76589.0,969842.0,9697.0
2020-06-22,42591.0,14010.0,16980.0,20198.0,859413.0,73971.0,978447.0,8605.0
2020-06-23,37546.0,12538.0,15252.0,18077.0,871312.0,71953.0,986088.0,7641.0
2020-06-24,33258.0,11055.0,13745.0,16303.0,881464.0,69755.0,992734.0,6646.0
2020-06-25,29538.0,9892.0,12120.0,14750.0,891703.0,68386.0,998704.0,5970.0
2020-06-26,26181.0,8955.0,10573.0,12998.0,901789.0,66890.0,1004051.0,5347.0
2020-06-27,23027.0,7802.0,9507.0,11630.0,910374.0,65950.0,1008816.0,4765.0
2020-06-28,20292.0,6893.0,8461.0,10305.0,917888.0,64746.0,1012902.0,4086.0
2020-06-29,18009.0,6045.0,7450.0,9185.0,923708.0,63670.0,1016485.0,3583.0
2020-06-30,15749.0,5509.0,6638.0,8126.0,930097.0,63405.0,1019821.0,3336.0
2020-07-01,13945.0,4752.0,5961.0,7196.0,935148.0,62536.0,1022590.0,2769.0
2020-07-02,12387.0,4239.0,5200.0,6316.0,938677.0,61914.0,1025105.0,2515.0
2020-07-03,10978.0,3628.0,4643.0,5542.0,941835.0,61312.0,1027236.0,2131.0
2020-07-04,9728.0,3337.0,3990.0,4955.0,944678.0,60976.0,1029191.0,1955.0
2020-07-05,8426.0,2982.0,3609.0,4225.0,946605.0,60525.0,1030956.0,1765.0
2020-07-06,7486.0,2520.0,3169.0,3898.0,949425.0,60161.0,1032477.0,1521.0
