time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970436.0,0.0,0.0
2020-03-07,2.0,0.0,2.0,0.0,0.0,972255.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,1.0,0.0,979607.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,1.0,987641.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,2.0,992707.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,0.0,2.0,997787.0,0.0,0.0
2020-03-12,3.0,0.0,0.0,0.0,1.0,1000549.0,1.0,1.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1004929.0,1.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,0.0,1006836.0,1.0,0.0
2020-03-15,2.0,0.0,1.0,0.0,0.0,1008793.0,2.0,1.0
2020-03-16,1.0,1.0,0.0,0.0,0.0,1009596.0,3.0,1.0
2020-03-17,1.0,0.0,0.0,0.0,0.0,1010747.0,3.0,0.0
2020-03-18,1.0,1.0,0.0,0.0,0.0,1012269.0,3.0,0.0
2020-03-19,6.0,1.0,0.0,1.0,1.0,1011390.0,3.0,0.0
2020-03-20,4.0,0.0,0.0,1.0,1.0,1012603.0,3.0,0.0
2020-03-21,6.0,2.0,0.0,0.0,2.0,1014242.0,5.0,2.0
2020-03-22,7.0,3.0,1.0,0.0,0.0,1013487.0,6.0,1.0
2020-03-23,8.0,1.0,3.0,0.0,1.0,1014996.0,7.0,1.0
2020-03-24,6.0,3.0,2.0,1.0,3.0,1015029.0,11.0,4.0
2020-03-25,6.0,3.0,1.0,2.0,5.0,1014748.0,13.0,2.0
2020-03-26,8.0,1.0,1.0,2.0,5.0,1014861.0,14.0,1.0
2020-03-27,10.0,1.0,1.0,2.0,4.0,1015663.0,15.0,1.0
2020-03-28,9.0,3.0,0.0,0.0,3.0,1016584.0,17.0,2.0
2020-03-29,12.0,3.0,2.0,1.0,1.0,1015917.0,20.0,3.0
2020-03-30,17.0,2.0,5.0,3.0,3.0,1017198.0,22.0,2.0
2020-03-31,14.0,2.0,5.0,4.0,7.0,1016724.0,23.0,1.0
2020-04-01,14.0,5.0,5.0,5.0,12.0,1016908.0,28.0,5.0
2020-04-02,25.0,7.0,1.0,6.0,15.0,1017526.0,32.0,4.0
2020-04-03,30.0,1.0,5.0,2.0,16.0,1019396.0,36.0,4.0
2020-04-04,30.0,11.0,3.0,5.0,21.0,1018512.0,46.0,10.0
2020-04-05,46.0,11.0,4.0,4.0,25.0,1019091.0,51.0,5.0
2020-04-06,62.0,14.0,7.0,4.0,33.0,1018838.0,59.0,8.0
2020-04-07,65.0,13.0,6.0,4.0,26.0,1017805.0,65.0,6.0
2020-04-08,71.0,7.0,9.0,5.0,24.0,1016739.0,71.0,6.0
2020-04-09,73.0,16.0,9.0,7.0,30.0,1016479.0,89.0,18.0
2020-04-10,72.0,14.0,9.0,10.0,34.0,1018776.0,99.0,10.0
2020-04-11,98.0,27.0,17.0,23.0,38.0,1018515.0,119.0,20.0
2020-04-12,126.0,30.0,23.0,18.0,50.0,1018635.0,135.0,16.0
2020-04-13,145.0,38.0,30.0,13.0,77.0,1019354.0,162.0,27.0
2020-04-14,196.0,40.0,30.0,26.0,89.0,1019809.0,185.0,23.0
2020-04-15,205.0,51.0,35.0,34.0,108.0,1019330.0,229.0,44.0
2020-04-16,260.0,38.0,45.0,36.0,116.0,1018178.0,260.0,31.0
2020-04-17,284.0,60.0,48.0,32.0,130.0,1018394.0,317.0,57.0
2020-04-18,327.0,71.0,61.0,34.0,156.0,1018775.0,375.0,58.0
2020-04-19,369.0,93.0,69.0,57.0,173.0,1017591.0,446.0,71.0
2020-04-20,446.0,112.0,64.0,43.0,205.0,1017956.0,533.0,87.0
2020-04-21,519.0,123.0,94.0,63.0,248.0,1017886.0,620.0,87.0
2020-04-22,597.0,139.0,113.0,86.0,304.0,1019028.0,729.0,109.0
2020-04-23,765.0,165.0,144.0,99.0,350.0,1020375.0,854.0,125.0
2020-04-24,919.0,198.0,164.0,122.0,423.0,1019182.0,1017.0,163.0
2020-04-25,1105.0,244.0,192.0,145.0,466.0,1019477.0,1194.0,177.0
2020-04-26,1307.0,297.0,226.0,154.0,598.0,1019062.0,1408.0,214.0
2020-04-27,1488.0,321.0,257.0,196.0,698.0,1019848.0,1665.0,257.0
2020-04-28,1672.0,377.0,280.0,246.0,812.0,1018486.0,1952.0,287.0
2020-04-29,2010.0,448.0,319.0,283.0,1016.0,1017615.0,2286.0,334.0
2020-04-30,2481.0,566.0,415.0,338.0,1193.0,1018148.0,2718.0,432.0
2020-05-01,2941.0,619.0,470.0,421.0,1460.0,1018283.0,3188.0,470.0
2020-05-02,3542.0,726.0,559.0,464.0,1770.0,1017144.0,3762.0,574.0
2020-05-03,4187.0,859.0,668.0,564.0,2080.0,1016258.0,4452.0,690.0
2020-05-04,5008.0,1000.0,833.0,660.0,2420.0,1014287.0,5237.0,785.0
2020-05-05,5808.0,1258.0,952.0,781.0,2845.0,1011436.0,6268.0,1031.0
2020-05-06,6835.0,1509.0,1200.0,883.0,3337.0,1008644.0,7435.0,1167.0
2020-05-07,8346.0,1745.0,1417.0,1175.0,3945.0,1005220.0,8794.0,1359.0
2020-05-08,9860.0,2107.0,1634.0,1380.0,4751.0,1002914.0,10484.0,1690.0
