time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970460.0,0.0,0.0
2020-03-07,2.0,2.0,1.0,0.0,0.0,972164.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,1.0,0.0,979552.0,0.0,0.0
2020-03-09,3.0,0.0,1.0,1.0,0.0,986433.0,0.0,0.0
2020-03-10,5.0,1.0,0.0,1.0,0.0,991147.0,1.0,1.0
2020-03-11,4.0,0.0,1.0,0.0,0.0,995773.0,1.0,0.0
2020-03-12,2.0,1.0,1.0,0.0,0.0,1000466.0,2.0,1.0
2020-03-13,1.0,1.0,1.0,1.0,0.0,1002335.0,3.0,1.0
2020-03-14,3.0,0.0,1.0,2.0,0.0,1004220.0,3.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,1.0,1007034.0,3.0,0.0
2020-03-16,2.0,1.0,0.0,0.0,3.0,1009499.0,4.0,1.0
2020-03-17,2.0,0.0,0.0,0.0,3.0,1010836.0,4.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,2.0,1011630.0,4.0,0.0
2020-03-19,0.0,3.0,0.0,1.0,3.0,1012544.0,6.0,2.0
2020-03-20,3.0,4.0,1.0,0.0,4.0,1013050.0,7.0,1.0
2020-03-21,6.0,3.0,1.0,1.0,2.0,1013184.0,8.0,1.0
2020-03-22,10.0,1.0,0.0,1.0,3.0,1012055.0,9.0,1.0
2020-03-23,14.0,2.0,0.0,2.0,7.0,1013283.0,11.0,2.0
2020-03-24,14.0,6.0,1.0,1.0,7.0,1013138.0,15.0,4.0
2020-03-25,16.0,4.0,4.0,1.0,9.0,1014965.0,19.0,4.0
2020-03-26,14.0,3.0,6.0,0.0,10.0,1015918.0,22.0,3.0
2020-03-27,12.0,5.0,9.0,3.0,8.0,1016272.0,30.0,8.0
2020-03-28,18.0,8.0,4.0,8.0,14.0,1016634.0,36.0,6.0
2020-03-29,27.0,5.0,3.0,2.0,18.0,1016864.0,36.0,0.0
2020-03-30,34.0,6.0,5.0,4.0,15.0,1017833.0,41.0,5.0
2020-03-31,27.0,10.0,1.0,5.0,14.0,1017778.0,48.0,7.0
2020-04-01,45.0,10.0,5.0,6.0,16.0,1017626.0,53.0,5.0
2020-04-02,48.0,12.0,11.0,3.0,18.0,1017306.0,63.0,10.0
2020-04-03,64.0,15.0,12.0,9.0,30.0,1017033.0,77.0,14.0
2020-04-04,87.0,33.0,13.0,15.0,43.0,1017534.0,101.0,24.0
2020-04-05,120.0,28.0,18.0,17.0,55.0,1016575.0,118.0,17.0
2020-04-06,134.0,28.0,24.0,14.0,60.0,1016609.0,143.0,25.0
2020-04-07,167.0,30.0,29.0,21.0,78.0,1016971.0,167.0,24.0
2020-04-08,197.0,44.0,28.0,25.0,88.0,1018312.0,207.0,40.0
2020-04-09,194.0,47.0,33.0,25.0,99.0,1018771.0,243.0,36.0
2020-04-10,237.0,45.0,39.0,28.0,119.0,1018902.0,276.0,33.0
2020-04-11,272.0,44.0,41.0,35.0,115.0,1018537.0,313.0,37.0
2020-04-12,305.0,54.0,43.0,40.0,134.0,1017212.0,365.0,52.0
2020-04-13,344.0,83.0,48.0,44.0,165.0,1017957.0,428.0,63.0
2020-04-14,407.0,96.0,58.0,43.0,201.0,1018238.0,493.0,65.0
2020-04-15,469.0,111.0,80.0,54.0,235.0,1017495.0,577.0,84.0
2020-04-16,555.0,121.0,110.0,72.0,272.0,1018786.0,682.0,105.0
2020-04-17,691.0,143.0,134.0,91.0,312.0,1018240.0,773.0,91.0
2020-04-18,824.0,182.0,149.0,122.0,376.0,1018359.0,926.0,153.0
2020-04-19,959.0,223.0,170.0,117.0,500.0,1017342.0,1092.0,166.0
2020-04-20,1130.0,254.0,191.0,170.0,569.0,1018848.0,1283.0,191.0
2020-04-21,1363.0,308.0,206.0,185.0,677.0,1019121.0,1520.0,237.0
