time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,2.0,0.0,0.0,970199.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,0.0,0.0,973421.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,979256.0,0.0,0.0
2020-03-09,2.0,1.0,0.0,0.0,0.0,986967.0,1.0,1.0
2020-03-10,0.0,1.0,1.0,0.0,0.0,992654.0,3.0,2.0
2020-03-11,1.0,0.0,2.0,1.0,0.0,997728.0,3.0,0.0
2020-03-12,1.0,0.0,2.0,0.0,0.0,1000388.0,3.0,0.0
2020-03-13,1.0,0.0,1.0,1.0,0.0,1003203.0,3.0,0.0
2020-03-14,0.0,0.0,1.0,1.0,1.0,1005081.0,3.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,3.0,1008152.0,3.0,0.0
2020-03-16,2.0,0.0,0.0,0.0,1.0,1009032.0,3.0,0.0
2020-03-17,1.0,0.0,0.0,0.0,1.0,1010081.0,3.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,1.0,1010908.0,3.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,1.0,1010857.0,3.0,0.0
2020-03-20,3.0,0.0,0.0,0.0,2.0,1011762.0,3.0,0.0
2020-03-21,0.0,1.0,0.0,0.0,1.0,1012135.0,4.0,1.0
2020-03-22,2.0,0.0,1.0,0.0,1.0,1011761.0,4.0,0.0
2020-03-23,3.0,1.0,0.0,1.0,2.0,1011074.0,5.0,1.0
2020-03-24,1.0,0.0,0.0,0.0,3.0,1013191.0,5.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,4.0,1013060.0,5.0,0.0
2020-03-26,1.0,1.0,0.0,0.0,1.0,1013548.0,6.0,1.0
2020-03-27,3.0,2.0,1.0,0.0,1.0,1014968.0,8.0,2.0
2020-03-28,5.0,0.0,0.0,3.0,2.0,1016067.0,8.0,0.0
2020-03-29,3.0,0.0,0.0,2.0,0.0,1017283.0,8.0,0.0
2020-03-30,4.0,0.0,0.0,3.0,2.0,1016982.0,8.0,0.0
2020-03-31,8.0,1.0,0.0,2.0,1.0,1017389.0,8.0,0.0
2020-04-01,8.0,0.0,0.0,1.0,2.0,1016675.0,9.0,1.0
2020-04-02,8.0,0.0,0.0,0.0,3.0,1017487.0,9.0,0.0
2020-04-03,8.0,2.0,2.0,0.0,5.0,1017681.0,12.0,3.0
2020-04-04,14.0,0.0,1.0,0.0,10.0,1017131.0,12.0,0.0
2020-04-05,16.0,2.0,3.0,1.0,12.0,1017837.0,15.0,3.0
2020-04-06,15.0,3.0,4.0,0.0,13.0,1017187.0,17.0,2.0
2020-04-07,22.0,2.0,6.0,2.0,12.0,1017540.0,18.0,1.0
2020-04-08,28.0,4.0,6.0,3.0,15.0,1018393.0,21.0,3.0
2020-04-09,32.0,8.0,8.0,5.0,17.0,1018661.0,28.0,7.0
2020-04-10,39.0,6.0,8.0,6.0,21.0,1017081.0,32.0,4.0
2020-04-11,43.0,11.0,9.0,7.0,23.0,1018303.0,39.0,7.0
2020-04-12,55.0,13.0,7.0,8.0,32.0,1018882.0,52.0,13.0
2020-04-13,50.0,10.0,15.0,6.0,31.0,1019632.0,66.0,14.0
2020-04-14,62.0,17.0,15.0,6.0,34.0,1019375.0,83.0,17.0
2020-04-15,78.0,13.0,25.0,6.0,40.0,1019416.0,97.0,14.0
2020-04-16,106.0,23.0,15.0,17.0,44.0,1019009.0,112.0,15.0
2020-04-17,122.0,30.0,14.0,18.0,66.0,1018983.0,129.0,17.0
2020-04-18,148.0,34.0,27.0,15.0,69.0,1019315.0,156.0,27.0
2020-04-19,175.0,39.0,28.0,18.0,75.0,1019423.0,186.0,30.0
2020-04-20,218.0,46.0,37.0,24.0,93.0,1019147.0,226.0,40.0
2020-04-21,248.0,58.0,32.0,35.0,117.0,1019411.0,267.0,41.0
2020-04-22,290.0,58.0,48.0,37.0,152.0,1019946.0,310.0,43.0
2020-04-23,361.0,84.0,48.0,49.0,183.0,1019071.0,376.0,66.0
2020-04-24,431.0,89.0,55.0,63.0,213.0,1019698.0,441.0,65.0
2020-04-25,501.0,113.0,77.0,60.0,233.0,1019532.0,526.0,85.0
2020-04-26,586.0,132.0,97.0,77.0,260.0,1019834.0,640.0,114.0
2020-04-27,656.0,124.0,123.0,77.0,304.0,1020278.0,743.0,103.0
2020-04-28,741.0,179.0,129.0,106.0,357.0,1019783.0,891.0,148.0
2020-04-29,932.0,195.0,151.0,115.0,451.0,1020605.0,1036.0,145.0
2020-04-30,1092.0,210.0,176.0,134.0,569.0,1019808.0,1199.0,163.0
2020-05-01,1306.0,255.0,194.0,155.0,634.0,1021145.0,1398.0,199.0
2020-05-02,1509.0,340.0,263.0,169.0,744.0,1020605.0,1670.0,272.0
2020-05-03,1765.0,377.0,292.0,228.0,914.0,1020425.0,1981.0,311.0
2020-05-04,2083.0,442.0,375.0,256.0,1050.0,1020895.0,2340.0,359.0
2020-05-05,2529.0,527.0,408.0,343.0,1217.0,1019521.0,2732.0,392.0
2020-05-06,2945.0,620.0,486.0,395.0,1471.0,1018344.0,3236.0,504.0
2020-05-07,3473.0,736.0,578.0,470.0,1714.0,1016327.0,3822.0,586.0
2020-05-08,4140.0,858.0,718.0,544.0,2036.0,1015201.0,4527.0,705.0
2020-05-09,4927.0,998.0,822.0,690.0,2383.0,1013810.0,5317.0,790.0
2020-05-10,5864.0,1301.0,991.0,773.0,2906.0,1012315.0,6339.0,1022.0
2020-05-11,6968.0,1547.0,1189.0,954.0,3460.0,1009866.0,7504.0,1165.0
2020-05-12,8508.0,1830.0,1425.0,1055.0,4148.0,1005441.0,8914.0,1410.0
2020-05-13,10004.0,2180.0,1750.0,1303.0,4901.0,1004135.0,10644.0,1730.0
2020-05-14,11869.0,2541.0,2016.0,1575.0,5844.0,999867.0,12641.0,1997.0
2020-05-15,14010.0,3030.0,2388.0,1931.0,6884.0,995811.0,15021.0,2380.0
2020-05-16,16565.0,3543.0,2779.0,2302.0,8195.0,991433.0,17857.0,2836.0
2020-05-17,19552.0,4342.0,3307.0,2590.0,9757.0,985089.0,21278.0,3421.0
2020-05-18,22785.0,5184.0,3896.0,3103.0,11475.0,977940.0,25306.0,4028.0
2020-05-19,26782.0,5929.0,4671.0,3729.0,13644.0,969726.0,29858.0,4552.0
