time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,970253.0,0.0,0.0
2020-03-07,2.0,0.0,0.0,0.0,2.0,973477.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,0.0,0.0,980054.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,987592.0,0.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,1.0,993081.0,1.0,1.0
2020-03-11,1.0,0.0,2.0,0.0,1.0,997386.0,1.0,0.0
2020-03-12,1.0,0.0,1.0,1.0,0.0,999577.0,1.0,0.0
2020-03-13,2.0,0.0,1.0,0.0,0.0,1001789.0,1.0,0.0
2020-03-14,3.0,0.0,1.0,0.0,0.0,1004147.0,1.0,0.0
2020-03-15,3.0,1.0,0.0,0.0,0.0,1005895.0,2.0,1.0
2020-03-16,4.0,1.0,0.0,0.0,1.0,1007630.0,3.0,1.0
2020-03-17,4.0,2.0,1.0,0.0,0.0,1009160.0,4.0,1.0
2020-03-18,3.0,0.0,0.0,1.0,1.0,1009633.0,4.0,0.0
2020-03-19,1.0,1.0,0.0,1.0,1.0,1009748.0,5.0,1.0
2020-03-20,9.0,2.0,0.0,0.0,1.0,1011003.0,5.0,0.0
2020-03-21,11.0,5.0,2.0,0.0,1.0,1011956.0,10.0,5.0
2020-03-22,12.0,4.0,2.0,0.0,1.0,1013812.0,11.0,1.0
2020-03-23,9.0,2.0,4.0,1.0,1.0,1014702.0,13.0,2.0
2020-03-24,8.0,1.0,0.0,1.0,1.0,1014459.0,13.0,0.0
2020-03-25,7.0,2.0,0.0,0.0,3.0,1014750.0,16.0,3.0
2020-03-26,7.0,2.0,0.0,1.0,4.0,1015014.0,16.0,0.0
2020-03-27,10.0,3.0,1.0,4.0,4.0,1014606.0,20.0,4.0
2020-03-28,10.0,5.0,4.0,1.0,7.0,1015078.0,24.0,4.0
2020-03-29,22.0,4.0,1.0,2.0,9.0,1015384.0,24.0,0.0
2020-03-30,19.0,3.0,2.0,1.0,10.0,1015989.0,24.0,0.0
2020-03-31,22.0,6.0,3.0,3.0,10.0,1016139.0,28.0,4.0
2020-04-01,22.0,4.0,3.0,1.0,14.0,1015554.0,32.0,4.0
2020-04-02,35.0,8.0,2.0,3.0,16.0,1016724.0,38.0,6.0
2020-04-03,40.0,9.0,3.0,4.0,16.0,1016698.0,46.0,8.0
2020-04-04,45.0,14.0,4.0,5.0,21.0,1017783.0,56.0,10.0
2020-04-05,51.0,19.0,16.0,5.0,23.0,1018148.0,71.0,15.0
