time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970156.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,972241.0,0.0,0.0
2020-03-08,3.0,0.0,1.0,0.0,0.0,978835.0,0.0,0.0
2020-03-09,2.0,0.0,1.0,0.0,0.0,986366.0,0.0,0.0
2020-03-10,3.0,1.0,2.0,0.0,0.0,990983.0,1.0,1.0
2020-03-11,3.0,0.0,2.0,0.0,0.0,996869.0,1.0,0.0
2020-03-12,4.0,1.0,0.0,2.0,0.0,999872.0,2.0,1.0
2020-03-13,3.0,1.0,0.0,2.0,0.0,1002162.0,2.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,1.0,1005345.0,2.0,0.0
2020-03-15,4.0,0.0,0.0,0.0,0.0,1006774.0,2.0,0.0
2020-03-16,5.0,1.0,0.0,0.0,0.0,1009543.0,2.0,0.0
2020-03-17,6.0,0.0,0.0,2.0,0.0,1009815.0,2.0,0.0
2020-03-18,7.0,0.0,0.0,1.0,0.0,1011548.0,2.0,0.0
2020-03-19,5.0,0.0,0.0,1.0,2.0,1012139.0,2.0,0.0
2020-03-20,4.0,2.0,0.0,0.0,3.0,1012603.0,4.0,2.0
2020-03-21,8.0,2.0,1.0,0.0,4.0,1013380.0,5.0,1.0
2020-03-22,11.0,1.0,0.0,1.0,4.0,1014905.0,6.0,1.0
2020-03-23,15.0,1.0,1.0,2.0,4.0,1014911.0,6.0,0.0
2020-03-24,12.0,6.0,1.0,2.0,3.0,1014861.0,9.0,3.0
2020-03-25,16.0,4.0,2.0,4.0,3.0,1015101.0,10.0,1.0
2020-03-26,21.0,2.0,5.0,1.0,8.0,1013762.0,12.0,2.0
2020-03-27,26.0,4.0,6.0,2.0,8.0,1014474.0,17.0,5.0
2020-03-28,28.0,3.0,3.0,3.0,12.0,1014736.0,18.0,1.0
2020-03-29,34.0,3.0,3.0,5.0,19.0,1014880.0,19.0,1.0
2020-03-30,34.0,6.0,4.0,3.0,15.0,1015775.0,24.0,5.0
2020-03-31,33.0,6.0,12.0,1.0,19.0,1016371.0,31.0,7.0
2020-04-01,41.0,11.0,10.0,6.0,22.0,1016266.0,40.0,9.0
2020-04-02,55.0,10.0,13.0,6.0,23.0,1017981.0,48.0,8.0
2020-04-03,63.0,11.0,13.0,7.0,31.0,1018899.0,59.0,11.0
2020-04-04,82.0,14.0,20.0,7.0,42.0,1018630.0,72.0,13.0
2020-04-05,97.0,23.0,13.0,14.0,47.0,1017066.0,89.0,17.0
2020-04-06,115.0,32.0,22.0,17.0,50.0,1018276.0,120.0,31.0
2020-04-07,143.0,44.0,22.0,19.0,65.0,1018553.0,144.0,24.0
2020-04-08,150.0,37.0,25.0,25.0,80.0,1019038.0,169.0,25.0
2020-04-09,162.0,36.0,40.0,26.0,89.0,1018694.0,201.0,32.0
2020-04-10,188.0,49.0,45.0,30.0,122.0,1018699.0,245.0,44.0
2020-04-11,243.0,50.0,41.0,39.0,143.0,1019614.0,281.0,36.0
2020-04-12,299.0,59.0,51.0,42.0,166.0,1019918.0,334.0,53.0
2020-04-13,343.0,87.0,66.0,49.0,184.0,1018787.0,397.0,63.0
2020-04-14,399.0,95.0,69.0,51.0,235.0,1018952.0,470.0,73.0
2020-04-15,500.0,97.0,89.0,65.0,286.0,1017789.0,539.0,69.0
2020-04-16,628.0,125.0,101.0,96.0,307.0,1017970.0,642.0,103.0
2020-04-17,740.0,146.0,144.0,104.0,368.0,1018188.0,759.0,117.0
2020-04-18,867.0,187.0,150.0,122.0,457.0,1017840.0,921.0,162.0
2020-04-19,1061.0,226.0,194.0,143.0,533.0,1019112.0,1099.0,178.0
2020-04-20,1279.0,248.0,224.0,165.0,613.0,1018055.0,1304.0,205.0
2020-04-21,1517.0,313.0,233.0,201.0,731.0,1017015.0,1564.0,260.0
2020-04-22,1782.0,384.0,291.0,236.0,840.0,1016543.0,1865.0,301.0
2020-04-23,2050.0,451.0,326.0,284.0,1019.0,1017022.0,2207.0,342.0
2020-04-24,2470.0,538.0,396.0,328.0,1224.0,1015679.0,2625.0,418.0
2020-04-25,2939.0,633.0,505.0,385.0,1495.0,1015270.0,3124.0,499.0
2020-04-26,3464.0,743.0,593.0,463.0,1755.0,1014472.0,3702.0,578.0
2020-04-27,4192.0,848.0,720.0,557.0,2070.0,1013417.0,4394.0,692.0
2020-04-28,4892.0,1044.0,857.0,676.0,2436.0,1011252.0,5209.0,815.0
2020-04-29,5841.0,1233.0,979.0,824.0,2910.0,1010167.0,6173.0,964.0
2020-04-30,7065.0,1470.0,1217.0,965.0,3458.0,1008764.0,7358.0,1185.0
2020-05-01,8331.0,1727.0,1394.0,1139.0,4162.0,1006120.0,8715.0,1357.0
2020-05-02,9884.0,2108.0,1673.0,1313.0,4899.0,1002457.0,10413.0,1698.0
2020-05-03,11710.0,2520.0,1961.0,1566.0,5825.0,998774.0,12397.0,1984.0
2020-05-04,13941.0,3037.0,2369.0,1789.0,6892.0,996265.0,14779.0,2382.0
2020-05-05,16606.0,3554.0,2799.0,2180.0,8140.0,990678.0,17480.0,2701.0
2020-05-06,19447.0,4156.0,3324.0,2607.0,9666.0,983458.0,20744.0,3264.0
2020-05-07,23124.0,4921.0,3866.0,3032.0,11549.0,976976.0,24561.0,3817.0
2020-05-08,26889.0,5821.0,4593.0,3596.0,13545.0,969315.0,29155.0,4594.0
2020-05-09,31483.0,6922.0,5439.0,4283.0,16109.0,960196.0,34580.0,5425.0
2020-05-10,36957.0,8128.0,6313.0,4988.0,19003.0,949060.0,40747.0,6167.0
2020-05-11,43067.0,9514.0,7526.0,5901.0,22522.0,935776.0,48032.0,7285.0
2020-05-12,50079.0,10942.0,8866.0,7092.0,26815.0,920876.0,56533.0,8501.0
2020-05-13,58406.0,12888.0,10158.0,8157.0,31565.0,904464.0,66404.0,9871.0
2020-05-14,67290.0,14915.0,11930.0,9442.0,37205.0,882591.0,77939.0,11535.0
2020-05-15,77077.0,17121.0,13832.0,11082.0,43839.0,860625.0,91278.0,13339.0
2020-05-16,87913.0,19629.0,16152.0,12859.0,51185.0,836580.0,106363.0,15085.0
2020-05-17,99452.0,22544.0,18609.0,15185.0,60004.0,808907.0,123647.0,17284.0
2020-05-18,112395.0,25766.0,21137.0,17419.0,70632.0,777145.0,143297.0,19650.0
2020-05-19,125801.0,29073.0,24022.0,19990.0,82545.0,743522.0,165167.0,21870.0
2020-05-20,139419.0,32602.0,27322.0,22615.0,95867.0,705729.0,189606.0,24439.0
2020-05-21,153732.0,36142.0,30860.0,25889.0,111775.0,666535.0,216650.0,27044.0
2020-05-22,167152.0,39969.0,33945.0,29224.0,129060.0,625686.0,246301.0,29651.0
2020-05-23,179661.0,43287.0,37664.0,32288.0,148744.0,583818.0,278123.0,31822.0
2020-05-24,191795.0,46788.0,41507.0,35811.0,170560.0,540113.0,312672.0,34549.0
2020-05-25,200530.0,50121.0,44717.0,39275.0,194448.0,496806.0,349361.0,36689.0
