time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,969707.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,972214.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,978634.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985202.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,990341.0,0.0,0.0
2020-03-11,0.0,0.0,1.0,0.0,0.0,996084.0,0.0,0.0
2020-03-12,1.0,1.0,1.0,0.0,1.0,999535.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,1.0,1003016.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,1.0,1.0,1004893.0,0.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1006919.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,1.0,1008795.0,1.0,1.0
2020-03-17,3.0,1.0,0.0,0.0,0.0,1008794.0,1.0,0.0
2020-03-18,3.0,1.0,0.0,0.0,0.0,1010065.0,1.0,0.0
2020-03-19,6.0,0.0,1.0,0.0,1.0,1010546.0,1.0,0.0
2020-03-20,5.0,2.0,1.0,1.0,1.0,1012006.0,4.0,3.0
2020-03-21,10.0,0.0,2.0,5.0,1.0,1013779.0,5.0,1.0
2020-03-22,7.0,1.0,1.0,4.0,5.0,1012951.0,7.0,2.0
2020-03-23,11.0,0.0,1.0,3.0,5.0,1014906.0,7.0,0.0
2020-03-24,10.0,1.0,1.0,0.0,4.0,1013795.0,9.0,2.0
2020-03-25,8.0,2.0,3.0,3.0,5.0,1014127.0,11.0,2.0
2020-03-26,16.0,4.0,1.0,2.0,9.0,1014363.0,13.0,2.0
2020-03-27,22.0,6.0,3.0,1.0,12.0,1015138.0,18.0,5.0
2020-03-28,22.0,7.0,3.0,2.0,11.0,1016505.0,23.0,5.0
2020-03-29,24.0,9.0,3.0,3.0,7.0,1015454.0,26.0,3.0
2020-03-30,35.0,8.0,10.0,9.0,7.0,1015107.0,32.0,6.0
2020-03-31,47.0,9.0,5.0,8.0,21.0,1014969.0,40.0,8.0
2020-04-01,48.0,12.0,7.0,8.0,23.0,1014756.0,53.0,13.0
2020-04-02,47.0,14.0,12.0,7.0,32.0,1015640.0,67.0,14.0
2020-04-03,60.0,14.0,11.0,6.0,39.0,1015677.0,75.0,8.0
2020-04-04,69.0,17.0,11.0,11.0,45.0,1015677.0,84.0,9.0
2020-04-05,82.0,18.0,16.0,10.0,46.0,1014574.0,97.0,13.0
2020-04-06,98.0,17.0,21.0,14.0,67.0,1013892.0,112.0,15.0
2020-04-07,127.0,29.0,21.0,19.0,76.0,1015367.0,137.0,25.0
2020-04-08,148.0,34.0,17.0,26.0,73.0,1015787.0,163.0,26.0
2020-04-09,180.0,40.0,31.0,16.0,84.0,1014935.0,194.0,31.0
2020-04-10,237.0,45.0,50.0,20.0,108.0,1015848.0,235.0,41.0
