time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970722.0,0.0,0.0
2020-03-07,0.0,0.0,3.0,0.0,0.0,972422.0,1.0,1.0
2020-03-08,2.0,1.0,1.0,2.0,0.0,979394.0,2.0,1.0
2020-03-09,2.0,0.0,0.0,1.0,0.0,986587.0,2.0,0.0
2020-03-10,3.0,0.0,0.0,0.0,1.0,992900.0,2.0,0.0
2020-03-11,3.0,0.0,0.0,0.0,1.0,998110.0,2.0,0.0
2020-03-12,2.0,0.0,1.0,0.0,0.0,1000994.0,3.0,1.0
2020-03-13,1.0,0.0,0.0,0.0,0.0,1003222.0,3.0,0.0
2020-03-14,3.0,0.0,0.0,0.0,0.0,1004941.0,3.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,0.0,1006724.0,4.0,1.0
2020-03-16,2.0,1.0,0.0,0.0,0.0,1008154.0,4.0,0.0
2020-03-17,3.0,2.0,0.0,0.0,1.0,1009715.0,5.0,1.0
2020-03-18,6.0,1.0,1.0,0.0,1.0,1010618.0,6.0,1.0
2020-03-19,6.0,1.0,1.0,1.0,1.0,1010425.0,7.0,1.0
2020-03-20,5.0,1.0,0.0,1.0,2.0,1011525.0,7.0,0.0
2020-03-21,2.0,2.0,1.0,1.0,2.0,1012588.0,9.0,2.0
2020-03-22,5.0,1.0,0.0,1.0,2.0,1013590.0,9.0,0.0
2020-03-23,6.0,1.0,0.0,1.0,2.0,1013470.0,9.0,0.0
2020-03-24,3.0,0.0,1.0,0.0,2.0,1013367.0,9.0,0.0
2020-03-25,2.0,1.0,0.0,0.0,1.0,1013096.0,10.0,1.0
2020-03-26,4.0,1.0,1.0,1.0,1.0,1013483.0,10.0,0.0
2020-03-27,11.0,0.0,2.0,2.0,0.0,1015211.0,10.0,0.0
2020-03-28,12.0,2.0,2.0,3.0,1.0,1015851.0,13.0,3.0
2020-03-29,15.0,6.0,1.0,2.0,5.0,1015500.0,18.0,5.0
2020-03-30,20.0,4.0,3.0,1.0,7.0,1014735.0,21.0,3.0
2020-03-31,16.0,4.0,4.0,1.0,7.0,1014829.0,24.0,3.0
2020-04-01,20.0,5.0,4.0,4.0,5.0,1014478.0,27.0,3.0
2020-04-02,26.0,5.0,5.0,3.0,14.0,1015635.0,30.0,3.0
2020-04-03,34.0,6.0,8.0,3.0,16.0,1017255.0,35.0,5.0
2020-04-04,34.0,12.0,4.0,11.0,18.0,1016595.0,45.0,10.0
2020-04-05,54.0,16.0,9.0,7.0,26.0,1016998.0,56.0,11.0
2020-04-06,56.0,13.0,17.0,12.0,29.0,1016147.0,71.0,15.0
2020-04-07,62.0,11.0,12.0,16.0,26.0,1015917.0,85.0,14.0
2020-04-08,69.0,13.0,15.0,13.0,39.0,1016619.0,101.0,16.0
2020-04-09,94.0,11.0,19.0,17.0,44.0,1016167.0,113.0,12.0
2020-04-10,96.0,28.0,13.0,13.0,54.0,1016995.0,134.0,21.0
2020-04-11,123.0,21.0,21.0,9.0,68.0,1018159.0,147.0,13.0
2020-04-12,144.0,26.0,14.0,20.0,69.0,1018723.0,169.0,22.0
2020-04-13,147.0,40.0,31.0,27.0,82.0,1019274.0,203.0,34.0
2020-04-14,185.0,50.0,38.0,27.0,91.0,1018844.0,238.0,35.0
2020-04-15,253.0,57.0,39.0,30.0,118.0,1019864.0,274.0,36.0
2020-04-16,301.0,56.0,50.0,43.0,151.0,1020563.0,322.0,48.0
2020-04-17,348.0,72.0,60.0,46.0,178.0,1019726.0,381.0,59.0
2020-04-18,398.0,77.0,77.0,47.0,198.0,1020270.0,443.0,62.0
2020-04-19,479.0,111.0,87.0,67.0,220.0,1018813.0,524.0,81.0
2020-04-20,594.0,108.0,109.0,77.0,261.0,1018353.0,626.0,102.0
2020-04-21,723.0,147.0,103.0,126.0,296.0,1019068.0,747.0,121.0
2020-04-22,840.0,156.0,136.0,130.0,365.0,1018714.0,875.0,128.0
2020-04-23,944.0,214.0,158.0,139.0,473.0,1019466.0,1051.0,176.0
2020-04-24,1143.0,248.0,178.0,147.0,561.0,1020376.0,1255.0,204.0
2020-04-25,1351.0,302.0,228.0,147.0,684.0,1020355.0,1490.0,235.0
2020-04-26,1555.0,361.0,276.0,195.0,779.0,1019801.0,1745.0,255.0
2020-04-27,1930.0,410.0,310.0,250.0,933.0,1018992.0,2043.0,298.0
2020-04-28,2211.0,479.0,378.0,278.0,1101.0,1017120.0,2453.0,410.0
2020-04-29,2646.0,584.0,424.0,357.0,1315.0,1016787.0,2907.0,454.0
2020-04-30,3088.0,694.0,511.0,449.0,1632.0,1015730.0,3435.0,528.0
2020-05-01,3745.0,804.0,585.0,520.0,1939.0,1014725.0,4062.0,627.0
2020-05-02,4380.0,948.0,755.0,619.0,2200.0,1012831.0,4837.0,775.0
2020-05-03,5095.0,1101.0,887.0,694.0,2636.0,1012237.0,5692.0,855.0
2020-05-04,6052.0,1315.0,1098.0,816.0,3071.0,1011491.0,6739.0,1047.0
2020-05-05,7341.0,1538.0,1233.0,1016.0,3629.0,1008414.0,7912.0,1173.0
2020-05-06,8699.0,1846.0,1463.0,1216.0,4309.0,1005866.0,9417.0,1505.0
2020-05-07,10320.0,2203.0,1766.0,1436.0,5134.0,1001923.0,11146.0,1729.0
2020-05-08,12241.0,2654.0,2073.0,1651.0,6173.0,997885.0,13188.0,2042.0
2020-05-09,14494.0,3165.0,2456.0,1958.0,7193.0,993216.0,15667.0,2479.0
