time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970612.0,0.0,0.0
2020-03-07,3.0,1.0,0.0,0.0,1.0,972156.0,1.0,1.0
2020-03-08,4.0,1.0,0.0,0.0,1.0,979398.0,1.0,0.0
2020-03-09,6.0,0.0,1.0,0.0,0.0,986579.0,1.0,0.0
2020-03-10,3.0,0.0,1.0,0.0,1.0,993451.0,1.0,0.0
2020-03-11,4.0,1.0,1.0,1.0,1.0,998487.0,3.0,2.0
2020-03-12,4.0,2.0,1.0,0.0,3.0,1001922.0,4.0,1.0
2020-03-13,8.0,0.0,0.0,0.0,3.0,1002934.0,4.0,0.0
2020-03-14,6.0,2.0,1.0,0.0,3.0,1005106.0,7.0,3.0
2020-03-15,8.0,3.0,2.0,1.0,4.0,1007555.0,10.0,3.0
2020-03-16,7.0,2.0,2.0,0.0,2.0,1008780.0,10.0,0.0
2020-03-17,7.0,2.0,1.0,1.0,3.0,1009282.0,12.0,2.0
2020-03-18,7.0,2.0,0.0,4.0,2.0,1011107.0,12.0,0.0
2020-03-19,15.0,4.0,1.0,3.0,5.0,1012861.0,14.0,2.0
2020-03-20,16.0,7.0,4.0,2.0,4.0,1012104.0,21.0,7.0
2020-03-21,17.0,8.0,3.0,3.0,4.0,1010936.0,24.0,3.0
2020-03-22,26.0,3.0,5.0,4.0,5.0,1011761.0,26.0,2.0
2020-03-23,24.0,3.0,5.0,3.0,9.0,1012539.0,30.0,4.0
2020-03-24,31.0,3.0,2.0,7.0,16.0,1014176.0,35.0,5.0
2020-03-25,31.0,3.0,6.0,4.0,18.0,1012561.0,41.0,6.0
2020-03-26,43.0,5.0,5.0,5.0,19.0,1013301.0,47.0,6.0
2020-03-27,37.0,7.0,6.0,5.0,24.0,1014434.0,53.0,6.0
2020-03-28,40.0,18.0,6.0,3.0,29.0,1014446.0,63.0,10.0
2020-03-29,73.0,12.0,5.0,8.0,31.0,1014413.0,67.0,4.0
2020-03-30,65.0,13.0,9.0,7.0,41.0,1014163.0,79.0,12.0
2020-03-31,83.0,17.0,11.0,13.0,40.0,1014830.0,94.0,15.0
2020-04-01,100.0,29.0,17.0,14.0,47.0,1014068.0,120.0,26.0
2020-04-02,119.0,30.0,26.0,19.0,51.0,1015411.0,143.0,23.0
2020-04-03,147.0,29.0,25.0,24.0,71.0,1015871.0,168.0,25.0
2020-04-04,197.0,34.0,33.0,26.0,86.0,1017262.0,195.0,27.0
2020-04-05,213.0,32.0,35.0,33.0,111.0,1017441.0,227.0,32.0
2020-04-06,246.0,46.0,30.0,21.0,136.0,1018007.0,255.0,28.0
2020-04-07,271.0,53.0,35.0,31.0,155.0,1018887.0,294.0,39.0
2020-04-08,314.0,69.0,48.0,35.0,169.0,1017204.0,356.0,62.0
2020-04-09,369.0,93.0,58.0,48.0,199.0,1017184.0,429.0,73.0
2020-04-10,450.0,93.0,84.0,58.0,239.0,1016914.0,496.0,67.0
2020-04-11,547.0,93.0,111.0,61.0,274.0,1017313.0,580.0,84.0
2020-04-12,675.0,131.0,92.0,97.0,312.0,1017563.0,687.0,107.0
2020-04-13,758.0,125.0,122.0,99.0,387.0,1017433.0,790.0,103.0
2020-04-14,849.0,178.0,130.0,117.0,463.0,1017625.0,933.0,143.0
2020-04-15,1056.0,215.0,154.0,137.0,522.0,1017823.0,1098.0,165.0
2020-04-16,1224.0,280.0,205.0,178.0,657.0,1017224.0,1327.0,229.0
2020-04-17,1455.0,318.0,262.0,194.0,768.0,1015959.0,1584.0,257.0
2020-04-18,1748.0,373.0,290.0,255.0,896.0,1015795.0,1863.0,279.0
2020-04-19,2039.0,445.0,351.0,291.0,1031.0,1014745.0,2222.0,359.0
2020-04-20,2531.0,542.0,451.0,349.0,1252.0,1014977.0,2628.0,406.0
2020-04-21,3060.0,654.0,503.0,434.0,1465.0,1013662.0,3131.0,503.0
2020-04-22,3612.0,765.0,630.0,500.0,1712.0,1013650.0,3725.0,594.0
2020-04-23,4291.0,897.0,680.0,576.0,2038.0,1013521.0,4432.0,707.0
2020-04-24,4933.0,1067.0,823.0,631.0,2453.0,1011418.0,5264.0,832.0
2020-04-25,5879.0,1249.0,999.0,769.0,2898.0,1009490.0,6184.0,920.0
2020-04-26,6789.0,1545.0,1156.0,913.0,3397.0,1007879.0,7429.0,1245.0
2020-04-27,8160.0,1754.0,1432.0,1162.0,4028.0,1005718.0,8803.0,1374.0
2020-04-28,9658.0,2085.0,1657.0,1356.0,4857.0,1003191.0,10424.0,1621.0
2020-04-29,11419.0,2463.0,2003.0,1551.0,5813.0,999862.0,12368.0,1944.0
2020-04-30,13638.0,2965.0,2323.0,1852.0,6840.0,994725.0,14647.0,2279.0
2020-05-01,16057.0,3440.0,2732.0,2200.0,8220.0,989686.0,17378.0,2731.0
2020-05-02,19177.0,4055.0,3202.0,2654.0,9573.0,984869.0,20534.0,3156.0
2020-05-03,22535.0,4827.0,3994.0,3034.0,11330.0,976782.0,24409.0,3875.0
2020-05-04,26338.0,5641.0,4542.0,3625.0,13580.0,968542.0,28834.0,4425.0
2020-05-05,31020.0,6817.0,5439.0,4245.0,15987.0,959821.0,34114.0,5280.0
2020-05-06,36356.0,7952.0,6386.0,4955.0,18881.0,948755.0,40312.0,6198.0
2020-05-07,42551.0,9362.0,7420.0,5853.0,22400.0,935294.0,47561.0,7249.0
2020-05-08,49654.0,10812.0,8654.0,6927.0,26321.0,920663.0,55941.0,8380.0
2020-05-09,57464.0,12792.0,10053.0,8175.0,30984.0,904581.0,65713.0,9772.0
2020-05-10,66344.0,14754.0,11778.0,9360.0,36721.0,885391.0,76997.0,11284.0
2020-05-11,76231.0,17189.0,13730.0,10952.0,43439.0,862806.0,90135.0,13138.0
