time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970534.0,0.0,0.0
2020-03-07,1.0,1.0,2.0,0.0,0.0,972540.0,0.0,0.0
2020-03-08,0.0,1.0,3.0,0.0,0.0,979338.0,1.0,1.0
2020-03-09,1.0,0.0,1.0,0.0,1.0,985807.0,1.0,0.0
2020-03-10,2.0,1.0,0.0,0.0,2.0,989989.0,2.0,1.0
2020-03-11,2.0,2.0,1.0,0.0,0.0,995647.0,4.0,2.0
2020-03-12,2.0,0.0,2.0,0.0,0.0,999286.0,5.0,1.0
2020-03-13,0.0,0.0,0.0,1.0,1.0,1002240.0,5.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1004550.0,5.0,0.0
2020-03-15,1.0,1.0,0.0,0.0,1.0,1005916.0,5.0,0.0
2020-03-16,4.0,1.0,0.0,0.0,2.0,1007692.0,5.0,0.0
2020-03-17,4.0,3.0,0.0,0.0,1.0,1008196.0,7.0,2.0
2020-03-18,8.0,0.0,2.0,0.0,0.0,1010089.0,7.0,0.0
2020-03-19,2.0,1.0,2.0,0.0,1.0,1011971.0,9.0,2.0
2020-03-20,4.0,0.0,0.0,2.0,1.0,1012428.0,9.0,0.0
2020-03-21,4.0,0.0,1.0,0.0,1.0,1012858.0,11.0,2.0
2020-03-22,7.0,2.0,1.0,0.0,0.0,1013811.0,13.0,2.0
2020-03-23,4.0,2.0,0.0,1.0,2.0,1013507.0,14.0,1.0
2020-03-24,7.0,1.0,1.0,0.0,4.0,1014555.0,15.0,1.0
2020-03-25,7.0,3.0,2.0,2.0,8.0,1015811.0,16.0,1.0
2020-03-26,13.0,3.0,1.0,1.0,11.0,1015553.0,16.0,0.0
2020-03-27,10.0,3.0,2.0,1.0,11.0,1015714.0,18.0,2.0
2020-03-28,17.0,3.0,3.0,2.0,7.0,1015593.0,20.0,2.0
2020-03-29,16.0,7.0,1.0,1.0,7.0,1015198.0,26.0,6.0
2020-03-30,21.0,9.0,5.0,2.0,8.0,1014761.0,30.0,4.0
2020-03-31,32.0,11.0,2.0,3.0,9.0,1014742.0,37.0,7.0
