time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970041.0,0.0,0.0
2020-03-07,2.0,1.0,2.0,0.0,0.0,972829.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,1.0,979518.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,1.0,1.0,986404.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,1.0,2.0,992163.0,1.0,1.0
2020-03-11,1.0,1.0,0.0,0.0,1.0,996841.0,2.0,1.0
2020-03-12,1.0,0.0,1.0,0.0,1.0,999773.0,2.0,0.0
2020-03-13,2.0,1.0,0.0,0.0,1.0,1004541.0,3.0,1.0
2020-03-14,2.0,2.0,0.0,0.0,1.0,1005467.0,4.0,1.0
2020-03-15,4.0,1.0,1.0,0.0,1.0,1007287.0,4.0,0.0
2020-03-16,4.0,0.0,1.0,0.0,2.0,1009255.0,4.0,0.0
2020-03-17,3.0,0.0,0.0,1.0,1.0,1009438.0,4.0,0.0
2020-03-18,3.0,1.0,0.0,0.0,1.0,1010408.0,5.0,1.0
2020-03-19,3.0,1.0,1.0,0.0,2.0,1012598.0,6.0,1.0
2020-03-20,4.0,1.0,0.0,0.0,3.0,1013413.0,6.0,0.0
2020-03-21,7.0,2.0,1.0,0.0,2.0,1014750.0,8.0,2.0
2020-03-22,11.0,0.0,1.0,2.0,2.0,1014415.0,8.0,0.0
2020-03-23,9.0,1.0,1.0,2.0,2.0,1015781.0,9.0,1.0
2020-03-24,6.0,1.0,1.0,1.0,0.0,1015505.0,11.0,2.0
2020-03-25,10.0,2.0,1.0,1.0,4.0,1016539.0,13.0,2.0
2020-03-26,11.0,2.0,2.0,2.0,3.0,1016382.0,14.0,1.0
2020-03-27,12.0,3.0,2.0,2.0,4.0,1016931.0,16.0,2.0
2020-03-28,10.0,4.0,0.0,1.0,7.0,1015226.0,17.0,1.0
2020-03-29,8.0,1.0,0.0,1.0,8.0,1015891.0,18.0,1.0
2020-03-30,10.0,1.0,1.0,0.0,8.0,1015972.0,18.0,0.0
2020-03-31,12.0,3.0,2.0,1.0,10.0,1015277.0,21.0,3.0
2020-04-01,16.0,1.0,4.0,0.0,12.0,1016283.0,22.0,1.0
2020-04-02,15.0,3.0,2.0,2.0,16.0,1017988.0,25.0,3.0
2020-04-03,17.0,2.0,2.0,3.0,16.0,1017389.0,27.0,2.0
2020-04-04,21.0,7.0,0.0,3.0,19.0,1017049.0,32.0,5.0
2020-04-05,23.0,5.0,4.0,1.0,16.0,1017107.0,37.0,5.0
2020-04-06,27.0,8.0,8.0,1.0,21.0,1017755.0,44.0,7.0
2020-04-07,37.0,11.0,12.0,6.0,20.0,1017905.0,51.0,7.0
2020-04-08,57.0,9.0,14.0,10.0,22.0,1018631.0,60.0,9.0
2020-04-09,60.0,12.0,14.0,8.0,22.0,1019013.0,69.0,9.0
2020-04-10,62.0,14.0,12.0,13.0,30.0,1019697.0,80.0,11.0
2020-04-11,74.0,12.0,11.0,8.0,39.0,1019313.0,86.0,6.0
2020-04-12,84.0,16.0,22.0,7.0,50.0,1019057.0,100.0,14.0
2020-04-13,112.0,21.0,20.0,10.0,49.0,1020648.0,116.0,16.0
2020-04-14,127.0,26.0,23.0,16.0,65.0,1021076.0,141.0,25.0
2020-04-15,149.0,31.0,23.0,25.0,72.0,1020352.0,164.0,23.0
2020-04-16,172.0,49.0,29.0,22.0,102.0,1021269.0,198.0,34.0
2020-04-17,223.0,54.0,34.0,24.0,107.0,1019578.0,233.0,35.0
2020-04-18,232.0,62.0,49.0,32.0,131.0,1019745.0,281.0,48.0
2020-04-19,307.0,63.0,47.0,44.0,153.0,1018583.0,319.0,38.0
2020-04-20,349.0,87.0,53.0,38.0,196.0,1020635.0,388.0,69.0
2020-04-21,420.0,69.0,82.0,51.0,235.0,1020168.0,438.0,50.0
2020-04-22,481.0,101.0,90.0,67.0,280.0,1020099.0,524.0,86.0
2020-04-23,595.0,131.0,108.0,75.0,300.0,1022152.0,628.0,104.0
2020-04-24,794.0,163.0,131.0,101.0,349.0,1021310.0,753.0,125.0
2020-04-25,970.0,194.0,134.0,117.0,428.0,1021743.0,895.0,142.0
2020-04-26,1096.0,241.0,158.0,134.0,513.0,1020808.0,1111.0,216.0
2020-04-27,1285.0,279.0,211.0,157.0,595.0,1019679.0,1348.0,237.0
2020-04-28,1550.0,314.0,266.0,220.0,703.0,1018165.0,1585.0,237.0
2020-04-29,1877.0,392.0,324.0,231.0,862.0,1018354.0,1885.0,300.0
