time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970528.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,1.0,0.0,973546.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,979802.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,985776.0,0.0,0.0
2020-03-10,1.0,0.0,1.0,0.0,1.0,992365.0,0.0,0.0
2020-03-11,3.0,0.0,1.0,0.0,1.0,997021.0,0.0,0.0
2020-03-12,3.0,0.0,0.0,1.0,1.0,1000661.0,0.0,0.0
2020-03-13,1.0,1.0,1.0,0.0,1.0,1004207.0,2.0,2.0
2020-03-14,2.0,0.0,0.0,1.0,1.0,1006476.0,2.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,2.0,1007210.0,2.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,2.0,1008540.0,2.0,0.0
2020-03-17,2.0,0.0,0.0,1.0,2.0,1010972.0,2.0,0.0
2020-03-18,2.0,2.0,1.0,0.0,1.0,1011996.0,3.0,1.0
2020-03-19,2.0,1.0,2.0,0.0,2.0,1012772.0,3.0,0.0
2020-03-20,2.0,2.0,1.0,1.0,2.0,1013549.0,5.0,2.0
2020-03-21,3.0,2.0,2.0,0.0,5.0,1013467.0,7.0,2.0
2020-03-22,8.0,3.0,1.0,2.0,5.0,1014989.0,9.0,2.0
2020-03-23,14.0,5.0,3.0,1.0,8.0,1014314.0,12.0,3.0
2020-03-24,16.0,4.0,5.0,1.0,8.0,1015715.0,16.0,4.0
2020-03-25,18.0,3.0,4.0,4.0,13.0,1014932.0,16.0,0.0
2020-03-26,16.0,4.0,2.0,1.0,12.0,1015421.0,18.0,2.0
2020-03-27,17.0,6.0,5.0,2.0,7.0,1015132.0,25.0,7.0
2020-03-28,20.0,4.0,4.0,4.0,10.0,1014711.0,28.0,3.0
2020-03-29,17.0,1.0,4.0,4.0,14.0,1015615.0,30.0,2.0
2020-03-30,26.0,4.0,3.0,8.0,14.0,1016858.0,34.0,4.0
2020-03-31,29.0,7.0,4.0,4.0,15.0,1015596.0,41.0,7.0
2020-04-01,32.0,7.0,5.0,6.0,22.0,1015696.0,45.0,4.0
2020-04-02,49.0,4.0,7.0,4.0,25.0,1016791.0,50.0,5.0
2020-04-03,55.0,8.0,5.0,4.0,30.0,1016484.0,57.0,7.0
2020-04-04,53.0,14.0,6.0,4.0,25.0,1016859.0,69.0,12.0
2020-04-05,66.0,8.0,15.0,1.0,25.0,1016689.0,73.0,4.0
2020-04-06,62.0,15.0,4.0,8.0,32.0,1017305.0,84.0,11.0
2020-04-07,70.0,23.0,7.0,12.0,34.0,1018241.0,101.0,17.0
2020-04-08,83.0,24.0,15.0,11.0,47.0,1018915.0,115.0,14.0
2020-04-09,100.0,21.0,16.0,14.0,56.0,1019126.0,139.0,24.0
2020-04-10,121.0,22.0,24.0,13.0,73.0,1019768.0,158.0,19.0
2020-04-11,157.0,23.0,22.0,16.0,75.0,1019270.0,180.0,22.0
2020-04-12,176.0,30.0,31.0,21.0,91.0,1019098.0,210.0,30.0
2020-04-13,190.0,41.0,39.0,25.0,111.0,1018864.0,249.0,39.0
2020-04-14,251.0,56.0,40.0,30.0,134.0,1019897.0,289.0,40.0
2020-04-15,286.0,51.0,57.0,29.0,153.0,1020408.0,328.0,39.0
2020-04-16,343.0,58.0,54.0,48.0,171.0,1020983.0,375.0,47.0
2020-04-17,390.0,97.0,63.0,45.0,187.0,1019953.0,456.0,81.0
2020-04-18,461.0,100.0,64.0,64.0,233.0,1020266.0,533.0,77.0
2020-04-19,565.0,133.0,98.0,76.0,265.0,1017923.0,631.0,98.0
2020-04-20,678.0,140.0,134.0,87.0,336.0,1018514.0,750.0,119.0
2020-04-21,800.0,184.0,132.0,104.0,395.0,1018652.0,890.0,140.0
2020-04-22,972.0,209.0,156.0,132.0,485.0,1019823.0,1051.0,161.0
2020-04-23,1123.0,228.0,199.0,162.0,551.0,1018142.0,1256.0,205.0
2020-04-24,1304.0,263.0,225.0,179.0,663.0,1018090.0,1452.0,196.0
2020-04-25,1496.0,339.0,249.0,202.0,749.0,1017738.0,1732.0,280.0
2020-04-26,1775.0,378.0,305.0,257.0,879.0,1016698.0,2025.0,293.0
2020-04-27,2147.0,467.0,359.0,303.0,1078.0,1016171.0,2379.0,354.0
2020-04-28,2580.0,514.0,435.0,340.0,1257.0,1016806.0,2779.0,400.0
2020-04-29,3070.0,636.0,529.0,409.0,1501.0,1015675.0,3319.0,540.0
2020-04-30,3613.0,780.0,623.0,461.0,1803.0,1014886.0,3947.0,628.0
2020-05-01,4234.0,936.0,701.0,584.0,2117.0,1014701.0,4704.0,757.0
2020-05-02,5057.0,1054.0,889.0,656.0,2467.0,1012657.0,5527.0,823.0
2020-05-03,6043.0,1303.0,1030.0,761.0,2878.0,1009975.0,6570.0,1043.0
2020-05-04,7075.0,1534.0,1184.0,964.0,3492.0,1008388.0,7752.0,1182.0
2020-05-05,8320.0,1764.0,1416.0,1136.0,4081.0,1006106.0,9168.0,1416.0
2020-05-06,9936.0,2071.0,1706.0,1395.0,4798.0,1002420.0,10816.0,1648.0
2020-05-07,11694.0,2502.0,1891.0,1619.0,5841.0,1000986.0,12802.0,1986.0
2020-05-08,13771.0,2954.0,2329.0,1788.0,6891.0,996763.0,15115.0,2313.0
2020-05-09,16292.0,3521.0,2683.0,2225.0,8066.0,991858.0,17840.0,2725.0
2020-05-10,19072.0,4053.0,3303.0,2588.0,9679.0,984912.0,21016.0,3176.0
2020-05-11,22550.0,4954.0,3756.0,3096.0,11500.0,977531.0,24875.0,3859.0
2020-05-12,26624.0,5759.0,4509.0,3609.0,13598.0,969845.0,29294.0,4419.0
2020-05-13,31617.0,6789.0,5417.0,4206.0,16018.0,959693.0,34626.0,5332.0
2020-05-14,36511.0,8130.0,6387.0,4890.0,18899.0,949092.0,41002.0,6376.0
2020-05-15,42858.0,9393.0,7345.0,5891.0,22438.0,936498.0,48113.0,7111.0
2020-05-16,49796.0,10828.0,8797.0,7043.0,26311.0,922008.0,56669.0,8556.0
2020-05-17,57572.0,12675.0,10333.0,8226.0,30993.0,904869.0,66493.0,9824.0
2020-05-18,66435.0,14809.0,12118.0,9529.0,36598.0,885992.0,77895.0,11402.0
2020-05-19,76664.0,17159.0,13894.0,11024.0,43361.0,863154.0,91010.0,13115.0
2020-05-20,87547.0,19858.0,16190.0,12778.0,51062.0,838153.0,106208.0,15198.0
2020-05-21,99282.0,22604.0,18522.0,15020.0,59918.0,809510.0,123449.0,17241.0
2020-05-22,111756.0,25769.0,21081.0,17317.0,70516.0,777487.0,142934.0,19485.0
2020-05-23,125754.0,29138.0,24148.0,19845.0,82482.0,743279.0,164905.0,21971.0
2020-05-24,139554.0,32524.0,27445.0,23024.0,96167.0,707132.0,189347.0,24442.0
2020-05-25,153744.0,36240.0,30767.0,25881.0,111564.0,667534.0,216297.0,26950.0
2020-05-26,167463.0,40302.0,34142.0,28965.0,129526.0,625853.0,246334.0,30037.0
2020-05-27,179899.0,43398.0,38070.0,32249.0,148891.0,582494.0,278500.0,32166.0
2020-05-28,190677.0,47083.0,41058.0,35960.0,171011.0,538763.0,312803.0,34303.0
2020-05-29,200069.0,50489.0,44778.0,39074.0,195044.0,494944.0,349339.0,36536.0
