time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,3.0,3.0,0.0,0.0,0.0,969865.0,0.0,0.0
2020-03-07,3.0,0.0,2.0,1.0,0.0,971512.0,0.0,0.0
2020-03-08,2.0,1.0,3.0,0.0,1.0,978020.0,2.0,2.0
2020-03-09,3.0,2.0,1.0,2.0,0.0,985499.0,3.0,1.0
2020-03-10,5.0,1.0,1.0,2.0,1.0,991663.0,3.0,0.0
2020-03-11,4.0,3.0,0.0,1.0,3.0,996329.0,5.0,2.0
2020-03-12,5.0,1.0,1.0,1.0,5.0,999047.0,6.0,1.0
2020-03-13,5.0,2.0,0.0,0.0,6.0,1002446.0,9.0,3.0
2020-03-14,2.0,0.0,3.0,0.0,4.0,1005540.0,10.0,1.0
2020-03-15,4.0,0.0,1.0,0.0,4.0,1007323.0,10.0,0.0
2020-03-16,3.0,1.0,0.0,1.0,4.0,1008581.0,11.0,1.0
2020-03-17,3.0,0.0,1.0,2.0,7.0,1009621.0,12.0,1.0
2020-03-18,6.0,1.0,2.0,0.0,4.0,1010261.0,13.0,1.0
2020-03-19,4.0,0.0,3.0,0.0,4.0,1012227.0,13.0,0.0
2020-03-20,5.0,0.0,1.0,2.0,1.0,1013228.0,13.0,0.0
2020-03-21,6.0,2.0,2.0,2.0,4.0,1014078.0,15.0,2.0
2020-03-22,10.0,3.0,0.0,1.0,5.0,1015032.0,16.0,1.0
2020-03-23,11.0,3.0,1.0,2.0,7.0,1014375.0,18.0,2.0
2020-03-24,8.0,1.0,1.0,2.0,6.0,1014029.0,18.0,0.0
2020-03-25,7.0,0.0,0.0,0.0,6.0,1014402.0,18.0,0.0
2020-03-26,8.0,2.0,2.0,1.0,6.0,1013372.0,21.0,3.0
2020-03-27,12.0,3.0,2.0,3.0,4.0,1012861.0,23.0,2.0
2020-03-28,14.0,4.0,3.0,3.0,7.0,1013585.0,26.0,3.0
2020-03-29,20.0,5.0,3.0,3.0,8.0,1014968.0,30.0,4.0
2020-03-30,22.0,6.0,3.0,9.0,8.0,1015354.0,34.0,4.0
2020-03-31,30.0,7.0,7.0,2.0,20.0,1015223.0,43.0,9.0
2020-04-01,28.0,8.0,7.0,5.0,19.0,1015395.0,51.0,8.0
2020-04-02,36.0,8.0,7.0,5.0,18.0,1017280.0,59.0,8.0
2020-04-03,42.0,12.0,6.0,8.0,19.0,1017174.0,66.0,7.0
2020-04-04,53.0,7.0,10.0,9.0,20.0,1017816.0,73.0,7.0
2020-04-05,64.0,15.0,12.0,11.0,19.0,1017873.0,83.0,10.0
2020-04-06,91.0,10.0,15.0,15.0,27.0,1018323.0,91.0,8.0
2020-04-07,111.0,16.0,19.0,12.0,42.0,1019511.0,107.0,16.0
2020-04-08,128.0,22.0,17.0,13.0,40.0,1020143.0,129.0,22.0
2020-04-09,133.0,29.0,19.0,12.0,52.0,1019019.0,155.0,26.0
2020-04-10,148.0,33.0,35.0,16.0,70.0,1019736.0,185.0,30.0
2020-04-11,181.0,37.0,28.0,16.0,76.0,1020136.0,209.0,24.0
2020-04-12,201.0,50.0,36.0,23.0,90.0,1019085.0,249.0,40.0
2020-04-13,247.0,47.0,41.0,30.0,118.0,1017123.0,283.0,34.0
2020-04-14,288.0,59.0,42.0,38.0,134.0,1018667.0,329.0,46.0
2020-04-15,357.0,68.0,57.0,43.0,170.0,1018391.0,386.0,57.0
2020-04-16,409.0,77.0,65.0,57.0,204.0,1018436.0,442.0,56.0
2020-04-17,490.0,101.0,82.0,65.0,230.0,1018542.0,519.0,77.0
2020-04-18,590.0,133.0,90.0,96.0,266.0,1018107.0,630.0,111.0
2020-04-19,735.0,176.0,110.0,93.0,331.0,1018978.0,770.0,140.0
2020-04-20,867.0,196.0,146.0,125.0,385.0,1018508.0,911.0,141.0
2020-04-21,990.0,217.0,184.0,122.0,476.0,1018714.0,1072.0,161.0
2020-04-22,1177.0,241.0,212.0,165.0,556.0,1018535.0,1262.0,190.0
2020-04-23,1381.0,263.0,228.0,198.0,700.0,1017482.0,1474.0,212.0
2020-04-24,1567.0,351.0,271.0,213.0,796.0,1017477.0,1745.0,271.0
2020-04-25,1908.0,400.0,334.0,264.0,983.0,1017355.0,2047.0,302.0
2020-04-26,2292.0,532.0,382.0,317.0,1102.0,1017091.0,2461.0,414.0
2020-04-27,2812.0,596.0,454.0,387.0,1338.0,1017097.0,2913.0,452.0
2020-04-28,3306.0,721.0,555.0,401.0,1610.0,1016275.0,3445.0,532.0
2020-04-29,3953.0,817.0,652.0,494.0,1922.0,1014530.0,4113.0,668.0
2020-04-30,4629.0,1026.0,839.0,615.0,2274.0,1012938.0,4915.0,802.0
2020-05-01,5535.0,1175.0,922.0,778.0,2642.0,1011538.0,5809.0,894.0
2020-05-02,6460.0,1424.0,1079.0,885.0,3208.0,1010890.0,6935.0,1126.0
2020-05-03,7498.0,1713.0,1324.0,1023.0,3882.0,1008474.0,8273.0,1338.0
2020-05-04,9040.0,1951.0,1555.0,1229.0,4521.0,1005186.0,9793.0,1520.0
2020-05-05,10737.0,2368.0,1820.0,1421.0,5379.0,1001625.0,11606.0,1813.0
2020-05-06,12783.0,2847.0,2187.0,1712.0,6479.0,997789.0,13764.0,2158.0
2020-05-07,15043.0,3229.0,2651.0,1977.0,7577.0,994663.0,16271.0,2507.0
2020-05-08,17871.0,3775.0,3008.0,2369.0,8961.0,989290.0,19217.0,2946.0
2020-05-09,21088.0,4571.0,3684.0,2903.0,10639.0,983051.0,22834.0,3617.0
2020-05-10,24746.0,5359.0,4325.0,3356.0,12663.0,974026.0,27018.0,4184.0
2020-05-11,28631.0,6306.0,5122.0,3992.0,14824.0,963650.0,32049.0,5031.0
2020-05-12,33910.0,7282.0,5804.0,4803.0,17578.0,952807.0,37720.0,5671.0
2020-05-13,39406.0,8764.0,6849.0,5521.0,20741.0,941482.0,44535.0,6815.0
2020-05-14,45997.0,10132.0,8041.0,6535.0,24495.0,927838.0,52335.0,7800.0
2020-05-15,53666.0,11978.0,9470.0,7635.0,28981.0,913171.0,61594.0,9259.0
2020-05-16,62202.0,13748.0,11174.0,8835.0,34332.0,894878.0,72212.0,10618.0
2020-05-17,71401.0,16032.0,12970.0,10315.0,40281.0,874421.0,84612.0,12400.0
2020-05-18,82240.0,18530.0,14944.0,12205.0,47270.0,849996.0,98847.0,14235.0
2020-05-19,93636.0,21070.0,17201.0,14033.0,55537.0,823186.0,114812.0,15965.0
2020-05-20,105867.0,24144.0,19796.0,16132.0,65224.0,792865.0,133223.0,18411.0
2020-05-21,118621.0,27333.0,22553.0,18509.0,76035.0,760803.0,153946.0,20723.0
2020-05-22,132306.0,30796.0,25868.0,21244.0,88713.0,724456.0,177421.0,23475.0
2020-05-23,146868.0,34284.0,28834.0,24223.0,103332.0,686618.0,202944.0,25523.0
2020-05-24,160386.0,37977.0,32507.0,27232.0,119487.0,645960.0,231451.0,28507.0
2020-05-25,173339.0,41785.0,35889.0,30516.0,137599.0,604522.0,262332.0,30881.0
2020-05-26,185333.0,44928.0,39865.0,34065.0,158533.0,561344.0,295833.0,33501.0
2020-05-27,196500.0,48838.0,43197.0,37706.0,181407.0,517074.0,331564.0,35731.0
2020-05-28,205176.0,51480.0,46678.0,41259.0,206821.0,474189.0,368960.0,37396.0
2020-05-29,211392.0,54386.0,49374.0,44414.0,234627.0,431759.0,408074.0,39114.0
2020-05-30,214247.0,56371.0,52320.0,47099.0,263930.0,391860.0,448104.0,40030.0
2020-05-31,214984.0,57441.0,54231.0,50378.0,295081.0,354068.0,488280.0,40176.0
2020-06-01,212752.0,57680.0,55624.0,52415.0,327783.0,318290.0,528456.0,40176.0
2020-06-02,207894.0,57637.0,56524.0,53859.0,362603.0,285940.0,567956.0,39500.0
2020-06-03,201621.0,56858.0,56771.0,54938.0,397429.0,256519.0,606470.0,38514.0
2020-06-04,193752.0,55291.0,56164.0,55939.0,432473.0,230055.0,643829.0,37359.0
2020-06-05,183957.0,53513.0,55387.0,55648.0,469188.0,207182.0,679649.0,35820.0
2020-06-06,173225.0,51308.0,53662.0,55185.0,504633.0,187547.0,713414.0,33765.0
2020-06-07,162311.0,48616.0,52158.0,53776.0,540416.0,170367.0,745244.0,31830.0
2020-06-08,150327.0,45460.0,49455.0,52385.0,573977.0,154878.0,774712.0,29468.0
2020-06-09,138493.0,42468.0,47121.0,49918.0,607749.0,141493.0,802097.0,27385.0
2020-06-10,126989.0,39384.0,43524.0,47432.0,638504.0,130677.0,827010.0,24913.0
2020-06-11,115768.0,36677.0,40460.0,44702.0,668592.0,121216.0,850114.0,23104.0
2020-06-12,105062.0,33774.0,37855.0,41962.0,695977.0,112363.0,871393.0,21279.0
2020-06-13,95387.0,30759.0,35044.0,39256.0,720705.0,105082.0,890559.0,19166.0
2020-06-14,85549.0,27977.0,32169.0,36059.0,744829.0,98774.0,907801.0,17242.0
2020-06-15,77145.0,25093.0,29186.0,33797.0,768633.0,93914.0,923334.0,15533.0
2020-06-16,69497.0,22628.0,26537.0,30939.0,790006.0,88991.0,937324.0,13990.0
2020-06-17,62389.0,20553.0,24180.0,28108.0,809199.0,85076.0,950083.0,12759.0
2020-06-18,55680.0,18332.0,21708.0,25783.0,826047.0,81927.0,961339.0,11256.0
2020-06-19,49745.0,16297.0,19567.0,23419.0,841368.0,78447.0,971228.0,9889.0
2020-06-20,44393.0,14522.0,17479.0,21193.0,854702.0,76269.0,980179.0,8951.0
