time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969685.0,0.0,0.0
2020-03-07,1.0,1.0,1.0,0.0,0.0,973047.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,1.0,0.0,979762.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,0.0,987466.0,0.0,0.0
2020-03-10,0.0,0.0,1.0,0.0,0.0,991900.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997469.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1001513.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,2.0,1005173.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,1.0,2.0,1007719.0,1.0,1.0
2020-03-15,0.0,0.0,0.0,0.0,2.0,1008584.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1008943.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1009357.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,0.0,1010413.0,1.0,0.0
2020-03-19,0.0,0.0,1.0,0.0,0.0,1011119.0,2.0,1.0
2020-03-20,1.0,0.0,0.0,2.0,0.0,1013038.0,2.0,0.0
2020-03-21,2.0,0.0,0.0,2.0,0.0,1013362.0,2.0,0.0
2020-03-22,5.0,0.0,0.0,0.0,2.0,1013017.0,2.0,0.0
2020-03-23,3.0,1.0,0.0,0.0,3.0,1013043.0,3.0,1.0
2020-03-24,5.0,1.0,0.0,0.0,3.0,1013924.0,4.0,1.0
2020-03-25,7.0,2.0,0.0,0.0,2.0,1015028.0,6.0,2.0
2020-03-26,11.0,2.0,3.0,0.0,2.0,1016086.0,10.0,4.0
2020-03-27,10.0,0.0,3.0,1.0,3.0,1017041.0,12.0,2.0
2020-03-28,10.0,2.0,0.0,4.0,3.0,1017317.0,14.0,2.0
2020-03-29,11.0,2.0,1.0,1.0,5.0,1016601.0,17.0,3.0
2020-03-30,20.0,1.0,3.0,1.0,6.0,1016953.0,17.0,0.0
2020-03-31,16.0,7.0,3.0,2.0,6.0,1016069.0,24.0,7.0
2020-04-01,23.0,4.0,8.0,8.0,9.0,1016108.0,32.0,8.0
2020-04-02,31.0,3.0,9.0,3.0,12.0,1016951.0,36.0,4.0
2020-04-03,40.0,4.0,7.0,4.0,13.0,1017826.0,39.0,3.0
2020-04-04,39.0,10.0,8.0,4.0,18.0,1019004.0,47.0,8.0
2020-04-05,39.0,12.0,11.0,4.0,19.0,1018628.0,55.0,8.0
2020-04-06,51.0,15.0,9.0,6.0,23.0,1017499.0,66.0,11.0
2020-04-07,72.0,18.0,13.0,13.0,29.0,1018516.0,75.0,9.0
2020-04-08,87.0,18.0,17.0,9.0,39.0,1020040.0,89.0,14.0
2020-04-09,111.0,20.0,15.0,17.0,47.0,1019749.0,99.0,10.0
2020-04-10,117.0,27.0,20.0,12.0,57.0,1019680.0,117.0,18.0
2020-04-11,125.0,39.0,22.0,15.0,59.0,1018567.0,144.0,27.0
2020-04-12,163.0,44.0,31.0,20.0,61.0,1018015.0,171.0,27.0
2020-04-13,211.0,39.0,35.0,24.0,78.0,1018937.0,202.0,31.0
2020-04-14,232.0,56.0,38.0,31.0,114.0,1017809.0,246.0,44.0
2020-04-15,296.0,45.0,50.0,36.0,131.0,1017900.0,283.0,37.0
2020-04-16,352.0,69.0,55.0,46.0,160.0,1017348.0,343.0,60.0
2020-04-17,402.0,79.0,71.0,54.0,201.0,1018728.0,411.0,68.0
2020-04-18,489.0,102.0,84.0,63.0,243.0,1018271.0,489.0,78.0
2020-04-19,621.0,121.0,90.0,84.0,272.0,1018172.0,583.0,94.0
2020-04-20,705.0,155.0,98.0,92.0,309.0,1018429.0,698.0,115.0
2020-04-21,789.0,168.0,139.0,113.0,371.0,1019547.0,836.0,138.0
2020-04-22,933.0,204.0,151.0,120.0,439.0,1019741.0,995.0,159.0
2020-04-23,1075.0,250.0,193.0,156.0,520.0,1019051.0,1206.0,211.0
2020-04-24,1320.0,280.0,195.0,206.0,624.0,1018427.0,1406.0,200.0
2020-04-25,1593.0,359.0,250.0,209.0,772.0,1018356.0,1676.0,270.0
2020-04-26,1979.0,425.0,311.0,253.0,913.0,1019109.0,1982.0,306.0
2020-04-27,2327.0,469.0,381.0,308.0,1063.0,1018833.0,2365.0,383.0
2020-04-28,2582.0,599.0,442.0,314.0,1311.0,1016978.0,2843.0,478.0
2020-04-29,3058.0,644.0,533.0,419.0,1541.0,1015959.0,3304.0,461.0
2020-04-30,3722.0,785.0,631.0,473.0,1791.0,1014670.0,3878.0,574.0
2020-05-01,4390.0,961.0,704.0,605.0,2081.0,1013510.0,4622.0,744.0
2020-05-02,5191.0,1114.0,892.0,706.0,2537.0,1011850.0,5503.0,881.0
2020-05-03,6195.0,1339.0,1080.0,833.0,2962.0,1011285.0,6538.0,1035.0
2020-05-04,7402.0,1607.0,1238.0,977.0,3611.0,1009355.0,7762.0,1224.0
2020-05-05,8681.0,1860.0,1483.0,1153.0,4193.0,1005905.0,9258.0,1496.0
2020-05-06,10252.0,2213.0,1803.0,1368.0,5033.0,1003682.0,11042.0,1784.0
2020-05-07,12171.0,2677.0,2083.0,1640.0,5952.0,999794.0,13065.0,2023.0
2020-05-08,14272.0,3113.0,2449.0,1954.0,7058.0,995759.0,15498.0,2433.0
2020-05-09,16813.0,3697.0,2913.0,2261.0,8456.0,990078.0,18430.0,2932.0
2020-05-10,19848.0,4343.0,3492.0,2630.0,10003.0,983636.0,21775.0,3345.0
2020-05-11,23344.0,5043.0,4092.0,3089.0,11876.0,976696.0,25677.0,3902.0
2020-05-12,27505.0,5982.0,4702.0,3757.0,14144.0,968228.0,30390.0,4713.0
2020-05-13,32154.0,6999.0,5691.0,4396.0,16669.0,957717.0,35811.0,5421.0
2020-05-14,37728.0,8210.0,6628.0,5294.0,19692.0,945090.0,42155.0,6344.0
2020-05-15,43995.0,9612.0,7735.0,6046.0,23219.0,933125.0,49534.0,7379.0
2020-05-16,51025.0,11304.0,9147.0,7225.0,27468.0,918120.0,58490.0,8956.0
2020-05-17,59524.0,13080.0,10564.0,8421.0,32474.0,899557.0,68665.0,10175.0
2020-05-18,68544.0,15257.0,12221.0,9830.0,38178.0,879995.0,80324.0,11659.0
2020-05-19,78571.0,17790.0,14201.0,11382.0,44791.0,857827.0,93904.0,13580.0
2020-05-20,90030.0,20275.0,16414.0,13346.0,52957.0,831280.0,109336.0,15432.0
2020-05-21,101949.0,23211.0,18795.0,15282.0,62164.0,803815.0,126912.0,17576.0
2020-05-22,115006.0,26204.0,21659.0,17513.0,72741.0,771302.0,146857.0,19945.0
2020-05-23,127918.0,29992.0,24452.0,20144.0,84956.0,737122.0,169398.0,22541.0
2020-05-24,141901.0,33391.0,27743.0,23275.0,98680.0,701052.0,194438.0,25040.0
2020-05-25,155569.0,37016.0,31131.0,26415.0,114327.0,661342.0,221997.0,27559.0
2020-05-26,169409.0,40631.0,34702.0,29672.0,132366.0,619355.0,252080.0,30083.0
