time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,969483.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,0.0,0.0,971711.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,0.0,0.0,978632.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,987726.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,992520.0,0.0,0.0
2020-03-11,4.0,0.0,2.0,1.0,0.0,996315.0,1.0,1.0
2020-03-12,2.0,0.0,0.0,2.0,1.0,999803.0,1.0,0.0
2020-03-13,0.0,0.0,0.0,1.0,1.0,1001334.0,2.0,1.0
2020-03-14,0.0,0.0,1.0,0.0,1.0,1004754.0,2.0,0.0
2020-03-15,3.0,0.0,0.0,0.0,1.0,1006173.0,2.0,0.0
2020-03-16,3.0,0.0,1.0,1.0,2.0,1009406.0,2.0,0.0
2020-03-17,4.0,1.0,0.0,2.0,5.0,1010870.0,3.0,1.0
2020-03-18,7.0,1.0,0.0,0.0,6.0,1012414.0,4.0,1.0
2020-03-19,7.0,2.0,0.0,0.0,4.0,1011455.0,6.0,2.0
2020-03-20,8.0,3.0,0.0,0.0,4.0,1011536.0,8.0,2.0
2020-03-21,7.0,1.0,1.0,0.0,3.0,1012492.0,8.0,0.0
2020-03-22,7.0,5.0,1.0,1.0,4.0,1012470.0,13.0,5.0
2020-03-23,12.0,1.0,3.0,0.0,4.0,1013150.0,13.0,0.0
2020-03-24,14.0,3.0,1.0,0.0,5.0,1013055.0,15.0,2.0
2020-03-25,13.0,0.0,2.0,2.0,4.0,1013890.0,16.0,1.0
2020-03-26,19.0,4.0,3.0,1.0,7.0,1015551.0,20.0,4.0
2020-03-27,14.0,5.0,5.0,2.0,7.0,1014447.0,28.0,8.0
2020-03-28,17.0,3.0,4.0,3.0,8.0,1014895.0,29.0,1.0
2020-03-29,24.0,6.0,3.0,6.0,8.0,1015656.0,34.0,5.0
