time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,1.0,2.0,0.0,0.0,969832.0,0.0,0.0
2020-03-07,1.0,0.0,1.0,1.0,0.0,971268.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,1.0,979007.0,1.0,1.0
2020-03-09,1.0,0.0,0.0,0.0,2.0,986139.0,1.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,2.0,991186.0,1.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,1.0,995947.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,1.0,999855.0,2.0,1.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1004715.0,2.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1006208.0,2.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,1.0,1007937.0,2.0,0.0
2020-03-16,2.0,1.0,0.0,0.0,1.0,1009042.0,3.0,1.0
2020-03-17,2.0,0.0,1.0,0.0,1.0,1010407.0,3.0,0.0
2020-03-18,2.0,0.0,1.0,0.0,0.0,1011319.0,3.0,0.0
2020-03-19,4.0,0.0,1.0,0.0,1.0,1013340.0,3.0,0.0
2020-03-20,4.0,0.0,0.0,1.0,2.0,1013584.0,3.0,0.0
2020-03-21,3.0,0.0,0.0,1.0,3.0,1011726.0,3.0,0.0
2020-03-22,4.0,2.0,0.0,2.0,4.0,1012142.0,5.0,2.0
2020-03-23,4.0,0.0,1.0,1.0,2.0,1011922.0,5.0,0.0
2020-03-24,6.0,1.0,1.0,2.0,1.0,1013608.0,6.0,1.0
2020-03-25,6.0,1.0,2.0,2.0,1.0,1014159.0,8.0,2.0
2020-03-26,11.0,2.0,1.0,2.0,3.0,1015200.0,9.0,1.0
2020-03-27,5.0,4.0,1.0,1.0,4.0,1014389.0,12.0,3.0
2020-03-28,7.0,3.0,2.0,3.0,3.0,1015152.0,14.0,2.0
2020-03-29,13.0,2.0,5.0,2.0,3.0,1013908.0,15.0,1.0
2020-03-30,14.0,2.0,1.0,3.0,6.0,1014944.0,16.0,1.0
2020-03-31,12.0,5.0,2.0,1.0,7.0,1015775.0,20.0,4.0
2020-04-01,16.0,3.0,2.0,3.0,10.0,1016435.0,22.0,2.0
2020-04-02,22.0,7.0,1.0,2.0,11.0,1018273.0,26.0,4.0
2020-04-03,25.0,9.0,4.0,1.0,16.0,1017487.0,29.0,3.0
2020-04-04,44.0,2.0,4.0,2.0,14.0,1017650.0,32.0,3.0
2020-04-05,43.0,8.0,4.0,1.0,18.0,1017680.0,40.0,8.0
2020-04-06,47.0,8.0,7.0,5.0,23.0,1016729.0,47.0,7.0
2020-04-07,49.0,11.0,7.0,6.0,28.0,1016930.0,55.0,8.0
2020-04-08,54.0,13.0,8.0,4.0,32.0,1017689.0,63.0,8.0
2020-04-09,60.0,15.0,9.0,8.0,33.0,1018370.0,74.0,11.0
2020-04-10,68.0,14.0,10.0,14.0,32.0,1018536.0,89.0,15.0
2020-04-11,87.0,21.0,10.0,14.0,40.0,1017293.0,108.0,19.0
2020-04-12,100.0,21.0,15.0,12.0,51.0,1017018.0,120.0,12.0
2020-04-13,113.0,26.0,23.0,14.0,49.0,1016174.0,146.0,26.0
2020-04-14,126.0,26.0,22.0,16.0,56.0,1018379.0,164.0,18.0
2020-04-15,143.0,21.0,25.0,24.0,81.0,1019554.0,182.0,18.0
2020-04-16,182.0,32.0,27.0,25.0,88.0,1019028.0,207.0,25.0
2020-04-17,227.0,42.0,32.0,24.0,88.0,1019241.0,234.0,27.0
2020-04-18,259.0,52.0,43.0,31.0,113.0,1019334.0,278.0,44.0
2020-04-19,298.0,63.0,49.0,46.0,139.0,1018951.0,328.0,50.0
2020-04-20,331.0,84.0,65.0,46.0,174.0,1018791.0,397.0,69.0
2020-04-21,388.0,79.0,73.0,56.0,199.0,1018992.0,460.0,63.0
2020-04-22,514.0,89.0,91.0,68.0,231.0,1019307.0,532.0,72.0
2020-04-23,597.0,117.0,99.0,86.0,270.0,1020453.0,637.0,105.0
2020-04-24,725.0,130.0,115.0,100.0,353.0,1021236.0,746.0,109.0
2020-04-25,885.0,180.0,156.0,111.0,420.0,1021626.0,895.0,149.0
2020-04-26,1047.0,227.0,165.0,142.0,486.0,1019583.0,1073.0,178.0
