time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,3.0,0.0,0.0,0.0,970393.0,0.0,0.0
2020-03-07,4.0,2.0,1.0,0.0,0.0,972217.0,0.0,0.0
2020-03-08,3.0,3.0,0.0,1.0,0.0,978853.0,1.0,1.0
2020-03-09,2.0,1.0,3.0,0.0,1.0,986735.0,2.0,1.0
2020-03-10,5.0,1.0,1.0,1.0,0.0,992778.0,2.0,0.0
2020-03-11,8.0,1.0,0.0,1.0,0.0,997407.0,2.0,0.0
2020-03-12,7.0,0.0,0.0,1.0,1.0,1001923.0,2.0,0.0
2020-03-13,5.0,0.0,0.0,0.0,2.0,1004145.0,2.0,0.0
2020-03-14,3.0,1.0,0.0,0.0,1.0,1005928.0,3.0,1.0
2020-03-15,4.0,1.0,0.0,0.0,0.0,1007554.0,3.0,0.0
2020-03-16,6.0,1.0,1.0,0.0,0.0,1008510.0,3.0,0.0
2020-03-17,6.0,1.0,1.0,1.0,1.0,1009163.0,4.0,1.0
2020-03-18,6.0,0.0,1.0,0.0,2.0,1009399.0,4.0,0.0
2020-03-19,4.0,1.0,1.0,0.0,2.0,1009863.0,4.0,0.0
2020-03-20,6.0,1.0,0.0,1.0,3.0,1010935.0,4.0,0.0
2020-03-21,8.0,2.0,0.0,1.0,1.0,1011864.0,5.0,1.0
2020-03-22,9.0,1.0,2.0,2.0,2.0,1012115.0,6.0,1.0
2020-03-23,11.0,3.0,4.0,0.0,2.0,1012132.0,9.0,3.0
2020-03-24,10.0,2.0,3.0,1.0,3.0,1012976.0,11.0,2.0
2020-03-25,14.0,3.0,2.0,3.0,3.0,1013811.0,12.0,1.0
2020-03-26,12.0,3.0,5.0,2.0,6.0,1012623.0,15.0,3.0
2020-03-27,11.0,4.0,2.0,1.0,13.0,1014054.0,19.0,4.0
2020-03-28,12.0,3.0,4.0,3.0,11.0,1014461.0,22.0,3.0
2020-03-29,15.0,5.0,4.0,2.0,12.0,1013693.0,25.0,3.0
2020-03-30,21.0,6.0,5.0,2.0,14.0,1013932.0,30.0,5.0
2020-03-31,20.0,4.0,3.0,4.0,16.0,1015716.0,31.0,1.0
2020-04-01,31.0,5.0,6.0,4.0,16.0,1016560.0,36.0,5.0
2020-04-02,31.0,8.0,4.0,6.0,24.0,1016613.0,43.0,7.0
2020-04-03,40.0,4.0,9.0,7.0,28.0,1017424.0,49.0,6.0
2020-04-04,44.0,6.0,2.0,6.0,26.0,1018856.0,55.0,6.0
2020-04-05,45.0,14.0,9.0,5.0,27.0,1018077.0,69.0,14.0
2020-04-06,61.0,18.0,10.0,9.0,32.0,1017779.0,80.0,11.0
2020-04-07,82.0,16.0,14.0,11.0,44.0,1016873.0,91.0,11.0
2020-04-08,86.0,18.0,16.0,13.0,47.0,1015808.0,108.0,17.0
2020-04-09,113.0,18.0,15.0,14.0,55.0,1015535.0,122.0,14.0
2020-04-10,118.0,19.0,18.0,22.0,60.0,1016223.0,144.0,22.0
2020-04-11,129.0,31.0,16.0,22.0,80.0,1016249.0,173.0,29.0
2020-04-12,148.0,53.0,26.0,16.0,93.0,1017793.0,214.0,41.0
2020-04-13,194.0,46.0,35.0,27.0,101.0,1019006.0,246.0,32.0
2020-04-14,248.0,45.0,44.0,31.0,126.0,1018980.0,281.0,35.0
2020-04-15,276.0,53.0,58.0,28.0,161.0,1018596.0,332.0,51.0
2020-04-16,308.0,73.0,53.0,40.0,189.0,1018316.0,384.0,52.0
2020-04-17,368.0,92.0,61.0,58.0,221.0,1017989.0,440.0,56.0
2020-04-18,436.0,100.0,76.0,73.0,267.0,1017123.0,513.0,73.0
2020-04-19,526.0,105.0,87.0,66.0,325.0,1017474.0,593.0,80.0
2020-04-20,632.0,141.0,117.0,72.0,358.0,1018003.0,695.0,102.0
2020-04-21,723.0,163.0,128.0,107.0,388.0,1018537.0,810.0,115.0
2020-04-22,855.0,194.0,153.0,122.0,466.0,1018470.0,960.0,150.0
2020-04-23,979.0,218.0,184.0,121.0,545.0,1017896.0,1138.0,178.0
2020-04-24,1134.0,238.0,204.0,143.0,661.0,1018575.0,1321.0,183.0
2020-04-25,1308.0,284.0,237.0,197.0,780.0,1017372.0,1561.0,240.0
2020-04-26,1520.0,335.0,263.0,226.0,923.0,1017828.0,1806.0,245.0
2020-04-27,1767.0,417.0,309.0,262.0,1065.0,1017800.0,2131.0,325.0
2020-04-28,2064.0,429.0,362.0,277.0,1222.0,1016858.0,2460.0,329.0
2020-04-29,2422.0,512.0,418.0,307.0,1388.0,1015530.0,2848.0,388.0
2020-04-30,2776.0,608.0,495.0,384.0,1623.0,1014276.0,3330.0,482.0
2020-05-01,3281.0,716.0,588.0,471.0,1887.0,1013520.0,3900.0,570.0
2020-05-02,3800.0,862.0,676.0,536.0,2238.0,1012666.0,4565.0,665.0
2020-05-03,4414.0,981.0,823.0,632.0,2617.0,1011574.0,5336.0,771.0
2020-05-04,5261.0,1136.0,938.0,729.0,3122.0,1009824.0,6214.0,878.0
2020-05-05,6207.0,1343.0,1139.0,860.0,3682.0,1008126.0,7236.0,1022.0
2020-05-06,7138.0,1602.0,1279.0,1026.0,4273.0,1006591.0,8445.0,1209.0
2020-05-07,8307.0,1819.0,1506.0,1169.0,5008.0,1003331.0,9865.0,1420.0
2020-05-08,9944.0,2044.0,1788.0,1460.0,5720.0,1002146.0,11416.0,1551.0
2020-05-09,11357.0,2543.0,1970.0,1620.0,6713.0,999214.0,13404.0,1988.0
2020-05-10,13005.0,2789.0,2376.0,1851.0,7684.0,995481.0,15545.0,2141.0
2020-05-11,15042.0,3401.0,2592.0,2180.0,8883.0,991357.0,18185.0,2640.0
2020-05-12,17602.0,3932.0,3114.0,2410.0,10474.0,987231.0,21081.0,2896.0
2020-05-13,20464.0,4501.0,3647.0,2926.0,12312.0,981074.0,24551.0,3470.0
2020-05-14,23865.0,5134.0,4329.0,3448.0,14331.0,974210.0,28528.0,3977.0
2020-05-15,27782.0,5986.0,4996.0,4103.0,16642.0,965498.0,33190.0,4662.0
2020-05-16,32049.0,6916.0,5830.0,4686.0,19505.0,956550.0,38609.0,5419.0
2020-05-17,36804.0,8068.0,6614.0,5416.0,22859.0,943861.0,44842.0,6233.0
2020-05-18,42303.0,9468.0,7632.0,6222.0,26406.0,932349.0,52177.0,7335.0
2020-05-19,48221.0,10952.0,8930.0,7132.0,30770.0,917772.0,60667.0,8490.0
2020-05-20,55203.0,12535.0,10253.0,8399.0,35502.0,901703.0,70222.0,9555.0
2020-05-21,62941.0,14297.0,11830.0,9703.0,41128.0,883545.0,81052.0,10830.0
2020-05-22,71421.0,16253.0,13333.0,11086.0,47705.0,864052.0,93229.0,12177.0
2020-05-23,80434.0,18453.0,15242.0,12678.0,55162.0,843186.0,107514.0,14285.0
2020-05-24,90219.0,21029.0,17453.0,14568.0,63728.0,818876.0,123445.0,15931.0
2020-05-25,100690.0,23404.0,19719.0,16335.0,73671.0,792059.0,141131.0,17686.0
2020-05-26,112412.0,26205.0,21864.0,18692.0,84754.0,761955.0,160809.0,19678.0
2020-05-27,122644.0,28973.0,24716.0,20834.0,97331.0,731486.0,182542.0,21733.0
2020-05-28,134949.0,31936.0,27486.0,23537.0,111391.0,696757.0,206473.0,23931.0
2020-05-29,146282.0,35352.0,30297.0,26003.0,127435.0,660464.0,232421.0,25948.0
2020-05-30,157210.0,38128.0,33311.0,28749.0,144954.0,623323.0,260386.0,27965.0
2020-05-31,166903.0,41310.0,36260.0,31753.0,164323.0,584899.0,290698.0,30312.0
2020-06-01,175058.0,43799.0,39277.0,34740.0,185556.0,546883.0,322476.0,31778.0
2020-06-02,182918.0,46268.0,41798.0,37913.0,208246.0,508726.0,355769.0,33293.0
2020-06-03,188690.0,48220.0,44414.0,40142.0,232798.0,470540.0,390258.0,34489.0
2020-06-04,192483.0,50369.0,46423.0,42678.0,259059.0,434835.0,425827.0,35569.0
2020-06-05,194270.0,51195.0,48735.0,44717.0,287729.0,398790.0,461872.0,36045.0
2020-06-06,193598.0,52044.0,50124.0,47090.0,317489.0,365833.0,498128.0,36256.0
2020-06-07,191419.0,52443.0,50676.0,48680.0,347286.0,334742.0,534238.0,36110.0
2020-06-08,187055.0,51845.0,51579.0,49794.0,379451.0,306423.0,569920.0,35682.0
2020-06-09,180911.0,51356.0,50996.0,50268.0,412271.0,280584.0,604955.0,35035.0
2020-06-10,173735.0,49601.0,50517.0,50845.0,445006.0,257217.0,638302.0,33347.0
2020-06-11,165858.0,47995.0,49460.0,50548.0,477905.0,235479.0,670357.0,32055.0
2020-06-12,157306.0,46103.0,48263.0,49806.0,509157.0,216222.0,700890.0,30533.0
2020-06-13,147231.0,44396.0,46454.0,48695.0,540730.0,199837.0,729994.0,29104.0
2020-06-14,138083.0,41766.0,44929.0,47199.0,572021.0,185165.0,757192.0,27198.0
2020-06-15,128645.0,39026.0,42735.0,45417.0,600319.0,172266.0,782294.0,25102.0
2020-06-16,118873.0,36536.0,40198.0,43516.0,628466.0,160167.0,805838.0,23544.0
2020-06-17,109490.0,34107.0,37736.0,41250.0,654876.0,150258.0,827476.0,21638.0
2020-06-18,100349.0,31413.0,35253.0,38783.0,678678.0,141902.0,847387.0,19911.0
2020-06-19,92055.0,28765.0,32937.0,36382.0,704156.0,133972.0,865667.0,18280.0
2020-06-20,83402.0,26521.0,30134.0,34137.0,725329.0,126954.0,882598.0,16931.0
2020-06-21,76209.0,24304.0,27613.0,31524.0,745876.0,121052.0,897707.0,15109.0
2020-06-22,68944.0,22319.0,25598.0,28916.0,765043.0,115488.0,911721.0,14014.0
2020-06-23,62455.0,20404.0,23478.0,26895.0,782213.0,110828.0,924391.0,12670.0
2020-06-24,56598.0,18479.0,21244.0,24698.0,799496.0,107314.0,935680.0,11289.0
2020-06-25,51066.0,16584.0,19428.0,22562.0,814023.0,103912.0,945774.0,10094.0
2020-06-26,45834.0,14900.0,17615.0,20702.0,827155.0,100521.0,954925.0,9151.0
2020-06-27,41244.0,13449.0,16014.0,18612.0,840437.0,97864.0,963246.0,8321.0
2020-06-28,36996.0,12159.0,14544.0,16819.0,852455.0,95175.0,970744.0,7498.0
2020-06-29,33206.0,11188.0,13012.0,15218.0,862098.0,93258.0,977608.0,6864.0
2020-06-30,29747.0,9906.0,11828.0,13730.0,870344.0,91551.0,983577.0,5969.0
2020-07-01,26705.0,8860.0,10738.0,12569.0,878798.0,90413.0,988991.0,5414.0
2020-07-02,23799.0,7817.0,9625.0,11429.0,887152.0,88776.0,993769.0,4778.0
2020-07-03,21410.0,6913.0,8567.0,10222.0,894278.0,87599.0,998087.0,4318.0
2020-07-04,19020.0,6218.0,7620.0,9176.0,899532.0,86611.0,1001815.0,3728.0
2020-07-05,17033.0,5783.0,6786.0,8227.0,905532.0,86102.0,1005275.0,3460.0
2020-07-06,15351.0,5177.0,6184.0,7295.0,909976.0,84820.0,1008311.0,3036.0
