time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970326.0,0.0,0.0
2020-03-07,3.0,1.0,1.0,0.0,0.0,972592.0,0.0,0.0
2020-03-08,6.0,0.0,0.0,0.0,0.0,980406.0,0.0,0.0
2020-03-09,4.0,0.0,0.0,0.0,0.0,986788.0,0.0,0.0
2020-03-10,1.0,2.0,1.0,0.0,0.0,993230.0,3.0,3.0
2020-03-11,1.0,0.0,1.0,1.0,0.0,998416.0,3.0,0.0
2020-03-12,2.0,0.0,1.0,0.0,1.0,1001977.0,3.0,0.0
2020-03-13,3.0,0.0,1.0,0.0,0.0,1003749.0,3.0,0.0
2020-03-14,2.0,0.0,1.0,1.0,1.0,1004975.0,5.0,2.0
2020-03-15,2.0,0.0,1.0,0.0,1.0,1006538.0,5.0,0.0
2020-03-16,1.0,0.0,0.0,1.0,1.0,1008464.0,5.0,0.0
2020-03-17,2.0,0.0,0.0,1.0,2.0,1009773.0,5.0,0.0
2020-03-18,3.0,0.0,0.0,0.0,4.0,1010626.0,5.0,0.0
2020-03-19,2.0,0.0,1.0,1.0,4.0,1011638.0,6.0,1.0
2020-03-20,3.0,0.0,1.0,0.0,3.0,1011279.0,6.0,0.0
2020-03-21,2.0,1.0,0.0,1.0,2.0,1011617.0,7.0,1.0
2020-03-22,1.0,1.0,0.0,0.0,5.0,1012060.0,8.0,1.0
2020-03-23,3.0,1.0,0.0,1.0,4.0,1013289.0,8.0,0.0
2020-03-24,5.0,1.0,1.0,1.0,3.0,1012157.0,8.0,0.0
2020-03-25,6.0,4.0,0.0,1.0,5.0,1012653.0,10.0,2.0
2020-03-26,10.0,3.0,0.0,2.0,4.0,1013255.0,11.0,1.0
2020-03-27,9.0,3.0,3.0,1.0,1.0,1013686.0,14.0,3.0
2020-03-28,9.0,0.0,5.0,2.0,5.0,1014548.0,15.0,1.0
2020-03-29,11.0,2.0,6.0,4.0,6.0,1014770.0,17.0,2.0
2020-03-30,14.0,4.0,4.0,5.0,8.0,1013720.0,20.0,3.0
2020-03-31,21.0,7.0,3.0,4.0,13.0,1012681.0,23.0,3.0
2020-04-01,21.0,7.0,5.0,3.0,13.0,1012323.0,29.0,6.0
2020-04-02,34.0,6.0,3.0,5.0,19.0,1014050.0,36.0,7.0
2020-04-03,32.0,11.0,2.0,3.0,20.0,1014701.0,42.0,6.0
2020-04-04,35.0,7.0,8.0,5.0,22.0,1015164.0,49.0,7.0
2020-04-05,49.0,10.0,10.0,2.0,28.0,1015202.0,56.0,7.0
2020-04-06,61.0,9.0,9.0,7.0,32.0,1016841.0,60.0,4.0
2020-04-07,67.0,10.0,7.0,7.0,48.0,1016447.0,69.0,9.0
2020-04-08,84.0,11.0,10.0,8.0,44.0,1017043.0,81.0,12.0
2020-04-09,79.0,15.0,15.0,11.0,55.0,1018015.0,97.0,16.0
2020-04-10,107.0,18.0,18.0,14.0,65.0,1016952.0,111.0,14.0
2020-04-11,122.0,25.0,23.0,18.0,72.0,1017244.0,134.0,23.0
2020-04-12,153.0,26.0,25.0,21.0,83.0,1017583.0,158.0,24.0
2020-04-13,159.0,37.0,31.0,20.0,87.0,1018771.0,183.0,25.0
2020-04-14,176.0,54.0,38.0,26.0,111.0,1018990.0,216.0,33.0
2020-04-15,230.0,44.0,47.0,35.0,139.0,1018077.0,247.0,31.0
2020-04-16,259.0,58.0,49.0,40.0,153.0,1017295.0,292.0,45.0
2020-04-17,323.0,64.0,48.0,48.0,177.0,1018035.0,337.0,45.0
2020-04-18,362.0,65.0,73.0,51.0,229.0,1018200.0,395.0,58.0
2020-04-19,480.0,84.0,88.0,60.0,272.0,1017666.0,463.0,68.0
2020-04-20,521.0,102.0,85.0,70.0,314.0,1018334.0,539.0,76.0
2020-04-21,600.0,113.0,122.0,70.0,344.0,1017748.0,625.0,86.0
2020-04-22,671.0,153.0,111.0,89.0,419.0,1018336.0,755.0,130.0
