time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970044.0,0.0,0.0
2020-03-07,3.0,0.0,1.0,0.0,1.0,972400.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,1.0,1.0,978709.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,1.0,986475.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,1.0,991908.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,1.0,995925.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999999.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1004157.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1005543.0,0.0,0.0
2020-03-15,0.0,0.0,1.0,0.0,0.0,1006238.0,0.0,0.0
2020-03-16,2.0,0.0,1.0,0.0,0.0,1007677.0,0.0,0.0
2020-03-17,2.0,1.0,1.0,0.0,1.0,1008918.0,1.0,1.0
2020-03-18,2.0,0.0,1.0,1.0,1.0,1009883.0,1.0,0.0
2020-03-19,3.0,0.0,0.0,2.0,1.0,1010539.0,1.0,0.0
2020-03-20,2.0,0.0,0.0,1.0,1.0,1011717.0,1.0,0.0
2020-03-21,3.0,0.0,1.0,1.0,2.0,1013379.0,1.0,0.0
2020-03-22,4.0,0.0,1.0,0.0,3.0,1013422.0,1.0,0.0
2020-03-23,5.0,1.0,1.0,0.0,1.0,1014050.0,2.0,1.0
2020-03-24,1.0,1.0,0.0,1.0,0.0,1014910.0,4.0,2.0
2020-03-25,2.0,1.0,0.0,1.0,0.0,1015197.0,4.0,0.0
2020-03-26,1.0,0.0,2.0,1.0,3.0,1014251.0,5.0,1.0
2020-03-27,2.0,0.0,2.0,0.0,5.0,1014039.0,5.0,0.0
2020-03-28,5.0,1.0,1.0,0.0,5.0,1014791.0,6.0,1.0
2020-03-29,7.0,0.0,2.0,0.0,7.0,1013750.0,7.0,1.0
2020-03-30,5.0,1.0,2.0,0.0,6.0,1014490.0,9.0,2.0
2020-03-31,5.0,0.0,1.0,0.0,4.0,1015738.0,9.0,0.0
2020-04-01,6.0,0.0,0.0,0.0,4.0,1016208.0,9.0,0.0
2020-04-02,6.0,2.0,0.0,1.0,3.0,1016783.0,10.0,1.0
2020-04-03,8.0,3.0,1.0,1.0,4.0,1015791.0,12.0,2.0
2020-04-04,7.0,4.0,1.0,1.0,6.0,1015090.0,14.0,2.0
2020-04-05,13.0,2.0,3.0,3.0,6.0,1014767.0,16.0,2.0
2020-04-06,15.0,1.0,3.0,2.0,6.0,1015216.0,17.0,1.0
2020-04-07,22.0,1.0,5.0,3.0,9.0,1015978.0,19.0,2.0
2020-04-08,23.0,2.0,1.0,3.0,9.0,1016308.0,22.0,3.0
2020-04-09,15.0,7.0,4.0,4.0,11.0,1016473.0,30.0,8.0
2020-04-10,18.0,3.0,6.0,6.0,15.0,1016363.0,34.0,4.0
2020-04-11,26.0,5.0,5.0,3.0,17.0,1017123.0,36.0,2.0
2020-04-12,35.0,6.0,8.0,3.0,21.0,1016325.0,39.0,3.0
2020-04-13,48.0,10.0,9.0,7.0,23.0,1016655.0,46.0,7.0
2020-04-14,59.0,12.0,16.0,8.0,31.0,1016962.0,56.0,10.0
2020-04-15,75.0,20.0,11.0,16.0,45.0,1017510.0,75.0,19.0
2020-04-16,92.0,19.0,17.0,14.0,54.0,1017711.0,85.0,10.0
2020-04-17,109.0,18.0,11.0,15.0,62.0,1018379.0,98.0,13.0
2020-04-18,106.0,31.0,19.0,12.0,69.0,1018649.0,126.0,28.0
2020-04-19,112.0,33.0,26.0,10.0,78.0,1019307.0,149.0,23.0
2020-04-20,127.0,40.0,29.0,20.0,81.0,1019210.0,179.0,30.0
2020-04-21,165.0,45.0,30.0,22.0,91.0,1019489.0,209.0,30.0
2020-04-22,196.0,44.0,38.0,29.0,112.0,1019867.0,241.0,32.0
2020-04-23,223.0,51.0,33.0,41.0,138.0,1019867.0,286.0,45.0
2020-04-24,258.0,61.0,42.0,42.0,156.0,1020170.0,341.0,55.0
2020-04-25,280.0,87.0,52.0,36.0,155.0,1020053.0,394.0,53.0
2020-04-26,332.0,80.0,59.0,52.0,178.0,1018628.0,438.0,44.0
2020-04-27,391.0,89.0,71.0,44.0,208.0,1018836.0,509.0,71.0
2020-04-28,456.0,108.0,85.0,51.0,267.0,1019859.0,591.0,82.0
2020-04-29,551.0,123.0,99.0,78.0,321.0,1020902.0,680.0,89.0
2020-04-30,598.0,117.0,98.0,73.0,397.0,1020384.0,779.0,99.0
2020-05-01,692.0,149.0,104.0,104.0,401.0,1020459.0,882.0,103.0
2020-05-02,784.0,177.0,141.0,108.0,455.0,1019919.0,1031.0,149.0
2020-05-03,901.0,212.0,164.0,119.0,520.0,1019904.0,1196.0,165.0
2020-05-04,1080.0,236.0,185.0,139.0,617.0,1020306.0,1378.0,182.0
2020-05-05,1252.0,270.0,218.0,177.0,713.0,1020090.0,1582.0,204.0
2020-05-06,1452.0,310.0,254.0,217.0,831.0,1020972.0,1834.0,252.0
2020-05-07,1657.0,368.0,276.0,223.0,1004.0,1019730.0,2125.0,291.0
2020-05-08,1948.0,407.0,336.0,297.0,1144.0,1020407.0,2432.0,307.0
2020-05-09,2188.0,504.0,365.0,341.0,1311.0,1018497.0,2842.0,410.0
2020-05-10,2566.0,561.0,465.0,367.0,1563.0,1016666.0,3277.0,435.0
2020-05-11,3079.0,718.0,504.0,466.0,1787.0,1017514.0,3808.0,531.0
2020-05-12,3766.0,796.0,657.0,518.0,2070.0,1016010.0,4423.0,615.0
2020-05-13,4369.0,918.0,733.0,602.0,2405.0,1015261.0,5130.0,707.0
2020-05-14,5034.0,1115.0,879.0,668.0,2878.0,1014520.0,5988.0,858.0
2020-05-15,5812.0,1330.0,1031.0,829.0,3353.0,1011696.0,7021.0,1033.0
2020-05-16,6840.0,1488.0,1205.0,1075.0,3910.0,1010742.0,8196.0,1175.0
2020-05-17,7993.0,1862.0,1357.0,1131.0,4640.0,1008151.0,9631.0,1435.0
2020-05-18,9361.0,2062.0,1639.0,1319.0,5447.0,1004955.0,11199.0,1568.0
2020-05-19,10790.0,2434.0,1959.0,1500.0,6337.0,1001071.0,13054.0,1855.0
2020-05-20,12652.0,2867.0,2150.0,1788.0,7421.0,995769.0,15176.0,2122.0
2020-05-21,14766.0,3316.0,2609.0,2001.0,8664.0,992055.0,17695.0,2519.0
2020-05-22,17327.0,3830.0,3118.0,2430.0,10169.0,987860.0,20605.0,2910.0
2020-05-23,19952.0,4519.0,3529.0,2824.0,11854.0,982408.0,24109.0,3504.0
2020-05-24,23190.0,5190.0,4165.0,3399.0,13859.0,976089.0,28119.0,4010.0
2020-05-25,27024.0,6139.0,4725.0,3908.0,16325.0,968234.0,32868.0,4749.0
2020-05-26,31391.0,7039.0,5668.0,4594.0,19062.0,959315.0,38265.0,5397.0
2020-05-27,36209.0,8134.0,6616.0,5344.0,22326.0,948008.0,44553.0,6288.0
2020-05-28,41900.0,9320.0,7682.0,6220.0,25822.0,934920.0,51695.0,7142.0
2020-05-29,48295.0,10695.0,8814.0,7184.0,30334.0,921647.0,59812.0,8117.0
2020-05-30,55003.0,12422.0,10059.0,8133.0,35099.0,905702.0,69281.0,9469.0
2020-05-31,62483.0,14101.0,11557.0,9620.0,40561.0,886492.0,80068.0,10787.0
2020-06-01,71114.0,16054.0,13402.0,10787.0,47323.0,866460.0,92482.0,12414.0
2020-06-02,79730.0,18137.0,15144.0,12435.0,54545.0,843793.0,106346.0,13864.0
2020-06-03,89600.0,20660.0,17250.0,14331.0,62880.0,818630.0,122145.0,15799.0
2020-06-04,100629.0,23444.0,19388.0,16487.0,72357.0,793112.0,139861.0,17716.0
2020-06-05,112250.0,25949.0,22274.0,18442.0,83823.0,764179.0,159487.0,19626.0
2020-06-06,123908.0,28935.0,24630.0,21014.0,96403.0,730426.0,181156.0,21669.0
2020-06-07,135292.0,32255.0,27360.0,23595.0,110830.0,697209.0,205128.0,23972.0
2020-06-08,146692.0,34927.0,30252.0,26232.0,126397.0,662464.0,231028.0,25900.0
2020-06-09,157689.0,38169.0,33565.0,28608.0,143998.0,625250.0,259357.0,28329.0
2020-06-10,167289.0,40988.0,36617.0,31630.0,164135.0,586743.0,289397.0,30040.0
2020-06-11,175949.0,43890.0,39190.0,34821.0,185385.0,548835.0,321363.0,31966.0
2020-06-12,183794.0,46774.0,42184.0,37490.0,208294.0,509318.0,355064.0,33701.0
2020-06-13,189653.0,48689.0,44863.0,40747.0,233068.0,471111.0,389879.0,34815.0
2020-06-14,193473.0,50358.0,47025.0,43485.0,260328.0,434298.0,425473.0,35594.0
2020-06-15,195008.0,51848.0,48716.0,45642.0,288691.0,398144.0,462047.0,36574.0
2020-06-16,194071.0,52502.0,50171.0,47594.0,318575.0,364767.0,498552.0,36505.0
2020-06-17,191905.0,52633.0,51220.0,49112.0,349228.0,333021.0,534759.0,36207.0
2020-06-18,187224.0,52170.0,51509.0,50328.0,381458.0,304121.0,570408.0,35649.0
