time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,1.0,1.0,0.0,0.0,970522.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,973403.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,0.0,979609.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,986562.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,991717.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,995988.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,0.0,999998.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0,0.0,1002746.0,0.0,0.0
2020-03-14,2.0,1.0,0.0,1.0,1.0,1005000.0,0.0,0.0
2020-03-15,4.0,1.0,1.0,0.0,3.0,1007496.0,1.0,1.0
2020-03-16,2.0,0.0,1.0,0.0,2.0,1008055.0,2.0,1.0
2020-03-17,2.0,0.0,1.0,1.0,1.0,1009668.0,2.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,0.0,1011265.0,2.0,0.0
2020-03-19,3.0,1.0,0.0,0.0,1.0,1012247.0,2.0,0.0
2020-03-20,2.0,1.0,0.0,0.0,0.0,1011946.0,2.0,0.0
2020-03-21,2.0,0.0,0.0,1.0,2.0,1013696.0,2.0,0.0
2020-03-22,4.0,0.0,0.0,0.0,2.0,1012395.0,2.0,0.0
2020-03-23,2.0,1.0,0.0,0.0,4.0,1014576.0,3.0,1.0
2020-03-24,1.0,0.0,1.0,1.0,4.0,1015382.0,3.0,0.0
2020-03-25,1.0,0.0,1.0,0.0,6.0,1015487.0,3.0,0.0
2020-03-26,3.0,0.0,1.0,0.0,7.0,1014790.0,3.0,0.0
2020-03-27,4.0,0.0,0.0,1.0,4.0,1015145.0,3.0,0.0
2020-03-28,6.0,3.0,0.0,0.0,6.0,1014144.0,6.0,3.0
2020-03-29,5.0,2.0,1.0,0.0,6.0,1014478.0,7.0,1.0
2020-03-30,4.0,1.0,1.0,1.0,7.0,1015103.0,8.0,1.0
2020-03-31,12.0,0.0,2.0,2.0,7.0,1015888.0,9.0,1.0
