time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970365.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,1.0,0.0,973507.0,0.0,0.0
2020-03-08,2.0,1.0,0.0,0.0,0.0,980020.0,1.0,1.0
2020-03-09,2.0,0.0,1.0,1.0,0.0,987399.0,1.0,0.0
2020-03-10,2.0,0.0,1.0,0.0,1.0,993666.0,1.0,0.0
2020-03-11,3.0,1.0,1.0,0.0,0.0,998657.0,2.0,1.0
2020-03-12,6.0,0.0,1.0,1.0,0.0,1002667.0,3.0,1.0
2020-03-13,6.0,0.0,1.0,1.0,1.0,1004163.0,4.0,1.0
2020-03-14,12.0,2.0,2.0,2.0,2.0,1005456.0,6.0,2.0
2020-03-15,14.0,1.0,3.0,3.0,3.0,1006779.0,9.0,3.0
2020-03-16,13.0,0.0,3.0,2.0,3.0,1007170.0,9.0,0.0
2020-03-17,10.0,0.0,0.0,0.0,3.0,1008021.0,9.0,0.0
2020-03-18,7.0,2.0,1.0,0.0,4.0,1008239.0,11.0,2.0
2020-03-19,9.0,0.0,2.0,1.0,7.0,1007936.0,12.0,1.0
2020-03-20,10.0,1.0,2.0,1.0,7.0,1009770.0,14.0,2.0
2020-03-21,10.0,2.0,1.0,0.0,5.0,1010775.0,15.0,1.0
2020-03-22,14.0,1.0,3.0,1.0,5.0,1011580.0,15.0,0.0
2020-03-23,18.0,2.0,6.0,1.0,6.0,1012520.0,16.0,1.0
2020-03-24,19.0,4.0,2.0,4.0,9.0,1014023.0,19.0,3.0
2020-03-25,19.0,1.0,4.0,2.0,11.0,1013362.0,20.0,1.0
2020-03-26,17.0,5.0,3.0,4.0,9.0,1013457.0,26.0,6.0
2020-03-27,26.0,6.0,4.0,5.0,12.0,1014380.0,30.0,4.0
2020-03-28,35.0,4.0,6.0,4.0,15.0,1013784.0,33.0,3.0
2020-03-29,32.0,8.0,10.0,3.0,18.0,1015616.0,43.0,10.0
2020-03-30,38.0,10.0,9.0,7.0,19.0,1015825.0,50.0,7.0
2020-03-31,34.0,10.0,10.0,6.0,27.0,1015236.0,58.0,8.0
2020-04-01,43.0,17.0,9.0,2.0,27.0,1016405.0,70.0,12.0
2020-04-02,62.0,15.0,14.0,5.0,20.0,1017278.0,81.0,11.0
2020-04-03,65.0,15.0,15.0,13.0,26.0,1016642.0,94.0,13.0
2020-04-04,59.0,16.0,11.0,11.0,42.0,1018171.0,103.0,9.0
2020-04-05,71.0,16.0,16.0,8.0,56.0,1016229.0,116.0,13.0
2020-04-06,95.0,22.0,20.0,7.0,56.0,1015666.0,131.0,15.0
2020-04-07,125.0,25.0,24.0,7.0,59.0,1015795.0,146.0,15.0
2020-04-08,131.0,15.0,30.0,11.0,67.0,1016637.0,166.0,20.0
2020-04-09,134.0,30.0,25.0,21.0,77.0,1016484.0,193.0,27.0
2020-04-10,155.0,41.0,28.0,23.0,94.0,1016895.0,217.0,24.0
2020-04-11,195.0,43.0,36.0,20.0,117.0,1017101.0,250.0,33.0
2020-04-12,228.0,41.0,35.0,29.0,128.0,1017191.0,277.0,27.0
2020-04-13,255.0,58.0,40.0,32.0,161.0,1018358.0,317.0,40.0
2020-04-14,296.0,63.0,47.0,51.0,169.0,1018297.0,364.0,47.0
