time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,970303.0,0.0,0.0
2020-03-07,2.0,1.0,0.0,0.0,0.0,973298.0,0.0,0.0
2020-03-08,4.0,0.0,1.0,0.0,0.0,980663.0,0.0,0.0
2020-03-09,2.0,0.0,1.0,0.0,0.0,987837.0,0.0,0.0
2020-03-10,3.0,0.0,0.0,1.0,1.0,992159.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,2.0,996238.0,1.0,1.0
2020-03-12,0.0,0.0,0.0,0.0,2.0,1000808.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,2.0,1003784.0,1.0,0.0
2020-03-14,1.0,0.0,1.0,0.0,2.0,1006794.0,1.0,0.0
2020-03-15,1.0,0.0,1.0,0.0,2.0,1007823.0,1.0,0.0
2020-03-16,1.0,1.0,1.0,0.0,2.0,1009778.0,2.0,1.0
2020-03-17,2.0,0.0,0.0,1.0,3.0,1011501.0,2.0,0.0
2020-03-18,5.0,0.0,0.0,2.0,5.0,1011984.0,2.0,0.0
2020-03-19,3.0,1.0,0.0,1.0,6.0,1012562.0,4.0,2.0
2020-03-20,2.0,1.0,0.0,1.0,5.0,1012647.0,4.0,0.0
2020-03-21,5.0,0.0,1.0,1.0,4.0,1011680.0,4.0,0.0
2020-03-22,5.0,0.0,0.0,0.0,4.0,1012965.0,6.0,2.0
2020-03-23,7.0,3.0,0.0,0.0,6.0,1014015.0,8.0,2.0
2020-03-24,6.0,2.0,1.0,0.0,2.0,1014152.0,9.0,1.0
2020-03-25,12.0,2.0,1.0,1.0,4.0,1013619.0,9.0,0.0
2020-03-26,7.0,2.0,2.0,1.0,8.0,1013051.0,10.0,1.0
2020-03-27,17.0,4.0,1.0,0.0,9.0,1014169.0,11.0,1.0
2020-03-28,16.0,6.0,5.0,2.0,10.0,1015478.0,17.0,6.0
2020-03-29,22.0,2.0,4.0,3.0,12.0,1015510.0,19.0,2.0
2020-03-30,19.0,4.0,5.0,5.0,17.0,1015651.0,23.0,4.0
2020-03-31,18.0,6.0,3.0,3.0,16.0,1016164.0,27.0,4.0
2020-04-01,23.0,4.0,2.0,3.0,21.0,1016026.0,31.0,4.0
2020-04-02,37.0,8.0,2.0,3.0,26.0,1016067.0,38.0,7.0
2020-04-03,47.0,8.0,6.0,7.0,30.0,1016460.0,43.0,5.0
2020-04-04,57.0,13.0,8.0,11.0,31.0,1017448.0,54.0,11.0
2020-04-05,59.0,15.0,12.0,1.0,38.0,1016912.0,69.0,15.0
2020-04-06,70.0,15.0,14.0,7.0,37.0,1017292.0,81.0,12.0
2020-04-07,91.0,15.0,22.0,9.0,50.0,1018190.0,91.0,10.0
2020-04-08,97.0,15.0,20.0,12.0,60.0,1018119.0,106.0,15.0
2020-04-09,131.0,17.0,20.0,19.0,63.0,1018500.0,119.0,13.0
2020-04-10,142.0,25.0,21.0,27.0,71.0,1017875.0,146.0,27.0
2020-04-11,170.0,27.0,31.0,18.0,93.0,1017978.0,170.0,24.0
2020-04-12,187.0,38.0,32.0,22.0,124.0,1018891.0,208.0,38.0
2020-04-13,197.0,47.0,44.0,30.0,133.0,1018226.0,248.0,40.0
2020-04-14,230.0,48.0,37.0,29.0,150.0,1017573.0,286.0,38.0
2020-04-15,267.0,58.0,56.0,32.0,170.0,1016933.0,331.0,45.0
2020-04-16,354.0,73.0,55.0,53.0,178.0,1016112.0,389.0,58.0
2020-04-17,407.0,100.0,56.0,55.0,210.0,1017269.0,460.0,71.0
2020-04-18,435.0,107.0,83.0,69.0,236.0,1017400.0,535.0,75.0
2020-04-19,533.0,134.0,90.0,71.0,292.0,1018873.0,638.0,103.0
2020-04-20,629.0,151.0,128.0,86.0,372.0,1018927.0,750.0,112.0
2020-04-21,723.0,190.0,131.0,107.0,434.0,1019227.0,884.0,134.0
2020-04-22,851.0,197.0,169.0,133.0,515.0,1019392.0,1027.0,143.0
2020-04-23,983.0,221.0,176.0,156.0,596.0,1019316.0,1199.0,172.0
2020-04-24,1184.0,245.0,203.0,160.0,731.0,1018882.0,1384.0,185.0
2020-04-25,1344.0,302.0,240.0,180.0,820.0,1019619.0,1643.0,259.0
2020-04-26,1629.0,367.0,262.0,225.0,910.0,1018519.0,1912.0,269.0
