time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,969947.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,970745.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,979047.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,986474.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992015.0,0.0,0.0
2020-03-11,0.0,1.0,0.0,0.0,0.0,996988.0,0.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,1001037.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,0.0,0.0,1003555.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,0.0,1.0,1005174.0,0.0,0.0
2020-03-15,2.0,0.0,0.0,0.0,1.0,1008056.0,0.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,2.0,1008840.0,1.0,1.0
2020-03-17,0.0,0.0,1.0,0.0,2.0,1009379.0,2.0,1.0
2020-03-18,2.0,0.0,0.0,0.0,2.0,1010529.0,2.0,0.0
2020-03-19,2.0,0.0,0.0,0.0,1.0,1010918.0,2.0,0.0
2020-03-20,1.0,0.0,1.0,0.0,2.0,1012435.0,3.0,1.0
2020-03-21,2.0,0.0,0.0,0.0,1.0,1012598.0,3.0,0.0
2020-03-22,2.0,0.0,0.0,0.0,2.0,1012652.0,3.0,0.0
2020-03-23,2.0,3.0,0.0,0.0,1.0,1012840.0,4.0,1.0
2020-03-24,4.0,3.0,0.0,0.0,1.0,1014053.0,4.0,0.0
2020-03-25,6.0,2.0,2.0,0.0,3.0,1014037.0,4.0,0.0
2020-03-26,8.0,2.0,1.0,0.0,4.0,1013846.0,5.0,1.0
2020-03-27,8.0,0.0,1.0,1.0,4.0,1014064.0,6.0,1.0
2020-03-28,8.0,3.0,0.0,1.0,6.0,1016097.0,9.0,3.0
2020-03-29,10.0,1.0,2.0,1.0,9.0,1015525.0,10.0,1.0
2020-03-30,10.0,0.0,2.0,3.0,7.0,1016499.0,12.0,2.0
2020-03-31,12.0,1.0,2.0,2.0,11.0,1015439.0,14.0,2.0
2020-04-01,10.0,4.0,2.0,2.0,7.0,1017057.0,16.0,2.0
2020-04-02,17.0,5.0,3.0,1.0,9.0,1016696.0,19.0,3.0
2020-04-03,15.0,6.0,0.0,2.0,9.0,1016250.0,23.0,4.0
2020-04-04,23.0,4.0,4.0,2.0,11.0,1016572.0,25.0,2.0
2020-04-05,24.0,9.0,3.0,3.0,11.0,1017901.0,32.0,7.0
2020-04-06,24.0,7.0,6.0,7.0,13.0,1018090.0,36.0,4.0
2020-04-07,32.0,5.0,6.0,6.0,13.0,1018875.0,42.0,6.0
2020-04-08,33.0,9.0,7.0,4.0,14.0,1018637.0,50.0,8.0
2020-04-09,46.0,6.0,7.0,7.0,24.0,1019260.0,55.0,5.0
2020-04-10,45.0,13.0,9.0,5.0,34.0,1018952.0,69.0,14.0
2020-04-11,58.0,13.0,17.0,7.0,38.0,1019954.0,79.0,10.0
2020-04-12,66.0,10.0,19.0,10.0,44.0,1019731.0,89.0,10.0
2020-04-13,90.0,11.0,12.0,14.0,53.0,1017703.0,98.0,9.0
