time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969583.0,0.0,0.0
2020-03-07,0.0,1.0,1.0,0.0,0.0,970984.0,0.0,0.0
2020-03-08,1.0,0.0,1.0,0.0,0.0,978623.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,986224.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,991234.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,994544.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999413.0,0.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,0.0,1003051.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,1004716.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,1004973.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1007824.0,0.0,0.0
2020-03-17,0.0,1.0,0.0,0.0,2.0,1008335.0,0.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,2.0,1009195.0,0.0,0.0
2020-03-19,3.0,2.0,0.0,0.0,3.0,1009085.0,1.0,1.0
2020-03-20,6.0,1.0,2.0,0.0,1.0,1009756.0,2.0,1.0
2020-03-21,4.0,2.0,1.0,2.0,1.0,1010747.0,4.0,2.0
2020-03-22,5.0,1.0,2.0,0.0,2.0,1011051.0,5.0,1.0
2020-03-23,3.0,4.0,1.0,1.0,4.0,1011442.0,8.0,3.0
2020-03-24,5.0,2.0,4.0,1.0,7.0,1012266.0,9.0,1.0
2020-03-25,4.0,0.0,2.0,0.0,8.0,1012385.0,10.0,1.0
2020-03-26,3.0,1.0,2.0,1.0,6.0,1013715.0,13.0,3.0
2020-03-27,8.0,1.0,1.0,4.0,6.0,1014764.0,13.0,0.0
2020-03-28,10.0,2.0,2.0,2.0,4.0,1014864.0,13.0,0.0
2020-03-29,10.0,2.0,2.0,1.0,5.0,1015656.0,15.0,2.0
2020-03-30,12.0,4.0,2.0,2.0,5.0,1016438.0,18.0,3.0
2020-03-31,14.0,7.0,2.0,1.0,9.0,1017238.0,22.0,4.0
2020-04-01,22.0,5.0,5.0,2.0,12.0,1017256.0,24.0,2.0
2020-04-02,22.0,5.0,5.0,3.0,11.0,1015946.0,28.0,4.0
2020-04-03,24.0,3.0,4.0,2.0,13.0,1017307.0,31.0,3.0
2020-04-04,17.0,9.0,4.0,4.0,15.0,1015911.0,37.0,6.0
2020-04-05,31.0,5.0,7.0,8.0,16.0,1016166.0,43.0,6.0
2020-04-06,42.0,10.0,6.0,11.0,23.0,1016250.0,50.0,7.0
2020-04-07,47.0,6.0,10.0,10.0,24.0,1017067.0,55.0,5.0
2020-04-08,57.0,9.0,8.0,11.0,30.0,1017245.0,64.0,9.0
2020-04-09,57.0,14.0,13.0,7.0,31.0,1016629.0,73.0,9.0
2020-04-10,69.0,25.0,14.0,7.0,43.0,1017106.0,89.0,16.0
2020-04-11,83.0,22.0,17.0,16.0,39.0,1017416.0,106.0,17.0
2020-04-12,113.0,27.0,22.0,14.0,63.0,1017370.0,125.0,19.0
2020-04-13,119.0,30.0,19.0,17.0,74.0,1017614.0,145.0,20.0
2020-04-14,155.0,27.0,30.0,16.0,90.0,1017424.0,165.0,20.0
2020-04-15,184.0,34.0,22.0,20.0,92.0,1017858.0,190.0,25.0
2020-04-16,197.0,40.0,31.0,27.0,110.0,1019080.0,220.0,30.0
2020-04-17,213.0,42.0,42.0,24.0,124.0,1020166.0,254.0,34.0
2020-04-18,253.0,53.0,45.0,44.0,165.0,1019727.0,298.0,44.0
2020-04-19,298.0,75.0,69.0,37.0,192.0,1020575.0,358.0,60.0
2020-04-20,362.0,89.0,82.0,48.0,202.0,1020056.0,434.0,76.0
2020-04-21,406.0,90.0,82.0,74.0,221.0,1021378.0,499.0,65.0
2020-04-22,486.0,122.0,84.0,81.0,286.0,1019596.0,595.0,96.0
2020-04-23,553.0,127.0,110.0,92.0,319.0,1019188.0,695.0,100.0
2020-04-24,646.0,144.0,92.0,110.0,375.0,1019394.0,807.0,112.0
2020-04-25,749.0,181.0,117.0,88.0,447.0,1018950.0,944.0,137.0
2020-04-26,835.0,182.0,152.0,123.0,495.0,1018464.0,1092.0,148.0
2020-04-27,1017.0,209.0,167.0,153.0,595.0,1018694.0,1245.0,153.0
2020-04-28,1153.0,247.0,180.0,153.0,728.0,1019007.0,1431.0,186.0
2020-04-29,1317.0,301.0,218.0,203.0,835.0,1019296.0,1673.0,242.0
2020-04-30,1594.0,328.0,273.0,235.0,939.0,1018443.0,1905.0,232.0
2020-05-01,1796.0,388.0,303.0,286.0,1129.0,1017926.0,2213.0,308.0
2020-05-02,2172.0,479.0,377.0,333.0,1238.0,1018581.0,2595.0,382.0
2020-05-03,2530.0,559.0,459.0,356.0,1450.0,1017349.0,3041.0,446.0
2020-05-04,2927.0,616.0,492.0,431.0,1722.0,1016827.0,3526.0,485.0
2020-05-05,3403.0,771.0,569.0,477.0,2029.0,1016494.0,4109.0,583.0
2020-05-06,3950.0,899.0,724.0,515.0,2374.0,1014726.0,4796.0,687.0
2020-05-07,4668.0,1002.0,851.0,631.0,2752.0,1012736.0,5584.0,788.0
2020-05-08,5436.0,1234.0,952.0,750.0,3187.0,1012662.0,6513.0,929.0
2020-05-09,6460.0,1467.0,1148.0,882.0,3687.0,1009928.0,7627.0,1114.0
2020-05-10,7623.0,1694.0,1340.0,1075.0,4302.0,1007272.0,8880.0,1253.0
2020-05-11,8834.0,1904.0,1564.0,1285.0,5053.0,1004710.0,10376.0,1496.0
2020-05-12,10171.0,2294.0,1784.0,1455.0,5911.0,1001021.0,12130.0,1754.0
2020-05-13,12012.0,2615.0,2121.0,1755.0,7008.0,998337.0,14147.0,2017.0
2020-05-14,13976.0,2991.0,2432.0,1970.0,8148.0,995406.0,16450.0,2303.0
2020-05-15,16306.0,3491.0,2908.0,2258.0,9405.0,991677.0,19179.0,2729.0
2020-05-16,18812.0,4095.0,3270.0,2664.0,11114.0,984960.0,22343.0,3164.0
2020-05-17,21656.0,4756.0,3787.0,3168.0,12928.0,978756.0,26028.0,3685.0
2020-05-18,25050.0,5505.0,4473.0,3603.0,15180.0,970390.0,30241.0,4213.0
2020-05-19,28965.0,6403.0,5225.0,4206.0,17785.0,961460.0,35191.0,4950.0
2020-05-20,33410.0,7399.0,6084.0,4811.0,20550.0,952779.0,40982.0,5791.0
2020-05-21,38723.0,8537.0,6973.0,5662.0,23961.0,940317.0,47651.0,6669.0
2020-05-22,44391.0,9815.0,8024.0,6476.0,27351.0,927995.0,55235.0,7584.0
2020-05-23,50669.0,11322.0,9219.0,7489.0,31702.0,913203.0,63979.0,8744.0
2020-05-24,57585.0,12923.0,10623.0,8520.0,36983.0,896941.0,73980.0,10001.0
2020-05-25,65340.0,14861.0,12140.0,9837.0,42853.0,879817.0,85260.0,11280.0
2020-05-26,74238.0,16952.0,13858.0,11389.0,49574.0,858868.0,98100.0,12840.0
2020-05-27,83205.0,19068.0,15742.0,13164.0,57556.0,837667.0,112640.0,14540.0
2020-05-28,92784.0,21354.0,17947.0,14796.0,66124.0,812998.0,128982.0,16342.0
2020-05-29,103039.0,23979.0,20033.0,16834.0,76206.0,784673.0,147110.0,18128.0
