time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,2.0,3.0,0.0,0.0,0.0,970000.0,0.0,0.0
2020-03-07,3.0,1.0,0.0,0.0,0.0,973005.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,979757.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,987133.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,992789.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,997192.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,1000608.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,1.0,1002223.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1005226.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1007202.0,0.0,0.0
2020-03-16,0.0,0.0,2.0,0.0,1.0,1008526.0,0.0,0.0
2020-03-17,3.0,1.0,1.0,0.0,0.0,1010412.0,0.0,0.0
2020-03-18,3.0,0.0,1.0,1.0,0.0,1011976.0,0.0,0.0
2020-03-19,3.0,0.0,0.0,2.0,0.0,1013054.0,0.0,0.0
2020-03-20,3.0,0.0,0.0,0.0,1.0,1014053.0,0.0,0.0
2020-03-21,1.0,0.0,0.0,0.0,2.0,1013058.0,0.0,0.0
2020-03-22,0.0,1.0,0.0,0.0,3.0,1012777.0,1.0,1.0
2020-03-23,2.0,0.0,0.0,2.0,3.0,1015245.0,1.0,0.0
2020-03-24,4.0,0.0,1.0,2.0,3.0,1015084.0,1.0,0.0
2020-03-25,3.0,1.0,1.0,2.0,2.0,1014682.0,1.0,0.0
2020-03-26,2.0,0.0,0.0,2.0,1.0,1015324.0,1.0,0.0
2020-03-27,4.0,0.0,0.0,0.0,4.0,1016591.0,1.0,0.0
2020-03-28,1.0,0.0,0.0,0.0,2.0,1016521.0,2.0,1.0
2020-03-29,3.0,1.0,1.0,0.0,2.0,1016644.0,3.0,1.0
2020-03-30,5.0,1.0,0.0,0.0,5.0,1017016.0,3.0,0.0
2020-03-31,4.0,2.0,3.0,0.0,5.0,1015887.0,5.0,2.0
2020-04-01,8.0,1.0,1.0,3.0,5.0,1016883.0,5.0,0.0
2020-04-02,11.0,2.0,1.0,4.0,3.0,1017809.0,6.0,1.0
2020-04-03,18.0,0.0,2.0,5.0,4.0,1017558.0,7.0,1.0
