time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970654.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,0.0,0.0,974121.0,0.0,0.0
2020-03-08,2.0,0.0,0.0,0.0,0.0,980501.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,0.0,0.0,986834.0,0.0,0.0
2020-03-10,2.0,0.0,0.0,0.0,0.0,991824.0,0.0,0.0
2020-03-11,2.0,0.0,1.0,0.0,0.0,996649.0,1.0,1.0
2020-03-12,4.0,0.0,1.0,0.0,2.0,999894.0,1.0,0.0
2020-03-13,5.0,3.0,0.0,0.0,2.0,1003154.0,4.0,3.0
2020-03-14,6.0,1.0,0.0,1.0,0.0,1005367.0,5.0,1.0
2020-03-15,6.0,2.0,2.0,0.0,1.0,1007868.0,8.0,3.0
2020-03-16,7.0,1.0,2.0,2.0,0.0,1008096.0,8.0,0.0
2020-03-17,9.0,2.0,2.0,1.0,1.0,1010114.0,10.0,2.0
2020-03-18,13.0,1.0,3.0,1.0,1.0,1011080.0,12.0,2.0
2020-03-19,12.0,1.0,4.0,0.0,3.0,1011695.0,14.0,2.0
2020-03-20,9.0,3.0,2.0,0.0,3.0,1011884.0,16.0,2.0
2020-03-21,11.0,3.0,1.0,0.0,3.0,1013950.0,17.0,1.0
2020-03-22,9.0,3.0,4.0,1.0,2.0,1015320.0,20.0,3.0
2020-03-23,5.0,1.0,0.0,4.0,5.0,1015335.0,23.0,3.0
2020-03-24,9.0,2.0,1.0,3.0,7.0,1013825.0,25.0,2.0
2020-03-25,10.0,1.0,0.0,2.0,7.0,1014429.0,25.0,0.0
2020-03-26,8.0,1.0,1.0,0.0,5.0,1015847.0,26.0,1.0
2020-03-27,11.0,2.0,0.0,3.0,10.0,1016026.0,26.0,0.0
2020-03-28,13.0,2.0,0.0,2.0,12.0,1015745.0,27.0,1.0
2020-03-29,17.0,4.0,1.0,0.0,14.0,1014470.0,29.0,2.0
2020-03-30,14.0,2.0,7.0,1.0,10.0,1015257.0,33.0,4.0
2020-03-31,16.0,5.0,1.0,0.0,13.0,1015665.0,35.0,2.0
2020-04-01,15.0,4.0,4.0,1.0,10.0,1015549.0,38.0,3.0
2020-04-02,26.0,4.0,4.0,6.0,9.0,1017738.0,41.0,3.0
2020-04-03,28.0,7.0,2.0,6.0,11.0,1018173.0,48.0,7.0
2020-04-04,41.0,6.0,4.0,6.0,20.0,1018316.0,51.0,3.0
2020-04-05,34.0,9.0,5.0,8.0,24.0,1017463.0,61.0,10.0
2020-04-06,49.0,9.0,7.0,11.0,28.0,1018227.0,71.0,10.0
2020-04-07,68.0,4.0,7.0,11.0,36.0,1018454.0,72.0,1.0
2020-04-08,59.0,16.0,5.0,12.0,36.0,1017153.0,87.0,15.0
2020-04-09,86.0,11.0,14.0,9.0,40.0,1018025.0,95.0,8.0
2020-04-10,102.0,18.0,18.0,6.0,49.0,1018220.0,109.0,14.0
2020-04-11,111.0,27.0,15.0,19.0,46.0,1018727.0,129.0,20.0
2020-04-12,117.0,23.0,27.0,17.0,69.0,1018829.0,145.0,16.0
2020-04-13,136.0,40.0,21.0,16.0,89.0,1018088.0,173.0,28.0
2020-04-14,154.0,36.0,31.0,16.0,94.0,1019202.0,196.0,23.0
2020-04-15,184.0,44.0,32.0,26.0,100.0,1018659.0,231.0,35.0
2020-04-16,209.0,51.0,40.0,33.0,113.0,1018915.0,273.0,42.0
2020-04-17,252.0,50.0,56.0,44.0,134.0,1019415.0,313.0,40.0
2020-04-18,309.0,76.0,48.0,47.0,179.0,1020210.0,371.0,58.0
2020-04-19,372.0,78.0,65.0,64.0,208.0,1019991.0,429.0,58.0
2020-04-20,442.0,105.0,74.0,71.0,246.0,1020388.0,505.0,76.0
2020-04-21,516.0,105.0,77.0,73.0,274.0,1019907.0,588.0,83.0
2020-04-22,627.0,117.0,91.0,72.0,332.0,1020003.0,676.0,88.0
2020-04-23,684.0,134.0,107.0,92.0,359.0,1021585.0,797.0,121.0
2020-04-24,799.0,180.0,120.0,96.0,437.0,1021101.0,924.0,127.0
2020-04-25,862.0,209.0,166.0,117.0,496.0,1019730.0,1078.0,154.0
2020-04-26,1039.0,241.0,175.0,162.0,575.0,1018352.0,1251.0,173.0
2020-04-27,1176.0,272.0,194.0,146.0,707.0,1018664.0,1449.0,198.0
2020-04-28,1413.0,319.0,231.0,180.0,775.0,1019209.0,1673.0,224.0
2020-04-29,1669.0,392.0,282.0,242.0,887.0,1018616.0,1959.0,286.0
2020-04-30,1963.0,436.0,354.0,264.0,1045.0,1018441.0,2302.0,343.0
2020-05-01,2246.0,514.0,411.0,318.0,1216.0,1017803.0,2724.0,422.0
2020-05-02,2627.0,565.0,464.0,410.0,1418.0,1017765.0,3128.0,404.0
2020-05-03,3119.0,648.0,553.0,446.0,1699.0,1016999.0,3657.0,529.0
