time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,0.0,0.0,0.0,970314.0,0.0,0.0
2020-03-07,0.0,1.0,0.0,0.0,0.0,973122.0,0.0,0.0
2020-03-08,0.0,1.0,0.0,0.0,0.0,979815.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0,0.0,986175.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,0.0,0.0,992885.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,0.0,0.0,997571.0,0.0,0.0
2020-03-12,0.0,0.0,1.0,0.0,0.0,1001291.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,1.0,0.0,1002974.0,0.0,0.0
2020-03-14,2.0,1.0,0.0,1.0,1.0,1005035.0,1.0,1.0
2020-03-15,2.0,0.0,1.0,1.0,1.0,1006033.0,1.0,0.0
2020-03-16,4.0,1.0,1.0,2.0,0.0,1007559.0,2.0,1.0
2020-03-17,3.0,1.0,1.0,0.0,2.0,1010031.0,2.0,0.0
2020-03-18,5.0,0.0,1.0,1.0,1.0,1010305.0,2.0,0.0
2020-03-19,9.0,1.0,1.0,1.0,1.0,1012369.0,3.0,1.0
2020-03-20,9.0,1.0,1.0,2.0,2.0,1012479.0,4.0,1.0
2020-03-21,12.0,2.0,2.0,1.0,2.0,1012896.0,6.0,2.0
2020-03-22,14.0,4.0,1.0,0.0,4.0,1013348.0,8.0,2.0
2020-03-23,14.0,2.0,3.0,1.0,5.0,1013419.0,9.0,1.0
2020-03-24,17.0,6.0,1.0,1.0,6.0,1014034.0,14.0,5.0
2020-03-25,20.0,5.0,4.0,0.0,7.0,1013077.0,18.0,4.0
2020-03-26,21.0,4.0,4.0,5.0,9.0,1014744.0,21.0,3.0
2020-03-27,19.0,2.0,6.0,3.0,10.0,1016220.0,23.0,2.0
2020-03-28,22.0,9.0,4.0,1.0,11.0,1017601.0,28.0,5.0
2020-03-29,30.0,7.0,6.0,2.0,11.0,1017171.0,33.0,5.0
2020-03-30,38.0,10.0,12.0,2.0,14.0,1017120.0,40.0,7.0
2020-03-31,44.0,8.0,8.0,3.0,20.0,1016565.0,43.0,3.0
2020-04-01,56.0,10.0,14.0,6.0,16.0,1016176.0,53.0,10.0
2020-04-02,64.0,12.0,16.0,5.0,22.0,1016328.0,65.0,12.0
2020-04-03,95.0,13.0,15.0,14.0,38.0,1017463.0,77.0,12.0
2020-04-04,81.0,20.0,12.0,18.0,45.0,1017851.0,95.0,18.0
2020-04-05,97.0,22.0,14.0,13.0,49.0,1015897.0,110.0,15.0
2020-04-06,105.0,23.0,22.0,15.0,54.0,1016691.0,130.0,20.0
2020-04-07,121.0,29.0,21.0,11.0,70.0,1016768.0,148.0,18.0
2020-04-08,127.0,30.0,27.0,11.0,77.0,1018356.0,175.0,27.0
2020-04-09,148.0,39.0,28.0,26.0,94.0,1016760.0,205.0,30.0
2020-04-10,169.0,55.0,24.0,24.0,114.0,1017135.0,239.0,34.0
2020-04-11,217.0,57.0,36.0,38.0,128.0,1017395.0,277.0,38.0
2020-04-12,251.0,60.0,44.0,42.0,156.0,1018427.0,311.0,34.0
2020-04-13,302.0,67.0,54.0,63.0,207.0,1019293.0,368.0,57.0
2020-04-14,381.0,77.0,87.0,58.0,225.0,1019015.0,438.0,70.0
2020-04-15,446.0,83.0,87.0,74.0,271.0,1019222.0,500.0,62.0
2020-04-16,518.0,103.0,82.0,59.0,334.0,1019930.0,596.0,96.0
2020-04-17,566.0,101.0,107.0,76.0,352.0,1020149.0,679.0,83.0
2020-04-18,651.0,147.0,112.0,74.0,387.0,1019835.0,817.0,138.0
2020-04-19,790.0,161.0,145.0,102.0,430.0,1018863.0,940.0,123.0
2020-04-20,871.0,190.0,152.0,128.0,516.0,1020049.0,1094.0,154.0
2020-04-21,986.0,203.0,197.0,145.0,601.0,1017998.0,1257.0,163.0
2020-04-22,1199.0,240.0,200.0,176.0,703.0,1018265.0,1437.0,180.0
2020-04-23,1384.0,309.0,229.0,199.0,796.0,1018222.0,1661.0,224.0
2020-04-24,1621.0,356.0,280.0,222.0,950.0,1017914.0,1942.0,281.0
2020-04-25,1910.0,424.0,326.0,252.0,1123.0,1017250.0,2267.0,325.0
2020-04-26,2236.0,518.0,382.0,306.0,1283.0,1017486.0,2667.0,400.0
2020-04-27,2683.0,562.0,476.0,379.0,1520.0,1017224.0,3083.0,416.0
2020-04-28,3106.0,639.0,541.0,431.0,1786.0,1015867.0,3593.0,510.0
2020-04-29,3597.0,786.0,622.0,531.0,2122.0,1014123.0,4218.0,625.0
2020-04-30,4186.0,973.0,691.0,633.0,2457.0,1013749.0,4945.0,727.0
2020-05-01,4934.0,1103.0,853.0,685.0,2868.0,1012703.0,5748.0,803.0
2020-05-02,5742.0,1266.0,1000.0,786.0,3264.0,1010695.0,6745.0,997.0
2020-05-03,6630.0,1451.0,1211.0,941.0,3901.0,1010059.0,7870.0,1125.0
2020-05-04,7694.0,1678.0,1399.0,1076.0,4507.0,1006639.0,9219.0,1349.0
2020-05-05,8978.0,1945.0,1609.0,1342.0,5214.0,1003639.0,10751.0,1532.0
2020-05-06,10594.0,2281.0,1816.0,1569.0,6073.0,1001578.0,12511.0,1760.0
2020-05-07,12332.0,2635.0,2173.0,1792.0,7181.0,998361.0,14547.0,2036.0
2020-05-08,14286.0,3106.0,2512.0,2110.0,8257.0,994199.0,16986.0,2439.0
2020-05-09,16590.0,3649.0,2960.0,2399.0,9702.0,987966.0,19858.0,2872.0
2020-05-10,19010.0,4266.0,3323.0,2728.0,11324.0,983383.0,23142.0,3284.0
2020-05-11,22122.0,4959.0,4053.0,3108.0,13136.0,975967.0,26993.0,3851.0
2020-05-12,25622.0,5743.0,4599.0,3648.0,15273.0,968580.0,31348.0,4355.0
2020-05-13,29463.0,6606.0,5368.0,4254.0,17926.0,959999.0,36439.0,5091.0
2020-05-14,34135.0,7713.0,6117.0,4977.0,20759.0,948585.0,42387.0,5948.0
2020-05-15,39237.0,8751.0,7172.0,5838.0,24269.0,938535.0,49185.0,6798.0
2020-05-16,45209.0,10034.0,8305.0,6622.0,28320.0,925668.0,56974.0,7789.0
2020-05-17,51627.0,11547.0,9438.0,7751.0,32710.0,911218.0,65832.0,8858.0
2020-05-18,58957.0,13373.0,10986.0,8806.0,38002.0,893960.0,76025.0,10193.0
2020-05-19,66911.0,15188.0,12440.0,10220.0,44189.0,875289.0,87762.0,11737.0
2020-05-20,75583.0,17286.0,14250.0,11561.0,51462.0,854461.0,100827.0,13065.0
2020-05-21,85107.0,19301.0,16365.0,13554.0,59281.0,830415.0,115600.0,14773.0
2020-05-22,95209.0,21621.0,18304.0,15354.0,68315.0,805688.0,132098.0,16498.0
2020-05-23,105783.0,24496.0,20461.0,17409.0,78260.0,778601.0,150521.0,18423.0
2020-05-24,116880.0,27406.0,23069.0,19573.0,90279.0,748421.0,170868.0,20347.0
2020-05-25,128287.0,30185.0,26027.0,21873.0,103182.0,717286.0,193643.0,22775.0
2020-05-26,140066.0,33608.0,28738.0,24291.0,117884.0,682117.0,218519.0,24876.0
2020-05-27,150970.0,36640.0,31832.0,27324.0,134125.0,645976.0,245734.0,27215.0
2020-05-28,161539.0,39571.0,34760.0,30295.0,153048.0,607504.0,274660.0,28926.0
2020-05-29,170964.0,42282.0,37542.0,33198.0,172893.0,569165.0,305480.0,30820.0
2020-05-30,178653.0,44806.0,40482.0,35866.0,194853.0,531172.0,338061.0,32581.0
2020-05-31,184861.0,47373.0,43031.0,38694.0,218392.0,493416.0,372250.0,34189.0
2020-06-01,190511.0,49222.0,45226.0,41159.0,244864.0,455807.0,407366.0,35116.0
