time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,971068.0,0.0,0.0
2020-03-07,3.0,0.0,1.0,0.0,0.0,973890.0,0.0,0.0
2020-03-08,1.0,1.0,1.0,0.0,0.0,980428.0,1.0,1.0
2020-03-09,2.0,0.0,2.0,0.0,0.0,987090.0,1.0,0.0
2020-03-10,5.0,0.0,1.0,0.0,0.0,992303.0,1.0,0.0
2020-03-11,5.0,1.0,1.0,0.0,0.0,997064.0,2.0,1.0
2020-03-12,4.0,1.0,1.0,0.0,1.0,1000663.0,3.0,1.0
2020-03-13,6.0,1.0,3.0,0.0,2.0,1002768.0,5.0,2.0
2020-03-14,7.0,1.0,1.0,0.0,1.0,1004677.0,6.0,1.0
2020-03-15,6.0,1.0,2.0,0.0,2.0,1006617.0,7.0,1.0
2020-03-16,6.0,1.0,1.0,3.0,2.0,1007974.0,10.0,3.0
2020-03-17,5.0,2.0,1.0,1.0,3.0,1009247.0,12.0,2.0
2020-03-18,6.0,1.0,2.0,1.0,3.0,1009777.0,12.0,0.0
2020-03-19,7.0,1.0,1.0,1.0,6.0,1010148.0,12.0,0.0
2020-03-20,11.0,2.0,1.0,0.0,6.0,1011077.0,12.0,0.0
2020-03-21,11.0,1.0,4.0,0.0,3.0,1011262.0,13.0,1.0
2020-03-22,6.0,4.0,2.0,0.0,2.0,1011847.0,17.0,4.0
2020-03-23,9.0,1.0,4.0,0.0,3.0,1012303.0,17.0,0.0
2020-03-24,11.0,1.0,2.0,1.0,5.0,1012222.0,20.0,3.0
2020-03-25,12.0,2.0,0.0,1.0,7.0,1013480.0,20.0,0.0
2020-03-26,11.0,3.0,4.0,1.0,8.0,1014631.0,24.0,4.0
2020-03-27,19.0,4.0,3.0,6.0,6.0,1014209.0,27.0,3.0
2020-03-28,22.0,5.0,4.0,5.0,14.0,1015110.0,32.0,5.0
2020-03-29,25.0,5.0,2.0,3.0,19.0,1014858.0,37.0,5.0
2020-03-30,23.0,7.0,3.0,2.0,19.0,1012928.0,38.0,1.0
2020-03-31,22.0,8.0,5.0,1.0,17.0,1013499.0,45.0,7.0
2020-04-01,20.0,6.0,5.0,3.0,19.0,1014749.0,47.0,2.0
2020-04-02,31.0,8.0,5.0,5.0,26.0,1014208.0,53.0,6.0
2020-04-03,50.0,11.0,6.0,7.0,32.0,1015078.0,62.0,9.0
2020-04-04,61.0,11.0,7.0,6.0,44.0,1016232.0,72.0,10.0
2020-04-05,68.0,8.0,9.0,4.0,48.0,1015090.0,79.0,7.0
2020-04-06,65.0,19.0,17.0,9.0,48.0,1015584.0,98.0,19.0
2020-04-07,79.0,17.0,17.0,18.0,52.0,1014945.0,110.0,12.0
2020-04-08,95.0,21.0,12.0,23.0,61.0,1015604.0,125.0,15.0
2020-04-09,113.0,21.0,13.0,14.0,75.0,1015145.0,137.0,12.0
2020-04-10,129.0,25.0,24.0,26.0,88.0,1014848.0,157.0,20.0
2020-04-11,161.0,32.0,35.0,30.0,110.0,1015539.0,191.0,34.0
2020-04-12,198.0,40.0,36.0,36.0,131.0,1016838.0,226.0,35.0
2020-04-13,245.0,51.0,35.0,31.0,156.0,1016803.0,260.0,34.0
2020-04-14,273.0,63.0,41.0,37.0,190.0,1016500.0,313.0,53.0
2020-04-15,332.0,65.0,42.0,52.0,196.0,1017909.0,361.0,48.0
2020-04-16,387.0,93.0,67.0,45.0,231.0,1017407.0,436.0,75.0
2020-04-17,433.0,107.0,71.0,74.0,272.0,1018057.0,523.0,87.0
2020-04-18,538.0,124.0,83.0,66.0,284.0,1018252.0,610.0,87.0
2020-04-19,634.0,138.0,114.0,80.0,356.0,1018639.0,707.0,97.0
2020-04-20,715.0,162.0,119.0,100.0,403.0,1018720.0,833.0,126.0
2020-04-21,907.0,166.0,141.0,111.0,483.0,1017676.0,962.0,129.0
2020-04-22,989.0,206.0,165.0,141.0,564.0,1017696.0,1134.0,172.0
2020-04-23,1185.0,231.0,212.0,143.0,677.0,1017152.0,1319.0,185.0
2020-04-24,1333.0,290.0,241.0,200.0,787.0,1016332.0,1553.0,234.0
2020-04-25,1504.0,316.0,273.0,226.0,944.0,1016363.0,1771.0,218.0
2020-04-26,1768.0,421.0,296.0,272.0,1095.0,1017610.0,2075.0,304.0
2020-04-27,2124.0,468.0,383.0,299.0,1285.0,1016416.0,2428.0,353.0
2020-04-28,2494.0,565.0,440.0,357.0,1494.0,1015538.0,2868.0,440.0
2020-04-29,2963.0,645.0,467.0,458.0,1706.0,1014689.0,3363.0,495.0
2020-04-30,3368.0,762.0,559.0,493.0,2051.0,1014877.0,3943.0,580.0
2020-05-01,4020.0,868.0,670.0,518.0,2392.0,1015229.0,4568.0,625.0
2020-05-02,4731.0,1028.0,809.0,660.0,2784.0,1014246.0,5401.0,833.0
2020-05-03,5634.0,1208.0,974.0,769.0,3177.0,1011800.0,6333.0,932.0
2020-05-04,6601.0,1414.0,1211.0,918.0,3715.0,1010255.0,7430.0,1097.0
2020-05-05,7537.0,1634.0,1331.0,1079.0,4296.0,1007724.0,8666.0,1236.0
