time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,970173.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,972318.0,0.0,0.0
2020-03-08,3.0,1.0,0.0,1.0,0.0,979374.0,0.0,0.0
2020-03-09,3.0,0.0,1.0,0.0,1.0,986078.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,1.0,1.0,991947.0,1.0,1.0
2020-03-11,1.0,1.0,0.0,0.0,2.0,997185.0,1.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,1.0,999643.0,1.0,0.0
2020-03-13,1.0,0.0,1.0,0.0,0.0,1002959.0,1.0,0.0
2020-03-14,3.0,0.0,1.0,0.0,0.0,1005622.0,1.0,0.0
2020-03-15,2.0,0.0,1.0,0.0,0.0,1009118.0,1.0,0.0
2020-03-16,1.0,2.0,0.0,0.0,0.0,1009795.0,2.0,1.0
2020-03-17,1.0,2.0,1.0,0.0,0.0,1010345.0,3.0,1.0
2020-03-18,1.0,0.0,2.0,0.0,0.0,1011131.0,3.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,2.0,1011358.0,3.0,0.0
2020-03-20,3.0,1.0,0.0,0.0,2.0,1011902.0,4.0,1.0
2020-03-21,1.0,0.0,0.0,0.0,3.0,1012406.0,5.0,1.0
2020-03-22,1.0,0.0,0.0,0.0,3.0,1013161.0,5.0,0.0
2020-03-23,2.0,1.0,0.0,1.0,5.0,1011823.0,5.0,0.0
2020-03-24,3.0,0.0,1.0,1.0,5.0,1012653.0,5.0,0.0
2020-03-25,4.0,0.0,0.0,1.0,3.0,1012627.0,5.0,0.0
2020-03-26,3.0,1.0,0.0,0.0,3.0,1014063.0,8.0,3.0
2020-03-27,6.0,0.0,2.0,1.0,4.0,1013894.0,8.0,0.0
2020-03-28,8.0,2.0,0.0,1.0,7.0,1013968.0,10.0,2.0
2020-03-29,9.0,2.0,0.0,1.0,6.0,1012305.0,11.0,1.0
2020-03-30,9.0,1.0,3.0,1.0,9.0,1013573.0,13.0,2.0
