time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,971153.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0,0.0,973094.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0,0.0,979858.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,0.0,0.0,985722.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,991941.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,996651.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,999576.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,1002434.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,1.0,1004030.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,1.0,1006575.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1008263.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,1.0,1009649.0,0.0,0.0
2020-03-18,0.0,1.0,1.0,0.0,1.0,1011137.0,0.0,0.0
2020-03-19,1.0,0.0,0.0,0.0,2.0,1011281.0,0.0,0.0
2020-03-20,0.0,1.0,0.0,0.0,1.0,1010852.0,1.0,1.0
2020-03-21,1.0,1.0,0.0,0.0,1.0,1012186.0,1.0,0.0
2020-03-22,1.0,1.0,0.0,0.0,1.0,1013130.0,1.0,0.0
2020-03-23,4.0,0.0,2.0,0.0,0.0,1013442.0,2.0,1.0
2020-03-24,4.0,1.0,0.0,0.0,0.0,1013454.0,3.0,1.0
2020-03-25,3.0,0.0,1.0,0.0,2.0,1012556.0,3.0,0.0
2020-03-26,5.0,1.0,1.0,0.0,3.0,1013152.0,4.0,1.0
2020-03-27,5.0,1.0,0.0,2.0,5.0,1013978.0,5.0,1.0
2020-03-28,7.0,1.0,0.0,0.0,9.0,1015298.0,5.0,0.0
2020-03-29,9.0,2.0,4.0,1.0,8.0,1014711.0,7.0,2.0
