time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,2.0,1.0,0.0,0.0,969837.0,0.0,0.0
2020-03-07,2.0,1.0,1.0,0.0,0.0,972673.0,0.0,0.0
2020-03-08,3.0,1.0,0.0,0.0,0.0,979538.0,1.0,1.0
2020-03-09,1.0,1.0,0.0,0.0,1.0,986504.0,3.0,2.0
2020-03-10,1.0,0.0,0.0,0.0,1.0,991668.0,3.0,0.0
2020-03-11,0.0,1.0,0.0,1.0,2.0,996682.0,4.0,1.0
2020-03-12,1.0,0.0,1.0,0.0,2.0,1000375.0,4.0,0.0
2020-03-13,1.0,0.0,1.0,1.0,1.0,1002787.0,4.0,0.0
2020-03-14,2.0,0.0,2.0,1.0,2.0,1005430.0,5.0,1.0
2020-03-15,5.0,0.0,1.0,1.0,3.0,1006955.0,5.0,0.0
2020-03-16,11.0,1.0,0.0,1.0,2.0,1008492.0,5.0,0.0
2020-03-17,10.0,2.0,0.0,1.0,4.0,1009779.0,7.0,2.0
2020-03-18,5.0,2.0,0.0,1.0,6.0,1009164.0,8.0,1.0
2020-03-19,3.0,1.0,1.0,0.0,9.0,1010130.0,8.0,0.0
2020-03-20,4.0,5.0,1.0,1.0,8.0,1010933.0,11.0,3.0
2020-03-21,9.0,3.0,7.0,0.0,5.0,1011196.0,13.0,2.0
2020-03-22,8.0,4.0,3.0,5.0,10.0,1012041.0,17.0,4.0
2020-03-23,13.0,3.0,3.0,6.0,10.0,1012994.0,19.0,2.0
2020-03-24,16.0,2.0,2.0,4.0,10.0,1014049.0,19.0,0.0
2020-03-25,17.0,2.0,3.0,2.0,10.0,1013757.0,22.0,3.0
2020-03-26,16.0,4.0,5.0,1.0,11.0,1015524.0,26.0,4.0
2020-03-27,21.0,4.0,3.0,2.0,15.0,1014655.0,29.0,3.0
2020-03-28,23.0,4.0,2.0,4.0,17.0,1015803.0,32.0,3.0
2020-03-29,22.0,5.0,5.0,6.0,16.0,1016040.0,37.0,5.0
2020-03-30,28.0,7.0,3.0,5.0,20.0,1015665.0,41.0,4.0
2020-03-31,27.0,11.0,0.0,5.0,23.0,1015909.0,48.0,7.0
2020-04-01,32.0,10.0,3.0,3.0,21.0,1015532.0,53.0,5.0
2020-04-02,37.0,13.0,6.0,5.0,21.0,1016801.0,63.0,10.0
2020-04-03,45.0,9.0,8.0,8.0,31.0,1016379.0,69.0,6.0
2020-04-04,57.0,11.0,11.0,7.0,40.0,1016225.0,76.0,7.0
2020-04-05,67.0,12.0,15.0,10.0,45.0,1015801.0,87.0,11.0
2020-04-06,79.0,14.0,11.0,14.0,61.0,1015921.0,102.0,15.0
2020-04-07,91.0,21.0,13.0,16.0,66.0,1016271.0,122.0,20.0
2020-04-08,109.0,24.0,14.0,19.0,71.0,1017726.0,143.0,21.0
2020-04-09,126.0,40.0,21.0,20.0,89.0,1018215.0,167.0,24.0
2020-04-10,149.0,34.0,28.0,19.0,87.0,1016627.0,189.0,22.0
2020-04-11,196.0,40.0,40.0,23.0,104.0,1016008.0,216.0,27.0
2020-04-12,224.0,57.0,37.0,33.0,117.0,1015616.0,253.0,37.0
2020-04-13,247.0,53.0,46.0,35.0,143.0,1017176.0,293.0,40.0
2020-04-14,284.0,73.0,50.0,39.0,168.0,1018494.0,347.0,54.0
2020-04-15,348.0,84.0,60.0,38.0,184.0,1019164.0,403.0,56.0
2020-04-16,411.0,72.0,79.0,44.0,226.0,1018189.0,462.0,59.0
2020-04-17,444.0,96.0,77.0,68.0,233.0,1019588.0,553.0,91.0
2020-04-18,504.0,131.0,85.0,85.0,263.0,1020119.0,662.0,109.0
2020-04-19,598.0,127.0,120.0,83.0,325.0,1020078.0,751.0,89.0
2020-04-20,709.0,144.0,142.0,88.0,370.0,1021121.0,872.0,121.0
2020-04-21,817.0,216.0,151.0,129.0,456.0,1020810.0,1025.0,153.0
2020-04-22,1011.0,233.0,196.0,152.0,533.0,1020940.0,1199.0,174.0
2020-04-23,1267.0,266.0,232.0,185.0,683.0,1020810.0,1411.0,212.0
2020-04-24,1429.0,342.0,261.0,203.0,811.0,1019828.0,1689.0,278.0
2020-04-25,1617.0,392.0,296.0,209.0,950.0,1018899.0,1963.0,274.0
2020-04-26,1880.0,428.0,352.0,238.0,1096.0,1019130.0,2285.0,322.0
2020-04-27,2270.0,466.0,401.0,299.0,1270.0,1017994.0,2647.0,362.0
2020-04-28,2610.0,557.0,443.0,370.0,1495.0,1016220.0,3088.0,441.0
2020-04-29,3062.0,670.0,527.0,424.0,1805.0,1015562.0,3605.0,517.0
2020-04-30,3579.0,797.0,647.0,509.0,2100.0,1014291.0,4236.0,631.0
2020-05-01,4202.0,958.0,771.0,589.0,2446.0,1015613.0,4986.0,750.0
2020-05-02,4933.0,1104.0,811.0,671.0,2915.0,1013510.0,5822.0,836.0
2020-05-03,5705.0,1293.0,1025.0,763.0,3375.0,1012542.0,6862.0,1040.0
2020-05-04,6681.0,1453.0,1220.0,903.0,3917.0,1009439.0,7987.0,1125.0
2020-05-05,7823.0,1762.0,1408.0,1081.0,4553.0,1005859.0,9372.0,1385.0
2020-05-06,9190.0,1990.0,1678.0,1249.0,5255.0,1003590.0,10906.0,1534.0
2020-05-07,10699.0,2412.0,1962.0,1497.0,6148.0,999962.0,12757.0,1851.0
2020-05-08,12507.0,2749.0,2199.0,1759.0,7186.0,997599.0,14847.0,2090.0
2020-05-09,14468.0,3132.0,2487.0,2076.0,8379.0,991578.0,17299.0,2452.0
2020-05-10,16911.0,3636.0,2906.0,2379.0,9830.0,987106.0,20134.0,2835.0
2020-05-11,19469.0,4411.0,3450.0,2765.0,11404.0,981907.0,23555.0,3421.0
2020-05-12,22626.0,5127.0,4085.0,3210.0,13318.0,974421.0,27504.0,3949.0
2020-05-13,26295.0,5827.0,4818.0,3825.0,15695.0,966672.0,31949.0,4445.0
2020-05-14,30193.0,6687.0,5438.0,4473.0,18105.0,956628.0,37082.0,5133.0
2020-05-15,34611.0,7737.0,6299.0,5090.0,21327.0,947056.0,43087.0,6005.0
2020-05-16,40122.0,9025.0,7251.0,5912.0,24868.0,935640.0,49975.0,6888.0
2020-05-17,46062.0,10375.0,8523.0,6900.0,29056.0,922832.0,57961.0,7986.0
2020-05-18,52706.0,11947.0,9752.0,8022.0,33611.0,908912.0,67168.0,9207.0
2020-05-19,60644.0,13683.0,11161.0,9145.0,39035.0,892100.0,77577.0,10409.0
2020-05-20,68921.0,15735.0,12862.0,10475.0,45324.0,872181.0,89534.0,11957.0
2020-05-21,78055.0,17791.0,14592.0,12258.0,52774.0,850274.0,103211.0,13677.0
2020-05-22,87833.0,19997.0,16845.0,13713.0,61109.0,825288.0,118413.0,15202.0
2020-05-23,98367.0,22533.0,18947.0,15809.0,70503.0,799124.0,135566.0,17153.0
2020-05-24,108858.0,25218.0,21465.0,17747.0,81078.0,768676.0,154547.0,18981.0
2020-05-25,120023.0,28405.0,23993.0,20087.0,93643.0,737685.0,175712.0,21165.0
2020-05-26,131840.0,31101.0,26852.0,22681.0,107670.0,705369.0,198939.0,23227.0
2020-05-27,143579.0,34653.0,29408.0,25556.0,123117.0,670313.0,224617.0,25678.0
2020-05-28,155061.0,37491.0,32502.0,28279.0,140280.0,632733.0,252262.0,27645.0
2020-05-29,164972.0,40580.0,35489.0,30963.0,159408.0,594247.0,282074.0,29812.0
2020-05-30,173065.0,43643.0,38371.0,34029.0,179633.0,557407.0,313931.0,31857.0
2020-05-31,181278.0,46214.0,41270.0,37026.0,202905.0,518852.0,347132.0,33201.0
2020-06-01,187647.0,47876.0,43917.0,39711.0,227603.0,480733.0,381493.0,34361.0
2020-06-02,191530.0,49859.0,46489.0,42113.0,254409.0,443607.0,417062.0,35569.0
2020-06-03,193353.0,51110.0,48102.0,44477.0,281523.0,407940.0,453142.0,36080.0
2020-06-04,193540.0,52153.0,49777.0,46411.0,310905.0,373478.0,489606.0,36464.0
2020-06-05,191954.0,52327.0,51130.0,48266.0,341582.0,341170.0,525839.0,36233.0
2020-06-06,188364.0,52041.0,51788.0,49623.0,372526.0,311936.0,561533.0,35694.0
2020-06-07,182415.0,51677.0,51908.0,50307.0,405126.0,284490.0,596689.0,35156.0
2020-06-08,175648.0,50202.0,51305.0,51017.0,437599.0,260725.0,630439.0,33750.0
2020-06-09,167696.0,48453.0,50339.0,50735.0,469891.0,238843.0,662779.0,32340.0
2020-06-10,159181.0,46783.0,48616.0,50439.0,503466.0,219051.0,693655.0,30876.0
2020-06-11,149967.0,44282.0,47497.0,48905.0,535867.0,201710.0,722545.0,28890.0
2020-06-12,140724.0,41861.0,45612.0,47526.0,566626.0,186095.0,749917.0,27372.0
2020-06-13,130592.0,39797.0,43225.0,45437.0,597328.0,171942.0,775529.0,25612.0
2020-06-14,120521.0,37085.0,40677.0,43924.0,625130.0,160253.0,799304.0,23775.0
2020-06-15,110884.0,34297.0,38306.0,41466.0,652304.0,149479.0,821434.0,22130.0
2020-06-16,101874.0,31626.0,35610.0,39202.0,677605.0,140520.0,841480.0,20046.0
2020-06-17,92849.0,29288.0,32710.0,36863.0,702097.0,132314.0,859980.0,18500.0
2020-06-18,84538.0,26825.0,30517.0,34079.0,725178.0,125961.0,876797.0,16817.0
2020-06-19,76949.0,24567.0,28255.0,31541.0,745782.0,119303.0,892128.0,15331.0
2020-06-20,69364.0,22137.0,25736.0,29321.0,765923.0,114386.0,906005.0,13877.0
2020-06-21,62676.0,20182.0,23419.0,26985.0,783016.0,109508.0,918638.0,12633.0
2020-06-22,56759.0,18120.0,21441.0,24696.0,800219.0,105755.0,929938.0,11300.0
2020-06-23,50828.0,16494.0,19338.0,22688.0,815207.0,102418.0,940228.0,10290.0
2020-06-24,45983.0,14737.0,17361.0,20660.0,829986.0,99113.0,949323.0,9095.0
2020-06-25,41190.0,13324.0,15703.0,18666.0,842881.0,96450.0,957432.0,8109.0
2020-06-26,36883.0,12048.0,14125.0,16941.0,854379.0,94063.0,964907.0,7475.0
2020-06-27,33055.0,10695.0,12884.0,15372.0,865044.0,92118.0,971625.0,6718.0
2020-06-28,29443.0,9647.0,11603.0,13699.0,874714.0,90179.0,977510.0,5885.0
2020-06-29,26053.0,8723.0,10456.0,12309.0,882982.0,88606.0,982885.0,5375.0
2020-06-30,23364.0,7871.0,9356.0,11355.0,889644.0,86780.0,987745.0,4860.0
2020-07-01,20764.0,7110.0,8341.0,10211.0,897249.0,85696.0,992023.0,4278.0
2020-07-02,18572.0,6206.0,7571.0,9026.0,903166.0,84563.0,995725.0,3702.0
2020-07-03,16555.0,5415.0,6661.0,8134.0,908403.0,83826.0,998982.0,3257.0
2020-07-04,14709.0,4915.0,5868.0,7245.0,912795.0,82918.0,1002012.0,3030.0
2020-07-05,13150.0,4436.0,5393.0,6287.0,917428.0,82280.0,1004657.0,2645.0
2020-07-06,11686.0,3964.0,4785.0,5830.0,921105.0,81741.0,1007034.0,2377.0
