time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,0.0,3.0,0.0,0.0,0.0,969936.0,0.0,0.0
2020-03-07,0.0,0.0,1.0,0.0,0.0,971433.0,0.0,0.0
2020-03-08,2.0,0.0,1.0,0.0,0.0,979643.0,0.0,0.0
2020-03-09,1.0,0.0,1.0,2.0,0.0,986156.0,0.0,0.0
2020-03-10,3.0,0.0,1.0,1.0,2.0,992250.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,0.0,2.0,995851.0,0.0,0.0
2020-03-12,4.0,0.0,0.0,0.0,2.0,1000488.0,0.0,0.0
2020-03-13,3.0,0.0,0.0,0.0,1.0,1003680.0,1.0,1.0
2020-03-14,2.0,0.0,0.0,0.0,0.0,1005339.0,1.0,0.0
2020-03-15,1.0,0.0,0.0,0.0,0.0,1005860.0,1.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,1007901.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1009235.0,1.0,0.0
2020-03-18,1.0,0.0,0.0,0.0,0.0,1010397.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1011659.0,1.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,1012591.0,1.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,1.0,1013708.0,1.0,0.0
2020-03-22,1.0,0.0,0.0,0.0,0.0,1014442.0,1.0,0.0
2020-03-23,1.0,2.0,1.0,0.0,4.0,1014614.0,2.0,1.0
2020-03-24,6.0,1.0,1.0,0.0,3.0,1015981.0,2.0,0.0
2020-03-25,4.0,1.0,1.0,0.0,1.0,1015015.0,2.0,0.0
2020-03-26,1.0,1.0,0.0,0.0,2.0,1014865.0,3.0,1.0
2020-03-27,1.0,0.0,0.0,0.0,2.0,1015458.0,3.0,0.0
2020-03-28,1.0,0.0,2.0,0.0,2.0,1016003.0,4.0,1.0
2020-03-29,1.0,1.0,1.0,0.0,1.0,1015277.0,6.0,2.0
2020-03-30,3.0,2.0,0.0,1.0,4.0,1014734.0,8.0,2.0
2020-03-31,6.0,2.0,1.0,1.0,6.0,1015429.0,9.0,1.0
2020-04-01,8.0,3.0,1.0,3.0,5.0,1016556.0,11.0,2.0
2020-04-02,11.0,3.0,1.0,1.0,7.0,1017963.0,13.0,2.0
2020-04-03,14.0,4.0,3.0,0.0,12.0,1017318.0,18.0,5.0
2020-04-04,19.0,3.0,2.0,5.0,9.0,1015581.0,19.0,1.0
2020-04-05,19.0,2.0,1.0,3.0,14.0,1017398.0,22.0,3.0
2020-04-06,21.0,2.0,3.0,1.0,12.0,1018077.0,23.0,1.0
2020-04-07,23.0,3.0,2.0,4.0,14.0,1017416.0,25.0,2.0
2020-04-08,24.0,7.0,3.0,1.0,15.0,1016332.0,27.0,2.0
2020-04-09,32.0,6.0,5.0,4.0,12.0,1016689.0,33.0,6.0
2020-04-10,31.0,8.0,8.0,6.0,15.0,1017129.0,40.0,7.0
2020-04-11,44.0,7.0,3.0,8.0,19.0,1017169.0,44.0,4.0
2020-04-12,46.0,9.0,7.0,5.0,20.0,1017431.0,51.0,7.0
2020-04-13,50.0,18.0,9.0,3.0,27.0,1018041.0,64.0,13.0
2020-04-14,62.0,13.0,14.0,1.0,41.0,1019006.0,71.0,7.0
2020-04-15,67.0,18.0,10.0,11.0,43.0,1019293.0,86.0,15.0
2020-04-16,96.0,16.0,8.0,11.0,53.0,1017845.0,96.0,10.0
2020-04-17,98.0,18.0,17.0,10.0,58.0,1017520.0,119.0,23.0
