time,E,I1,I2,I3,R,S,cumI,diffI
2020-03-06,1.0,2.0,1.0,0.0,0.0,970267.0,0.0,0.0
2020-03-07,0.0,2.0,0.0,0.0,0.0,971952.0,1.0,1.0
2020-03-08,0.0,1.0,0.0,0.0,0.0,979729.0,1.0,0.0
2020-03-09,0.0,1.0,1.0,0.0,0.0,987243.0,1.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,993433.0,1.0,0.0
2020-03-11,1.0,0.0,1.0,0.0,0.0,997834.0,1.0,0.0
2020-03-12,1.0,0.0,0.0,0.0,1.0,1000495.0,1.0,0.0
2020-03-13,1.0,0.0,0.0,0.0,1.0,1004029.0,1.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,1.0,1007201.0,2.0,1.0
2020-03-15,1.0,0.0,0.0,0.0,2.0,1008987.0,2.0,0.0
2020-03-16,1.0,0.0,0.0,0.0,2.0,1008810.0,2.0,0.0
2020-03-17,1.0,0.0,1.0,0.0,1.0,1009484.0,3.0,1.0
2020-03-18,0.0,0.0,1.0,0.0,1.0,1011494.0,3.0,0.0
2020-03-19,0.0,0.0,0.0,1.0,1.0,1012911.0,3.0,0.0
2020-03-20,2.0,0.0,0.0,1.0,1.0,1012703.0,3.0,0.0
2020-03-21,3.0,0.0,0.0,1.0,0.0,1013694.0,3.0,0.0
2020-03-22,2.0,0.0,0.0,0.0,0.0,1013524.0,3.0,0.0
2020-03-23,1.0,0.0,0.0,0.0,0.0,1014554.0,3.0,0.0
2020-03-24,1.0,0.0,0.0,0.0,0.0,1013917.0,3.0,0.0
2020-03-25,1.0,0.0,0.0,0.0,0.0,1015187.0,3.0,0.0
2020-03-26,2.0,1.0,1.0,0.0,1.0,1014900.0,3.0,0.0
2020-03-27,3.0,1.0,2.0,0.0,2.0,1014665.0,3.0,0.0
2020-03-28,3.0,1.0,2.0,0.0,3.0,1015472.0,3.0,0.0
2020-03-29,5.0,0.0,1.0,2.0,3.0,1014935.0,3.0,0.0
2020-03-30,5.0,1.0,2.0,0.0,3.0,1015369.0,5.0,2.0
2020-03-31,2.0,1.0,2.0,0.0,3.0,1014806.0,6.0,1.0
2020-04-01,3.0,0.0,2.0,2.0,3.0,1015809.0,6.0,0.0
2020-04-02,8.0,2.0,1.0,0.0,4.0,1016187.0,7.0,1.0
2020-04-03,7.0,2.0,4.0,1.0,5.0,1016928.0,9.0,2.0
2020-04-04,9.0,0.0,3.0,1.0,6.0,1016900.0,9.0,0.0
2020-04-05,11.0,0.0,2.0,3.0,3.0,1015758.0,11.0,2.0
2020-04-06,14.0,6.0,2.0,1.0,8.0,1016986.0,16.0,5.0
2020-04-07,14.0,5.0,2.0,1.0,9.0,1017965.0,19.0,3.0
2020-04-08,22.0,4.0,3.0,3.0,10.0,1017976.0,20.0,1.0
2020-04-09,28.0,5.0,2.0,2.0,11.0,1018127.0,25.0,5.0
2020-04-10,25.0,6.0,6.0,2.0,12.0,1016938.0,32.0,7.0
2020-04-11,27.0,5.0,9.0,4.0,20.0,1017349.0,37.0,5.0
2020-04-12,43.0,8.0,7.0,5.0,20.0,1017826.0,44.0,7.0
2020-04-13,50.0,10.0,8.0,6.0,25.0,1018391.0,52.0,8.0
2020-04-14,59.0,8.0,8.0,6.0,27.0,1018665.0,57.0,5.0
2020-04-15,74.0,14.0,10.0,11.0,29.0,1018664.0,70.0,13.0
2020-04-16,85.0,14.0,12.0,13.0,40.0,1019253.0,81.0,11.0
2020-04-17,99.0,15.0,13.0,13.0,47.0,1019463.0,93.0,12.0
2020-04-18,112.0,19.0,18.0,12.0,52.0,1019109.0,107.0,14.0
2020-04-19,124.0,23.0,27.0,15.0,73.0,1019839.0,129.0,22.0
2020-04-20,136.0,28.0,28.0,22.0,78.0,1018216.0,153.0,24.0
2020-04-21,144.0,38.0,19.0,23.0,93.0,1019336.0,181.0,28.0
2020-04-22,174.0,50.0,27.0,29.0,91.0,1019830.0,207.0,26.0
2020-04-23,203.0,46.0,44.0,26.0,112.0,1019883.0,239.0,32.0
2020-04-24,268.0,58.0,41.0,31.0,117.0,1020501.0,278.0,39.0
2020-04-25,285.0,57.0,55.0,37.0,138.0,1020207.0,323.0,45.0
2020-04-26,301.0,87.0,48.0,41.0,178.0,1021092.0,385.0,62.0
2020-04-27,341.0,82.0,54.0,59.0,196.0,1020960.0,450.0,65.0
2020-04-28,389.0,95.0,73.0,64.0,235.0,1020250.0,524.0,74.0
2020-04-29,515.0,96.0,91.0,66.0,272.0,1019437.0,589.0,65.0
2020-04-30,577.0,135.0,88.0,95.0,331.0,1020803.0,695.0,106.0
2020-05-01,677.0,175.0,120.0,94.0,391.0,1020191.0,823.0,128.0
2020-05-02,770.0,208.0,149.0,116.0,453.0,1018793.0,982.0,159.0
2020-05-03,968.0,199.0,162.0,156.0,522.0,1019440.0,1128.0,146.0
2020-05-04,1119.0,277.0,187.0,162.0,599.0,1020146.0,1347.0,219.0
2020-05-05,1324.0,287.0,256.0,168.0,746.0,1019423.0,1569.0,222.0
2020-05-06,1501.0,346.0,273.0,184.0,833.0,1019377.0,1838.0,269.0
2020-05-07,1766.0,386.0,322.0,264.0,968.0,1018716.0,2139.0,301.0
2020-05-08,2051.0,436.0,392.0,291.0,1132.0,1017475.0,2499.0,360.0
2020-05-09,2407.0,518.0,454.0,322.0,1360.0,1017026.0,2916.0,417.0
2020-05-10,2819.0,613.0,479.0,373.0,1568.0,1016729.0,3378.0,462.0
2020-05-11,3238.0,720.0,572.0,446.0,1807.0,1016255.0,3915.0,537.0
2020-05-12,3814.0,856.0,658.0,510.0,2165.0,1014472.0,4572.0,657.0
2020-05-13,4395.0,1058.0,775.0,582.0,2464.0,1014123.0,5379.0,807.0
2020-05-14,5166.0,1200.0,915.0,706.0,2844.0,1013963.0,6278.0,899.0
2020-05-15,5929.0,1330.0,1066.0,832.0,3408.0,1012160.0,7302.0,1024.0
2020-05-16,7055.0,1534.0,1185.0,966.0,3982.0,1008499.0,8446.0,1144.0
2020-05-17,8070.0,1823.0,1374.0,1144.0,4665.0,1008319.0,9865.0,1419.0
2020-05-18,9356.0,2014.0,1665.0,1302.0,5516.0,1004448.0,11422.0,1557.0
2020-05-19,10856.0,2309.0,1885.0,1542.0,6430.0,1000552.0,13198.0,1776.0
2020-05-20,12587.0,2821.0,2167.0,1808.0,7368.0,997898.0,15360.0,2162.0
2020-05-21,14600.0,3174.0,2602.0,2076.0,8587.0,993801.0,17860.0,2500.0
2020-05-22,16877.0,3688.0,3063.0,2350.0,10076.0,988173.0,20706.0,2846.0
2020-05-23,19567.0,4289.0,3510.0,2784.0,11783.0,981580.0,23942.0,3236.0
2020-05-24,22744.0,5031.0,4085.0,3239.0,13732.0,975453.0,27838.0,3896.0
2020-05-25,26593.0,5810.0,4718.0,3894.0,15908.0,967151.0,32323.0,4485.0
2020-05-26,30562.0,6811.0,5459.0,4407.0,18455.0,958706.0,37596.0,5273.0
2020-05-27,35094.0,7938.0,6430.0,5059.0,21629.0,948996.0,43678.0,6082.0
2020-05-28,40749.0,9025.0,7475.0,6036.0,25112.0,937289.0,50469.0,6791.0
2020-05-29,46562.0,10387.0,8447.0,7066.0,29372.0,922865.0,58550.0,8081.0
2020-05-30,53302.0,11982.0,9702.0,8008.0,34260.0,908159.0,67674.0,9124.0
2020-05-31,60963.0,13861.0,11174.0,9229.0,39643.0,890355.0,78167.0,10493.0
2020-06-01,69627.0,15759.0,13075.0,10389.0,45928.0,870973.0,90190.0,12023.0
2020-06-02,77861.0,17810.0,14888.0,12077.0,52707.0,848991.0,103791.0,13601.0
2020-06-03,87703.0,20149.0,16707.0,13900.0,61139.0,824704.0,118961.0,15170.0
2020-06-04,97839.0,22859.0,19047.0,15749.0,70588.0,798232.0,136305.0,17344.0
2020-06-05,108793.0,25566.0,21202.0,17985.0,81436.0,770549.0,155270.0,18965.0
2020-06-06,120283.0,28172.0,23902.0,20241.0,93335.0,739333.0,176412.0,21142.0
2020-06-07,132279.0,30933.0,26538.0,22739.0,107101.0,706496.0,199343.0,22931.0
2020-06-08,142887.0,34275.0,29220.0,25277.0,122913.0,672726.0,224770.0,25427.0
2020-06-09,153272.0,37130.0,32644.0,27927.0,139536.0,635260.0,252394.0,27624.0
2020-06-10,163634.0,40226.0,35399.0,30563.0,158072.0,597989.0,281836.0,29442.0
2020-06-11,173288.0,43319.0,38414.0,33412.0,178397.0,559426.0,313488.0,31652.0
2020-06-12,181352.0,45789.0,41418.0,36685.0,201190.0,521614.0,346538.0,33050.0
2020-06-13,188006.0,48152.0,43843.0,39638.0,225344.0,483818.0,381099.0,34561.0
2020-06-14,191661.0,49723.0,46491.0,42150.0,251863.0,446944.0,416510.0,35411.0
2020-06-15,193612.0,50911.0,47989.0,44449.0,279392.0,410628.0,452380.0,35870.0
2020-06-16,193457.0,52246.0,49627.0,46111.0,308966.0,377287.0,488972.0,36592.0
2020-06-17,192150.0,52656.0,51257.0,48016.0,338822.0,344291.0,525293.0,36321.0
2020-06-18,189041.0,52045.0,51558.0,49435.0,370702.0,314678.0,561104.0,35811.0
2020-06-19,184072.0,51429.0,51818.0,50115.0,402859.0,287818.0,596216.0,35112.0
2020-06-20,177002.0,50467.0,51344.0,50854.0,434943.0,263020.0,630371.0,34155.0
2020-06-21,169134.0,48843.0,50684.0,50970.0,468052.0,241018.0,663154.0,32783.0
2020-06-22,160796.0,46689.0,49285.0,50411.0,500136.0,220969.0,694241.0,31087.0
2020-06-23,151263.0,45046.0,47507.0,48960.0,531388.0,203600.0,724034.0,29793.0
2020-06-24,142098.0,42414.0,45420.0,47670.0,561757.0,188133.0,751775.0,27741.0
2020-06-25,131816.0,39808.0,43515.0,45997.0,590456.0,174249.0,777739.0,25964.0
2020-06-26,122004.0,37537.0,40948.0,44054.0,620080.0,162324.0,801766.0,24027.0
2020-06-27,112326.0,34917.0,38549.0,41764.0,647495.0,152382.0,823946.0,22180.0
2020-06-28,103225.0,32296.0,35749.0,39609.0,673668.0,143551.0,844411.0,20465.0
2020-06-29,94599.0,29633.0,33539.0,36915.0,697591.0,135405.0,863179.0,18768.0
2020-06-30,86387.0,27155.0,31016.0,34758.0,720231.0,128866.0,880433.0,17254.0
2020-07-01,78790.0,24698.0,28503.0,32052.0,742091.0,122368.0,895872.0,15439.0
2020-07-02,71138.0,22788.0,26197.0,29828.0,761110.0,117370.0,910251.0,14379.0
2020-07-03,64491.0,20659.0,24022.0,27453.0,778159.0,112423.0,923131.0,12880.0
2020-07-04,58122.0,18577.0,21795.0,25607.0,794625.0,107823.0,934741.0,11610.0
2020-07-05,52918.0,16765.0,19948.0,23258.0,810392.0,104249.0,945140.0,10399.0
2020-07-06,47649.0,15387.0,18097.0,21151.0,824854.0,100813.0,954718.0,9578.0
